//time estimation lower_bound upper_bound expectation
0 0.010101 nan nan 0.010101
0.0803213 0.00993722 0.00992943 0.00994502 0.00994004
0.160643 0.00977674 0.00976568 0.0097878 0.00978164
0.240964 0.0096215 0.00960823 0.00963476 0.00962576
0.321285 0.00947079 0.00945565 0.00948593 0.00947236
0.401606 0.00932494 0.00930833 0.00934156 0.00932141
0.481928 0.00917318 0.00915527 0.00919108 0.00917287
0.562249 0.00902266 0.00900391 0.00904142 0.00902669
0.64257 0.00887399 0.00885426 0.00889372 0.00888284
0.722892 0.00873151 0.00871136 0.00875167 0.00874128
0.803213 0.00859366 0.0085729 0.00861442 0.00860198
0.883534 0.00845765 0.00843628 0.00847902 0.0084649
0.963855 0.00832085 0.00829922 0.00834249 0.00833001
1.04418 0.00818662 0.00816474 0.00820849 0.00819726
1.1245 0.00805486 0.00803262 0.00807709 0.00806663
1.20482 0.0079257 0.00790296 0.00794844 0.00793808
1.28514 0.00779743 0.00777443 0.00782042 0.00781158
1.36546 0.00767354 0.00765049 0.0076966 0.0076871
1.44578 0.00754926 0.0075259 0.00757261 0.00756459
1.5261 0.00742939 0.00740598 0.0074528 0.00744405
1.60643 0.00730787 0.0072842 0.00733153 0.00732542
1.68675 0.00719273 0.00716884 0.00721662 0.00720868
1.76707 0.00707868 0.00705476 0.00710261 0.0070938
1.84739 0.00696695 0.00694295 0.00699094 0.00698076
1.92771 0.00685758 0.00683353 0.00688163 0.00686951
2.00803 0.0067502 0.00672617 0.00677424 0.00676004
2.08835 0.0066395 0.00661557 0.00666343 0.00665231
2.16867 0.00653637 0.00651251 0.00656023 0.0065463
2.249 0.00643243 0.00640851 0.00645634 0.00644198
2.32932 0.0063318 0.0063079 0.00635571 0.00633932
2.40964 0.00623112 0.00620725 0.00625499 0.0062383
2.48996 0.00613145 0.0061075 0.00615541 0.00613889
2.57028 0.00603238 0.00600845 0.00605632 0.00604106
2.6506 0.00593346 0.00590966 0.00595726 0.00594479
2.73092 0.00583842 0.00581463 0.00586221 0.00585005
2.81124 0.00574379 0.00572027 0.00576731 0.00575683
2.89157 0.00565084 0.00562747 0.0056742 0.00566509
2.97189 0.005562 0.00553869 0.0055853 0.00557481
3.05221 0.00547262 0.00544934 0.00549591 0.00548597
3.13253 0.00538665 0.0053635 0.0054098 0.00539854
3.21285 0.00530066 0.00527781 0.00532351 0.00531251
3.29317 0.00521796 0.0051952 0.00524072 0.00522785
3.37349 0.00513534 0.00511279 0.00515788 0.00514454
3.45382 0.00505289 0.00503053 0.00507525 0.00506256
3.53414 0.00497332 0.00495119 0.00499546 0.00498188
3.61446 0.00489641 0.00487443 0.00491839 0.00490249
3.69478 0.00481986 0.00479804 0.00484169 0.00482437
3.7751 0.00474382 0.00472223 0.0047654 0.00474749
3.85542 0.00466829 0.00464676 0.00468983 0.00467183
3.93574 0.00459514 0.00457367 0.00461662 0.00459738
4.01606 0.00452211 0.00450086 0.00454336 0.00452412
4.09639 0.00444806 0.0044271 0.00446902 0.00445202
4.17671 0.00437661 0.00435601 0.0043972 0.00438107
4.25703 0.00430483 0.0042846 0.00432505 0.00431126
4.33735 0.00423546 0.00421539 0.00425553 0.00424255
4.41767 0.00416841 0.00414854 0.00418829 0.00417495
4.49799 0.00410088 0.00408113 0.00412063 0.00410841
4.57831 0.00403627 0.00401672 0.00405582 0.00404294
4.65863 0.0039721 0.00395284 0.00399136 0.00397851
4.73896 0.00390814 0.00388915 0.00392714 0.00391511
4.81928 0.00384582 0.00382698 0.00386465 0.00385272
4.8996 0.003785 0.0037664 0.00380359 0.00379133
4.97992 0.00372258 0.00370417 0.00374099 0.00373091
5.06024 0.00366145 0.00364332 0.00367957 0.00367145
5.14056 0.00360438 0.00358641 0.00362236 0.00361294
5.22088 0.00354834 0.00353071 0.00356598 0.00355537
5.3012 0.00349009 0.00347269 0.00350748 0.00349871
5.38153 0.0034332 0.00341611 0.0034503 0.00344296
5.46185 0.00338024 0.00336326 0.00339722 0.00338809
5.54217 0.00332593 0.00330915 0.00334271 0.0033341
5.62249 0.00327255 0.00325601 0.00328909 0.00328096
5.70281 0.00322008 0.00320378 0.00323637 0.00322868
5.78313 0.00316943 0.00315334 0.00318551 0.00317723
5.86345 0.00311973 0.00310385 0.00313562 0.0031266
5.94378 0.00307028 0.00305456 0.003086 0.00307677
6.0241 0.00302183 0.00300633 0.00303733 0.00302774
6.10442 0.00297353 0.00295821 0.00298886 0.00297949
6.18474 0.00292538 0.00291016 0.00294059 0.00293201
6.26506 0.00287898 0.00286397 0.00289398 0.00288528
6.34538 0.00283299 0.00281817 0.00284781 0.0028393
6.4257 0.0027868 0.00277216 0.00280144 0.00279406
6.50602 0.00274256 0.00272811 0.00275701 0.00274953
6.58635 0.00269854 0.00268429 0.00271278 0.00270572
6.66667 0.0026566 0.00264254 0.00267066 0.0026626
6.74699 0.00261369 0.0025998 0.00262758 0.00262017
6.82731 0.00257245 0.00255874 0.00258615 0.00257841
6.90763 0.00253097 0.00251743 0.0025445 0.00253732
6.98795 0.0024908 0.00247747 0.00250413 0.00249689
7.06827 0.00245158 0.00243838 0.00246477 0.0024571
7.14859 0.00241271 0.00239972 0.0024257 0.00241794
7.22892 0.0023745 0.00236168 0.00238733 0.00237941
7.30924 0.00233653 0.00232386 0.0023492 0.00234149
7.38956 0.00229898 0.0022865 0.00231147 0.00230418
7.46988 0.00226205 0.00224973 0.00227437 0.00226746
7.5502 0.00222634 0.00221413 0.00223855 0.00223132
7.63052 0.00219077 0.00217867 0.00220287 0.00219577
7.71084 0.00215567 0.00214373 0.00216761 0.00216077
7.79116 0.00212128 0.00210951 0.00213306 0.00212634
7.87149 0.00208728 0.00207569 0.00209888 0.00209246
7.95181 0.00205488 0.00204346 0.0020663 0.00205911
8.03213 0.00202181 0.00201053 0.00203309 0.0020263
8.11245 0.00198996 0.00197881 0.0020011 0.00199401
8.19277 0.00195902 0.00194805 0.00196999 0.00196223
8.27309 0.00192764 0.00191681 0.00193846 0.00193096
8.35341 0.00189641 0.00188575 0.00190706 0.00190019
8.43373 0.00186648 0.00185598 0.00187698 0.00186991
8.51406 0.00183653 0.00182619 0.00184688 0.00184011
8.59438 0.00180783 0.00179758 0.00181808 0.00181078
8.6747 0.00177864 0.00176857 0.00178871 0.00178193
8.75502 0.00175028 0.00174036 0.0017602 0.00175353
8.83534 0.00172253 0.00171277 0.00173229 0.00172559
8.91566 0.00169447 0.00168485 0.00170408 0.00169809
8.99598 0.00166699 0.00165752 0.00167647 0.00167103
9.07631 0.00164034 0.00163098 0.0016497 0.0016444
9.15663 0.00161444 0.00160522 0.00162366 0.00161819
9.23695 0.00158887 0.00157977 0.00159796 0.00159241
9.31727 0.00156349 0.00155451 0.00157246 0.00156703
9.39759 0.00153873 0.00152989 0.00154758 0.00154206
9.47791 0.00151417 0.00150544 0.00152291 0.00151748
9.55823 0.00148994 0.00148134 0.00149854 0.0014933
9.63855 0.00146594 0.00145748 0.00147439 0.0014695
9.71888 0.00144276 0.00143439 0.00145112 0.00144609
9.7992 0.00141995 0.0014117 0.0014282 0.00142304
9.87952 0.00139726 0.00138915 0.00140537 0.00140036
9.95984 0.00137494 0.00136693 0.00138295 0.00137805
10.0402 0.00135326 0.00134536 0.00136116 0.00135609
10.1205 0.00133143 0.00132366 0.0013392 0.00133448
10.2008 0.00131069 0.00130301 0.00131836 0.00131321
10.2811 0.00128998 0.00128242 0.00129754 0.00129228
10.3614 0.00126937 0.00126193 0.00127681 0.00127169
10.4418 0.0012491 0.00124176 0.00125644 0.00125142
10.5221 0.00122912 0.00122188 0.00123635 0.00123148
10.6024 0.00120944 0.00120232 0.00121657 0.00121186
10.6827 0.00119019 0.00118318 0.00119719 0.00119254
10.7631 0.00117095 0.00116406 0.00117784 0.00117354
10.8434 0.00115185 0.00114506 0.00115863 0.00115484
10.9237 0.00113378 0.00112709 0.00114047 0.00113644
11.004 0.00111546 0.00110885 0.00112207 0.00111833
11.0843 0.00109764 0.00109112 0.00110415 0.0011005
11.1647 0.00108007 0.00107365 0.00108649 0.00108297
11.245 0.00106298 0.00105665 0.00106931 0.00106571
11.3253 0.00104611 0.00103989 0.00105234 0.00104873
11.4056 0.00102945 0.00102332 0.00103559 0.00103201
11.4859 0.00101319 0.00100714 0.00101923 0.00101557
11.5663 0.000997034 0.000991085 0.00100298 0.000999383
11.6466 0.000981182 0.000975329 0.000987035 0.000983457
11.7269 0.000965416 0.000959653 0.00097118 0.000967784
11.8072 0.000950243 0.00094457 0.000955917 0.000952362
11.8876 0.000934996 0.000929417 0.000940575 0.000937185
11.9679 0.00092037 0.000914862 0.000925878 0.00092225
12.0482 0.000905595 0.000900158 0.000911032 0.000907553
12.1285 0.000891249 0.000885885 0.000896613 0.00089309
12.2088 0.000877239 0.000871946 0.000882531 0.000878858
12.2892 0.000863114 0.000857907 0.000868322 0.000864853
12.3695 0.000849419 0.000844295 0.000854543 0.000851071
12.4498 0.000835833 0.000830787 0.000840879 0.000837508
12.5301 0.000822422 0.000817456 0.000827388 0.000824162
12.6104 0.00080943 0.000804542 0.000814319 0.000811028
12.6908 0.000796558 0.000791743 0.000801373 0.000798103
12.7711 0.000783937 0.000779189 0.000788685 0.000785385
12.8514 0.000771364 0.00076669 0.000776038 0.000772869
12.9317 0.000759032 0.000754431 0.000763634 0.000760553
13.012 0.000746935 0.000742394 0.000751477 0.000748433
13.0924 0.000735064 0.0007306 0.000739527 0.000736506
13.1727 0.000723341 0.000718938 0.000727744 0.000724769
13.253 0.000711879 0.000707542 0.000716215 0.000713219
13.3333 0.00070056 0.000696298 0.000704823 0.000701853
13.4137 0.000689489 0.000685298 0.00069368 0.000690668
13.494 0.000678706 0.000674579 0.000682834 0.000679662
13.5743 0.000667946 0.000663885 0.000672007 0.000668831
13.6546 0.000657394 0.000653397 0.000661391 0.000658172
13.7349 0.000646847 0.000642914 0.00065078 0.000647684
13.8153 0.00063665 0.000632785 0.000640515 0.000637362
13.8956 0.000626408 0.000622609 0.000630206 0.000627206
13.9759 0.000616368 0.000612624 0.000620113 0.00061721
14.0562 0.000606581 0.000602887 0.000610275 0.000607375
14.1365 0.000596895 0.000593255 0.000600536 0.000597696
14.2169 0.000587409 0.000583827 0.000590991 0.000588171
14.2972 0.000578042 0.000574514 0.00058157 0.000578798
14.3775 0.000568944 0.000565466 0.000572421 0.000569574
14.4578 0.000559906 0.000556474 0.000563338 0.000560497
14.5382 0.000550967 0.000547586 0.000554349 0.000551565
14.6185 0.000542201 0.000538868 0.000545534 0.000542776
14.6988 0.000533611 0.000530328 0.000536893 0.000534126
14.7791 0.000525109 0.000521879 0.000528339 0.000525614
14.8594 0.000516757 0.000513575 0.000519939 0.000517238
14.9398 0.000508541 0.000505411 0.000511672 0.000508995
15.0201 0.0005004 0.000497313 0.000503488 0.000500884
15.1004 0.000492401 0.000489362 0.00049544 0.000492902
