//time estimation lower_bound upper_bound expectation
7.71084 0.00466666 0.00464524 0.00468809 0.00467183
7.79116 0.00462895 0.00460764 0.00465026 0.00463446
7.87149 0.00459319 0.00457195 0.00461443 0.00459738
7.95181 0.00455583 0.00453475 0.00457691 0.0045606
8.03213 0.00451919 0.00449821 0.00454018 0.00452412
8.11245 0.00448378 0.00446288 0.00450468 0.00448792
8.19277 0.00444722 0.00442635 0.0044681 0.00445202
8.27309 0.00441216 0.00439134 0.00443299 0.00441641
8.35341 0.0043769 0.00435621 0.0043976 0.00438107
8.43373 0.00434154 0.00432091 0.00436216 0.00434603
8.51406 0.00430754 0.00428704 0.00432804 0.00431126
8.59438 0.00427369 0.00425328 0.0042941 0.00427677
8.6747 0.00423804 0.0042178 0.00425828 0.00424255
8.75502 0.00420307 0.00418297 0.00422316 0.00420861
8.83534 0.00416798 0.00414807 0.0041879 0.00417495
8.91566 0.00413425 0.00411439 0.00415411 0.00414155
8.99598 0.00410133 0.00408157 0.0041211 0.00410841
9.07631 0.00406881 0.00404919 0.00408842 0.00407555
9.15663 0.00403531 0.00401575 0.00405487 0.00404294
9.23695 0.0040039 0.00398448 0.00402332 0.0040106
9.31727 0.00397012 0.00395089 0.00398936 0.00397851
9.39759 0.00393868 0.00391956 0.0039578 0.00394669
9.47791 0.0039073 0.0038882 0.0039264 0.00391511
9.55823 0.00387601 0.00385702 0.003895 0.00388379
9.63855 0.00384562 0.00382672 0.00386452 0.00385272
9.71888 0.0038141 0.0037953 0.00383291 0.0038219
9.7992 0.0037836 0.00376498 0.00380222 0.00379133
9.87952 0.00375275 0.00373423 0.00377128 0.003761
9.95984 0.00372187 0.00370348 0.00374027 0.00373091
10.0402 0.0036919 0.00367357 0.00371024 0.00370106
10.1205 0.00366254 0.00364432 0.00368076 0.00367145
10.2008 0.00363248 0.00361438 0.00365058 0.00364208
10.2811 0.00360403 0.00358609 0.00362197 0.00361294
10.3614 0.00357564 0.00355777 0.00359351 0.00358404
10.4418 0.00354666 0.00352891 0.0035644 0.00355537
10.5221 0.00351801 0.0035004 0.00353563 0.00352693
10.6024 0.00348968 0.00347212 0.00350723 0.00349871
10.6827 0.00346149 0.00344403 0.00347896 0.00347072
10.7631 0.00343413 0.00341678 0.00345148 0.00344296
10.8434 0.0034062 0.00338896 0.00342344 0.00341541
10.9237 0.00337921 0.00336203 0.00339639 0.00338809
11.004 0.00335316 0.00333605 0.00337027 0.00336098
11.0843 0.00332697 0.00330995 0.00334399 0.0033341
11.1647 0.00330175 0.00328481 0.00331869 0.00330742
11.245 0.0032747 0.00325786 0.00329155 0.00328096
11.3253 0.00324859 0.00323186 0.00326532 0.00325472
11.4056 0.00322171 0.0032051 0.00323832 0.00322868
11.4859 0.00319642 0.00317992 0.00321292 0.00320285
11.5663 0.00317065 0.00315425 0.00318705 0.00317723
11.6466 0.00314493 0.0031286 0.00316125 0.00315181
11.7269 0.00312013 0.00310383 0.00313642 0.0031266
11.8072 0.00309532 0.00307911 0.00311154 0.00310158
11.8876 0.0030703 0.00305416 0.00308644 0.00307677
11.9679 0.00304652 0.00303047 0.00306258 0.00305216
12.0482 0.00302109 0.00300516 0.00303702 0.00302774
12.1285 0.00299665 0.00298078 0.00301252 0.00300352
12.2088 0.00297222 0.00295643 0.00298801 0.00297949
12.2892 0.00294779 0.00293208 0.00296351 0.00295565
12.3695 0.00292473 0.00290914 0.00294031 0.00293201
12.4498 0.00290103 0.00288551 0.00291655 0.00290855
12.5301 0.00287786 0.00286244 0.00289328 0.00288528
12.6104 0.00285464 0.00283929 0.00286999 0.0028622
12.6908 0.00283142 0.00281616 0.00284668 0.0028393
12.7711 0.00280822 0.0027931 0.00282334 0.00281659
12.8514 0.00278595 0.00277091 0.00280098 0.00279406
12.9317 0.00276373 0.00274879 0.00277868 0.00277171
13.012 0.00274212 0.00272733 0.00275692 0.00274953
13.0924 0.00272041 0.00270568 0.00273514 0.00272754
13.1727 0.00269876 0.00268414 0.00271338 0.00270572
13.253 0.00267709 0.00266258 0.00269161 0.00268407
13.3333 0.00265501 0.00264063 0.00266939 0.0026626
13.4137 0.00263397 0.00261969 0.00264825 0.0026413
13.494 0.00261352 0.00259936 0.00262769 0.00262017
13.5743 0.00259269 0.0025786 0.00260678 0.00259921
13.6546 0.00257198 0.002558 0.00258596 0.00257841
13.7349 0.00255092 0.00253702 0.00256482 0.00255778
13.8153 0.00253071 0.00251686 0.00254456 0.00253732
13.8956 0.00251013 0.0024964 0.00252385 0.00251702
13.9759 0.00248997 0.00247631 0.00250362 0.00249689
14.0562 0.00246968 0.00245613 0.00248323 0.00247691
14.1365 0.0024495 0.00243604 0.00246295 0.0024571
14.2169 0.0024299 0.00241653 0.00244328 0.00243744
14.2972 0.00241053 0.00239723 0.00242382 0.00241794
14.3775 0.00239143 0.00237821 0.00240466 0.0023986
14.4578 0.00237259 0.00235948 0.0023857 0.00237941
14.5382 0.00235379 0.00234074 0.00236683 0.00236037
14.6185 0.00233529 0.00232234 0.00234825 0.00234149
14.6988 0.00231643 0.00230355 0.00232931 0.00232276
14.7791 0.00229839 0.00228559 0.00231119 0.00230418
14.8594 0.0022799 0.00226722 0.00229258 0.00228574
14.9398 0.00226126 0.00224865 0.00227387 0.00226746
15.0201 0.00224332 0.00223076 0.00225587 0.00224932
15.1004 0.00222548 0.00221304 0.00223792 0.00223132
15.1807 0.00220795 0.00219559 0.00222031 0.00221347
15.261 0.00219001 0.00217772 0.0022023 0.00219577
15.3414 0.00217268 0.00216047 0.00218489 0.0021782
15.4217 0.002155 0.00214285 0.00216714 0.00216077
15.502 0.00213802 0.0021259 0.00215013 0.00214349
15.5823 0.00212053 0.00210853 0.00213252 0.00212634
15.6627 0.0021035 0.00209159 0.00211542 0.00210933
15.743 0.00208646 0.00207464 0.00209827 0.00209246
15.8233 0.00206975 0.00205803 0.00208146 0.00207572
15.9036 0.00205293 0.0020413 0.00206455 0.00205911
15.9839 0.00203685 0.00202528 0.00204842 0.00204264
16.0643 0.00202022 0.00200874 0.0020317 0.0020263
16.1446 0.00200405 0.00199265 0.00201546 0.00201009
16.2249 0.00198782 0.00197649 0.00199914 0.00199401
16.3052 0.00197178 0.00196056 0.001983 0.00197805
16.3855 0.00195624 0.00194511 0.00196737 0.00196223
16.4659 0.00194083 0.0019298 0.00195187 0.00194653
16.5462 0.00192555 0.00191456 0.00193653 0.00193096
16.6265 0.00190992 0.00189903 0.00192081 0.00191551
