//total_population estimated_relatedness lower_bound upper_bound relatedness
60 0.548023 nan nan 0.548023
61 0.548296 0.548195 0.548397 0.54827
62 0.548477 0.548336 0.548617 0.548508
63 0.548672 0.5485 0.548844 0.54874
64 0.548859 0.548662 0.549055 0.548963
66 0.549317 0.54908 0.549554 0.549391
67 0.549487 0.549234 0.54974 0.549594
68 0.549641 0.549373 0.54991 0.549792
69 0.54982 0.549537 0.550104 0.549984
70 0.549944 0.549645 0.550243 0.55017
72 0.550329 0.550006 0.550652 0.550527
73 0.550445 0.550111 0.55078 0.550698
74 0.550583 0.550237 0.550929 0.550865
75 0.550822 0.550466 0.551178 0.551026
76 0.550959 0.550593 0.551325 0.551184
78 0.551235 0.550852 0.551617 0.551487
79 0.551357 0.550966 0.551747 0.551632
80 0.551624 0.551225 0.552023 0.551774
81 0.551725 0.551319 0.55213 0.551913
82 0.551881 0.551468 0.552293 0.552047
84 0.552068 0.551644 0.552492 0.552308
85 0.552203 0.551773 0.552634 0.552433
86 0.552293 0.551856 0.552729 0.552555
87 0.552422 0.551979 0.552865 0.552675
88 0.552558 0.55211 0.553005 0.552792
90 0.552829 0.552371 0.553288 0.553018
91 0.552916 0.552453 0.553379 0.553127
92 0.553012 0.552545 0.553479 0.553234
93 0.553102 0.55263 0.553574 0.553338
94 0.553245 0.552768 0.553722 0.55344
96 0.553472 0.552985 0.553959 0.553638
97 0.553539 0.55305 0.554028 0.553734
98 0.553647 0.553153 0.55414 0.553828
99 0.553711 0.553213 0.554209 0.55392
100 0.553742 0.55324 0.554244 0.55401
102 0.553979 0.55347 0.554489 0.554185
103 0.554062 0.553549 0.554575 0.55427
104 0.554135 0.553617 0.554652 0.554353
105 0.554187 0.553666 0.554707 0.554435
106 0.554288 0.553764 0.554812 0.554515
108 0.554404 0.553873 0.554935 0.55467
109 0.554436 0.553903 0.55497 0.554746
110 0.554483 0.553947 0.555018 0.55482
111 0.554532 0.553993 0.55507 0.554893
112 0.554659 0.554118 0.555201 0.554965
114 0.554817 0.554268 0.555367 0.555104
115 0.554871 0.554317 0.555424 0.555172
116 0.554914 0.554357 0.555471 0.555239
117 0.555058 0.554499 0.555618 0.555304
118 0.55511 0.554548 0.555671 0.555369
120 0.555236 0.554671 0.555801 0.555494
121 0.555296 0.554728 0.555863 0.555556
122 0.55534 0.55477 0.55591 0.555616
123 0.55537 0.554799 0.555941 0.555675
124 0.555401 0.554828 0.555973 0.555733
126 0.555479 0.554902 0.556055 0.555847
127 0.555547 0.554967 0.556126 0.555903
128 0.555619 0.555038 0.556201 0.555957
129 0.555669 0.555086 0.556251 0.556011
130 0.555713 0.555128 0.556297 0.556064
132 0.555845 0.555256 0.556434 0.556167
133 0.555863 0.555272 0.556454 0.556218
134 0.55592 0.555327 0.556513 0.556268
135 0.555969 0.555374 0.556564 0.556317
136 0.556058 0.555462 0.556655 0.556365
138 0.556167 0.555567 0.556766 0.55646
139 0.556207 0.555605 0.556809 0.556506
140 0.556283 0.555679 0.556887 0.556551
141 0.556305 0.555699 0.556911 0.556596
142 0.556327 0.555718 0.556935 0.556641
144 0.556417 0.555806 0.557029 0.556727
145 0.556453 0.55584 0.557067 0.55677
146 0.556481 0.555867 0.557095 0.556812
147 0.55653 0.555914 0.557146 0.556853
148 0.55659 0.555972 0.557208 0.556894
150 0.556663 0.556042 0.557284 0.556974
151 0.556708 0.556086 0.55733 0.557013
152 0.55675 0.556127 0.557374 0.557051
153 0.556828 0.556203 0.557453 0.557089
154 0.556872 0.556245 0.557499 0.557127
156 0.556937 0.556308 0.557566 0.557201
157 0.556997 0.556367 0.557628 0.557237
158 0.557007 0.556375 0.557638 0.557273
159 0.557048 0.556415 0.557681 0.557308
160 0.5571 0.556466 0.557734 0.557343
162 0.557192 0.556556 0.557829 0.557411
163 0.557185 0.556548 0.557822 0.557445
164 0.55721 0.556572 0.557848 0.557478
165 0.557219 0.556581 0.557858 0.55751
166 0.557211 0.556571 0.55785 0.557543
168 0.557241 0.5566 0.557881 0.557606
169 0.557266 0.556624 0.557908 0.557637
170 0.557311 0.556667 0.557955 0.557668
171 0.557331 0.556687 0.557975 0.557698
172 0.557346 0.556702 0.557991 0.557729
174 0.557433 0.556785 0.55808 0.557788
175 0.55745 0.556802 0.558099 0.557817
176 0.557477 0.556828 0.558126 0.557845
177 0.557549 0.556899 0.558199 0.557874
178 0.557557 0.556906 0.558208 0.557902
180 0.557581 0.556929 0.558233 0.557957
181 0.557622 0.556968 0.558275 0.557984
182 0.557663 0.557009 0.558317 0.558011
183 0.557656 0.557002 0.558311 0.558038
184 0.5577 0.557045 0.558355 0.558064
186 0.557748 0.557091 0.558404 0.558115
187 0.557766 0.557109 0.558423 0.558141
188 0.557786 0.557129 0.558444 0.558166
189 0.557808 0.55715 0.558467 0.558191
190 0.557839 0.557179 0.558499 0.558216
192 0.557899 0.557238 0.558561 0.558264
193 0.557933 0.55727 0.558595 0.558288
194 0.557963 0.5573 0.558625 0.558311
195 0.557984 0.557321 0.558647 0.558335
196 0.558026 0.557362 0.558691 0.558358
198 0.558068 0.557402 0.558735 0.558403
199 0.55809 0.557423 0.558758 0.558426
200 0.55812 0.557451 0.558788 0.558448
201 0.558132 0.557462 0.558802 0.55847
202 0.558161 0.55749 0.558831 0.558492
204 0.558199 0.557527 0.558871 0.558535
205 0.558231 0.557558 0.558904 0.558556
206 0.558277 0.557602 0.558951 0.558577
207 0.558313 0.557637 0.558988 0.558597
208 0.55834 0.557665 0.559016 0.558618
210 0.558395 0.557718 0.559072 0.558658
211 0.558427 0.557749 0.559105 0.558678
212 0.55845 0.557772 0.559129 0.558698
213 0.558475 0.557796 0.559154 0.558717
214 0.5585 0.557821 0.55918 0.558737
216 0.558545 0.557865 0.559226 0.558775
217 0.558552 0.557871 0.559234 0.558794
218 0.558588 0.557906 0.559271 0.558812
219 0.558604 0.557921 0.559288 0.558831
220 0.558615 0.557931 0.559298 0.558849
222 0.558674 0.557989 0.559359 0.558885
223 0.55872 0.558034 0.559405 0.558903
224 0.558742 0.558056 0.559429 0.558921
225 0.558759 0.558073 0.559446 0.558938
226 0.558786 0.5581 0.559473 0.558956
228 0.558848 0.55816 0.559535 0.55899
229 0.558872 0.558183 0.55956 0.559007
230 0.558885 0.558196 0.559574 0.559024
231 0.558891 0.558202 0.55958 0.55904
232 0.558906 0.558216 0.559596 0.559057
234 0.558918 0.558228 0.559609 0.559089
235 0.558926 0.558236 0.559617 0.559105
236 0.558957 0.558266 0.559649 0.559121
237 0.558967 0.558275 0.559659 0.559137
238 0.55898 0.558287 0.559673 0.559152
240 0.559027 0.558332 0.559721 0.559183
241 0.559044 0.558349 0.559738 0.559199
242 0.559074 0.558379 0.55977 0.559214
243 0.559079 0.558384 0.559775 0.559229
244 0.559092 0.558396 0.559789 0.559244
246 0.559125 0.558427 0.559822 0.559273
247 0.559139 0.558441 0.559837 0.559287
248 0.559153 0.558454 0.559851 0.559302
249 0.559173 0.558474 0.559872 0.559316
250 0.559189 0.558489 0.559889 0.55933
252 0.559215 0.558514 0.559915 0.559358
253 0.559239 0.558537 0.55994 0.559372
254 0.559274 0.558572 0.559975 0.559386
255 0.55928 0.558578 0.559981 0.559399
256 0.559289 0.558587 0.55999 0.559413
258 0.559318 0.558616 0.56002 0.55944
259 0.559329 0.558627 0.560032 0.559453
260 0.559332 0.55863 0.560034 0.559466
261 0.559342 0.55864 0.560045 0.559479
262 0.559361 0.558659 0.560064 0.559492
264 0.559389 0.558686 0.560093 0.559517
265 0.559387 0.558683 0.56009 0.55953
266 0.559392 0.558687 0.560096 0.559542
267 0.559404 0.5587 0.560109 0.559555
268 0.559413 0.558708 0.560118 0.559567
270 0.559433 0.558728 0.560138 0.559591
271 0.55943 0.558725 0.560135 0.559603
272 0.559435 0.55873 0.56014 0.559615
273 0.559447 0.558742 0.560152 0.559627
274 0.559451 0.558745 0.560157 0.559639
276 0.559485 0.558779 0.560192 0.559662
277 0.559493 0.558786 0.5602 0.559674
278 0.559513 0.558806 0.56022 0.559685
279 0.559493 0.558786 0.5602 0.559697
280 0.559495 0.558788 0.560203 0.559708
282 0.559512 0.558804 0.560221 0.55973
283 0.559535 0.558827 0.560244 0.559741
284 0.559562 0.558854 0.560271 0.559752
285 0.559569 0.55886 0.560278 0.559763
286 0.559595 0.558885 0.560305 0.559774
288 0.559633 0.558923 0.560343 0.559795
289 0.559635 0.558925 0.560345 0.559806
290 0.559638 0.558927 0.560348 0.559816
291 0.559643 0.558932 0.560353 0.559827
292 0.559663 0.558952 0.560374 0.559837
294 0.559684 0.558973 0.560396 0.559858
295 0.559714 0.559002 0.560427 0.559868
296 0.559714 0.559002 0.560426 0.559878
297 0.55972 0.559007 0.560432 0.559888
298 0.559738 0.559025 0.560451 0.559898
300 0.55975 0.559036 0.560463 0.559917
301 0.559756 0.559043 0.56047 0.559927
302 0.559765 0.559051 0.560479 0.559937
303 0.559781 0.559066 0.560495 0.559946
304 0.559779 0.559065 0.560493 0.559956
306 0.559802 0.559087 0.560517 0.559975
307 0.559799 0.559083 0.560514 0.559984
308 0.559823 0.559107 0.560539 0.559994
309 0.55983 0.559113 0.560546 0.560003
310 0.559841 0.559125 0.560558 0.560012
312 0.55986 0.559143 0.560577 0.56003
313 0.559872 0.559154 0.560589 0.560039
314 0.559885 0.559167 0.560603 0.560048
315 0.559897 0.559178 0.560615 0.560057
316 0.559919 0.5592 0.560638 0.560066
318 0.559953 0.559234 0.560672 0.560083
319 0.559945 0.559226 0.560665 0.560092
320 0.55995 0.559229 0.56067 0.560101
321 0.55995 0.55923 0.56067 0.560109
322 0.55997 0.55925 0.560691 0.560118
324 0.559987 0.559266 0.560708 0.560135
325 0.560006 0.559285 0.560728 0.560143
326 0.560003 0.559281 0.560724 0.560151
327 0.560023 0.5593 0.560745 0.56016
328 0.560027 0.559304 0.560749 0.560168
330 0.560024 0.559301 0.560747 0.560184
331 0.560017 0.559295 0.56074 0.560192
332 0.560017 0.559294 0.56074 0.5602
333 0.560023 0.559301 0.560746 0.560208
334 0.560026 0.559303 0.560749 0.560216
336 0.560033 0.55931 0.560757 0.560232
337 0.560044 0.559321 0.560767 0.560239
338 0.560053 0.559329 0.560777 0.560247
339 0.56007 0.559346 0.560795 0.560255
340 0.560089 0.559364 0.560814 0.560262
342 0.560097 0.559372 0.560822 0.560278
343 0.560097 0.559372 0.560822 0.560285
344 0.560118 0.559392 0.560844 0.560293
345 0.560108 0.559382 0.560834 0.5603
346 0.560138 0.559411 0.560865 0.560307
348 0.560142 0.559415 0.560869 0.560322
349 0.560159 0.559431 0.560886 0.560329
350 0.560175 0.559448 0.560902 0.560336
351 0.560173 0.559446 0.560901 0.560343
352 0.560183 0.559455 0.560911 0.560351
354 0.560199 0.559471 0.560927 0.560365
355 0.560206 0.559478 0.560934 0.560372
356 0.560217 0.559488 0.560945 0.560379
357 0.560225 0.559497 0.560954 0.560386
358 0.560241 0.559513 0.560969 0.560392
360 0.560247 0.559518 0.560975 0.560406
361 0.560254 0.559525 0.560983 0.560413
362 0.560272 0.559543 0.561001 0.56042
363 0.560288 0.559559 0.561018 0.560426
364 0.560265 0.559535 0.560994 0.560433
366 0.560275 0.559545 0.561005 0.560446
367 0.56029 0.55956 0.561019 0.560453
