//total_population estimated_relatedness lower_bound upper_bound relatedness
1200 0.721991 nan nan 0.721991
1224 0.722001 0.721962 0.72204 0.722
1248 0.721977 0.721923 0.722032 0.722008
1272 0.721989 0.721922 0.722055 0.722017
1296 0.721977 0.721901 0.722053 0.722025
1320 0.721984 0.7219 0.722068 0.722033
1344 0.722005 0.721914 0.722097 0.72204
1368 0.721994 0.721896 0.722093 0.722047
1392 0.722009 0.721905 0.722114 0.722054
1416 0.722024 0.721915 0.722134 0.722061
1440 0.722016 0.721902 0.722131 0.722068
1464 0.722027 0.721908 0.722146 0.722074
1488 0.722052 0.721929 0.722175 0.72208
1512 0.722057 0.72193 0.722185 0.722086
1536 0.722086 0.721954 0.722217 0.722092
1560 0.722077 0.721943 0.722211 0.722097
1584 0.722089 0.721951 0.722227 0.722103
1608 0.722091 0.72195 0.722232 0.722108
1632 0.722089 0.721944 0.722234 0.722113
1656 0.722108 0.72196 0.722256 0.722118
1680 0.72212 0.72197 0.722271 0.722123
1704 0.722137 0.721983 0.72229 0.722128
1728 0.722129 0.721973 0.722284 0.722132
1752 0.722125 0.721966 0.722283 0.722136
1776 0.722121 0.721961 0.722281 0.722141
1800 0.722148 0.721986 0.72231 0.722145
1824 0.722151 0.721987 0.722315 0.722149
1848 0.722159 0.721994 0.722325 0.722153
1872 0.722145 0.721978 0.722313 0.722157
1896 0.722139 0.721969 0.722308 0.722161
1920 0.722127 0.721956 0.722298 0.722164
1944 0.722103 0.721931 0.722276 0.722168
1968 0.722092 0.721917 0.722266 0.722171
1992 0.722094 0.721918 0.72227 0.722175
2016 0.722111 0.721934 0.722289 0.722178
2040 0.722116 0.721937 0.722295 0.722181
2064 0.722098 0.721918 0.722279 0.722184
2088 0.722081 0.721899 0.722263 0.722188
2112 0.722082 0.721898 0.722265 0.722191
2136 0.722072 0.721887 0.722257 0.722194
2160 0.722076 0.72189 0.722262 0.722196
2184 0.72208 0.721892 0.722268 0.722199
2208 0.722075 0.721886 0.722265 0.722202
2232 0.722068 0.721878 0.722258 0.722205
2256 0.722072 0.72188 0.722263 0.722207
2280 0.722081 0.721888 0.722273 0.72221
2304 0.722087 0.721894 0.722281 0.722212
2328 0.722097 0.721902 0.722292 0.722215
2352 0.722119 0.721923 0.722315 0.722217
2376 0.722118 0.721921 0.722314 0.72222
2400 0.722118 0.72192 0.722315 0.722222
2424 0.722128 0.72193 0.722326 0.722224
2448 0.722128 0.721929 0.722327 0.722227
2472 0.722125 0.721925 0.722325 0.722229
2496 0.722138 0.721937 0.722339 0.722231
2520 0.722155 0.721953 0.722356 0.722233
2544 0.722175 0.721973 0.722378 0.722235
2568 0.722166 0.721963 0.72237 0.722237
