//total_population estimated_relatedness lower_bound upper_bound relatedness
60 0.491525 0.491525 0.491525 0.491525
61 0.491803 0.491803 0.491803 0.491803
62 0.492074 0.492068 0.492079 0.492072
63 0.492335 0.492326 0.492344 0.492332
64 0.49259 0.492578 0.492602 0.492584
66 0.493061 0.493043 0.49308 0.493064
67 0.493286 0.493264 0.493308 0.493294
68 0.49351 0.493486 0.493535 0.493516
69 0.49373 0.493702 0.493758 0.493732
70 0.493934 0.493904 0.493965 0.493942
72 0.494341 0.494305 0.494377 0.494343
73 0.49452 0.494481 0.494558 0.494536
74 0.4947 0.494659 0.494741 0.494723
75 0.494877 0.494833 0.49492 0.494905
76 0.495055 0.495009 0.495101 0.495082
78 0.495402 0.495352 0.495453 0.495423
79 0.495567 0.495515 0.495619 0.495586
80 0.495735 0.49568 0.495789 0.495746
81 0.495889 0.495832 0.495945 0.495902
82 0.496046 0.495987 0.496104 0.496053
84 0.496331 0.496269 0.496392 0.496346
85 0.496456 0.496392 0.496519 0.496487
86 0.496596 0.496531 0.496661 0.496625
87 0.496728 0.49666 0.496795 0.496759
88 0.496863 0.496794 0.496933 0.496891
90 0.497105 0.497033 0.497178 0.497145
91 0.497243 0.497169 0.497318 0.497268
92 0.497371 0.497295 0.497447 0.497388
93 0.497477 0.4974 0.497555 0.497505
94 0.497587 0.497508 0.497667 0.49762
96 0.497805 0.497723 0.497887 0.497843
97 0.497916 0.497832 0.497999 0.497951
98 0.498021 0.497936 0.498106 0.498056
99 0.498123 0.498037 0.49821 0.49816
100 0.498226 0.498138 0.498314 0.498261
102 0.498429 0.498338 0.49852 0.498458
103 0.498519 0.498427 0.498611 0.498554
104 0.498619 0.498525 0.498712 0.498647
105 0.498717 0.498622 0.498812 0.498739
106 0.498814 0.498717 0.498911 0.498829
108 0.498997 0.498898 0.499096 0.499004
109 0.499077 0.498977 0.499177 0.499089
110 0.499154 0.499053 0.499255 0.499173
111 0.499232 0.49913 0.499333 0.499255
112 0.499305 0.499202 0.499408 0.499335
114 0.499451 0.499347 0.499556 0.499492
115 0.499531 0.499425 0.499636 0.499569
116 0.499614 0.499507 0.499721 0.499644
117 0.49968 0.499572 0.499787 0.499717
118 0.499757 0.499648 0.499866 0.49979
120 0.499899 0.499789 0.50001 0.499931
121 0.499973 0.499862 0.500085 0.5
122 0.500045 0.499933 0.500158 0.500068
123 0.500105 0.499991 0.500218 0.500134
124 0.50017 0.500055 0.500284 0.5002
126 0.500295 0.500179 0.50041 0.500328
127 0.500353 0.500236 0.500469 0.50039
128 0.500429 0.500312 0.500547 0.500452
129 0.50049 0.500372 0.500609 0.500512
130 0.500554 0.500435 0.500674 0.500572
132 0.500675 0.500554 0.500797 0.500688
133 0.500723 0.500601 0.500845 0.500745
134 0.500773 0.500651 0.500896 0.500801
135 0.500827 0.500704 0.500951 0.500856
136 0.500875 0.500751 0.500999 0.500911
138 0.500989 0.500863 0.501115 0.501017
139 0.501045 0.500919 0.501171 0.501069
140 0.501098 0.500971 0.501225 0.50112
141 0.501149 0.501022 0.501276 0.501171
142 0.501193 0.501065 0.501321 0.501221
144 0.501286 0.501158 0.501414 0.501318
145 0.501327 0.501199 0.501456 0.501366
146 0.501368 0.501239 0.501497 0.501413
147 0.501409 0.501279 0.501539 0.50146
148 0.501459 0.501328 0.501589 0.501506
150 0.501557 0.501425 0.501688 0.501595
151 0.501605 0.501472 0.501737 0.501639
152 0.501644 0.501511 0.501777 0.501683
153 0.501684 0.501551 0.501817 0.501726
154 0.501735 0.501601 0.501869 0.501768
156 0.501807 0.501673 0.501942 0.501851
157 0.501851 0.501717 0.501986 0.501892
158 0.501894 0.501759 0.502029 0.501932
159 0.501932 0.501796 0.502067 0.501971
160 0.50197 0.501834 0.502106 0.502011
162 0.502048 0.501911 0.502184 0.502087
163 0.502069 0.501932 0.502206 0.502125
164 0.502108 0.50197 0.502246 0.502162
165 0.502145 0.502006 0.502283 0.502199
166 0.502188 0.502049 0.502327 0.502235
168 0.502256 0.502115 0.502396 0.502307
169 0.502298 0.502157 0.502439 0.502342
170 0.502338 0.502196 0.50248 0.502377
171 0.502372 0.50223 0.502514 0.502411
172 0.502399 0.502257 0.502541 0.502445
174 0.502468 0.502324 0.502611 0.502511
175 0.502499 0.502355 0.502642 0.502544
176 0.502529 0.502385 0.502673 0.502576
177 0.502552 0.502408 0.502696 0.502608
178 0.502583 0.502439 0.502728 0.50264
180 0.502649 0.502503 0.502795 0.502702
181 0.502686 0.50254 0.502833 0.502732
182 0.502709 0.502562 0.502856 0.502762
183 0.502737 0.50259 0.502885 0.502792
184 0.502768 0.50262 0.502915 0.502822
