//total_population estimated_relatedness lower_bound upper_bound relatedness
130 0.642218 nan nan 0.642218
132 0.642307 0.642212 0.642402 0.642302
135 0.642383 0.642234 0.642533 0.642422
137 0.642447 0.64227 0.642623 0.642499
140 0.642463 0.642255 0.642672 0.642611
143 0.642502 0.642267 0.642736 0.642718
145 0.64262 0.64237 0.642871 0.642787
148 0.642636 0.642366 0.642906 0.642887
150 0.642715 0.642434 0.642997 0.642951
153 0.64283 0.642532 0.643129 0.643045
156 0.642961 0.642646 0.643275 0.643135
158 0.643034 0.642711 0.643357 0.643192
161 0.643138 0.6428 0.643475 0.643277
163 0.64327 0.642924 0.643616 0.643331
166 0.643332 0.642974 0.64369 0.64341
169 0.643372 0.643001 0.643742 0.643486
171 0.643443 0.643064 0.643821 0.643536
174 0.643524 0.643137 0.643911 0.643608
176 0.643584 0.643192 0.643976 0.643654
179 0.643614 0.643212 0.644015 0.643722
182 0.643716 0.643305 0.644128 0.643788
184 0.643713 0.643295 0.64413 0.64383
187 0.643771 0.643345 0.644197 0.643892
189 0.643788 0.643357 0.644218 0.643932
192 0.64387 0.643432 0.644307 0.643991
195 0.643859 0.643415 0.644302 0.644048
197 0.643897 0.643449 0.644345 0.644085
200 0.643921 0.643464 0.644377 0.64414
202 0.643894 0.643434 0.644354 0.644175
205 0.643913 0.643447 0.644379 0.644226
208 0.643937 0.643465 0.644408 0.644277
210 0.644024 0.643548 0.644499 0.644309
213 0.644039 0.643559 0.644519 0.644357
215 0.644059 0.643575 0.644544 0.644388
218 0.644069 0.643579 0.644558 0.644433
221 0.644145 0.64365 0.644639 0.644478
223 0.644122 0.643624 0.64462 0.644507
226 0.644206 0.643703 0.644709 0.644549
228 0.644253 0.643748 0.644759 0.644576
231 0.64425 0.64374 0.64476 0.644617
234 0.644339 0.643825 0.644853 0.644656
236 0.64435 0.643833 0.644866 0.644682
239 0.644365 0.643844 0.644885 0.64472
241 0.644402 0.64388 0.644925 0.644745
244 0.644368 0.643842 0.644894 0.644781
247 0.644393 0.643863 0.644923 0.644816
249 0.644438 0.643906 0.64497 0.644839
252 0.644509 0.643975 0.645044 0.644873
254 0.644526 0.643989 0.645063 0.644895
257 0.644581 0.64404 0.645121 0.644928
260 0.644631 0.644086 0.645175 0.64496
262 0.644649 0.644102 0.645195 0.644981
265 0.644642 0.644093 0.645191 0.645011
267 0.644644 0.644094 0.645195 0.645032
270 0.644705 0.644152 0.645258 0.645061
273 0.644756 0.644199 0.645312 0.64509
275 0.644762 0.644203 0.645321 0.645109
278 0.644727 0.644166 0.645288 0.645137
280 0.64477 0.644207 0.645334 0.645155
283 0.644793 0.644227 0.645359 0.645182
286 0.644885 0.644316 0.645453 0.645208
288 0.644897 0.644325 0.645468 0.645225
291 0.644911 0.644336 0.645485 0.645251
293 0.644962 0.644386 0.645538 0.645267
296 0.644982 0.644404 0.64556 0.645292
299 0.645001 0.644421 0.64558 0.645316
301 0.645046 0.644464 0.645627 0.645332
304 0.645093 0.644509 0.645678 0.645355
306 0.645141 0.644556 0.645726 0.64537
309 0.645153 0.644565 0.64574 0.645393
312 0.64521 0.644621 0.645799 0.645415
314 0.645218 0.644628 0.645808 0.645429
317 0.645256 0.644663 0.645849 0.645451
319 0.645269 0.644675 0.645864 0.645465
322 0.645308 0.644713 0.645904 0.645485
325 0.645336 0.644739 0.645933 0.645506
327 0.645358 0.64476 0.645957 0.645519
330 0.645383 0.644782 0.645983 0.645539
332 0.645399 0.644797 0.646001 0.645552
335 0.64541 0.644806 0.646013 0.645571
338 0.645458 0.644853 0.646062 0.64559
340 0.645468 0.644862 0.646074 0.645602
343 0.645481 0.644874 0.646089 0.64562
345 0.645481 0.644872 0.646091 0.645632
348 0.645472 0.644861 0.646083 0.64565
351 0.645488 0.644877 0.6461 0.645667
353 0.645475 0.644862 0.646087 0.645679
356 0.6455 0.644886 0.646115 0.645696
358 0.645501 0.644885 0.646117 0.645707
361 0.64553 0.644913 0.646148 0.645723
364 0.645556 0.644936 0.646175 0.645739
366 0.645594 0.644974 0.646214 0.64575
369 0.64562 0.644999 0.646241 0.645766
371 0.645622 0.645 0.646244 0.645776
374 0.645656 0.645033 0.646279 0.645791
377 0.645653 0.645029 0.646277 0.645807
379 0.645649 0.645024 0.646273 0.645816
382 0.645673 0.645047 0.646298 0.645831
384 0.645686 0.64506 0.646313 0.645841
387 0.64571 0.645082 0.646339 0.645855
390 0.6457 0.64507 0.64633 0.645869
392 0.645694 0.645064 0.646325 0.645878
395 0.645684 0.645052 0.646317 0.645892
397 0.645711 0.645078 0.646345 0.645901
400 0.645725 0.645091 0.646359 0.645915
403 0.645748 0.645113 0.646383 0.645928
405 0.645762 0.645126 0.646397 0.645936
