//total_population estimated_relatedness lower_bound upper_bound relatedness
130 0.642218 nan nan 0.642218
132 0.642237 0.642141 0.642334 0.642302
135 0.642442 0.642292 0.642593 0.642422
137 0.642576 0.6424 0.642753 0.642499
140 0.642728 0.642521 0.642935 0.642611
143 0.642814 0.64258 0.643048 0.642718
145 0.6429 0.642652 0.643149 0.642787
148 0.643083 0.642813 0.643352 0.642887
150 0.643142 0.642859 0.643426 0.642951
153 0.643266 0.642962 0.64357 0.643045
156 0.643329 0.643007 0.64365 0.643135
158 0.643345 0.643013 0.643676 0.643192
161 0.643493 0.643147 0.643838 0.643277
163 0.643513 0.64316 0.643867 0.643331
166 0.643535 0.64317 0.6439 0.64341
169 0.643647 0.643272 0.644021 0.643486
171 0.643705 0.643324 0.644087 0.643536
174 0.643808 0.643417 0.644198 0.643608
176 0.643857 0.643459 0.644254 0.643654
179 0.643962 0.643553 0.644371 0.643722
182 0.643988 0.64357 0.644406 0.643788
184 0.644103 0.64368 0.644526 0.64383
187 0.644224 0.643792 0.644657 0.643892
189 0.64425 0.643813 0.644687 0.643932
192 0.644319 0.643875 0.644763 0.643991
195 0.644425 0.643975 0.644875 0.644048
197 0.644444 0.643988 0.644899 0.644085
200 0.64453 0.644066 0.644994 0.64414
202 0.644528 0.644061 0.644996 0.644175
205 0.644556 0.644082 0.645031 0.644226
208 0.644595 0.644114 0.645075 0.644277
210 0.644611 0.644127 0.645095 0.644309
213 0.644618 0.644128 0.645108 0.644357
215 0.64466 0.644167 0.645154 0.644388
218 0.644672 0.644174 0.645171 0.644433
221 0.644767 0.644264 0.64527 0.644478
223 0.644756 0.644248 0.645264 0.644507
226 0.644809 0.644297 0.645322 0.644549
228 0.644823 0.644307 0.645338 0.644576
231 0.644866 0.644347 0.645385 0.644617
234 0.644937 0.644414 0.645459 0.644656
236 0.644949 0.644424 0.645473 0.644682
239 0.645022 0.644494 0.64555 0.64472
241 0.645033 0.644503 0.645563 0.644745
244 0.645073 0.64454 0.645607 0.644781
247 0.645082 0.644544 0.645619 0.644816
249 0.645126 0.644586 0.645666 0.644839
252 0.645117 0.644573 0.645662 0.644873
254 0.645114 0.644567 0.645661 0.644895
257 0.645183 0.644634 0.645732 0.644928
260 0.645143 0.644591 0.645695 0.64496
262 0.645153 0.644599 0.645706 0.644981
265 0.645133 0.644576 0.645689 0.645011
267 0.645165 0.644607 0.645723 0.645032
270 0.645172 0.64461 0.645734 0.645061
273 0.645219 0.644655 0.645783 0.64509
275 0.645246 0.64468 0.645811 0.645109
278 0.645282 0.644713 0.64585 0.645137
280 0.645277 0.644707 0.645848 0.645155
283 0.645274 0.644701 0.645848 0.645182
286 0.645279 0.644704 0.645855 0.645208
288 0.645288 0.644712 0.645864 0.645225
291 0.645316 0.644738 0.645894 0.645251
293 0.645302 0.644722 0.645882 0.645267
296 0.645327 0.644744 0.645909 0.645292
299 0.645345 0.644759 0.64593 0.645316
301 0.64536 0.644774 0.645946 0.645332
304 0.645398 0.644809 0.645986 0.645355
306 0.645388 0.644799 0.645977 0.64537
309 0.645392 0.644801 0.645983 0.645393
312 0.645422 0.644829 0.646015 0.645415
314 0.645447 0.644852 0.646041 0.645429
317 0.645459 0.644863 0.646056 0.645451
319 0.645466 0.644868 0.646064 0.645465
322 0.645492 0.644893 0.646092 0.645485
325 0.645513 0.644911 0.646114 0.645506
327 0.645503 0.644899 0.646107 0.645519
330 0.645489 0.644883 0.646094 0.645539
332 0.645465 0.644858 0.646072 0.645552
335 0.645511 0.644902 0.64612 0.645571
338 0.64549 0.644879 0.6461 0.64559
340 0.645548 0.644937 0.64616 0.645602
343 0.645563 0.64495 0.646176 0.64562
345 0.645539 0.644925 0.646152 0.645632
348 0.645551 0.644937 0.646166 0.64565
351 0.645568 0.644951 0.646185 0.645667
353 0.645575 0.644957 0.646193 0.645679
356 0.645585 0.644966 0.646204 0.645696
358 0.645622 0.645002 0.646242 0.645707
361 0.645662 0.645042 0.646283 0.645723
364 0.645666 0.645044 0.646287 0.645739
366 0.645671 0.645048 0.646294 0.64575
369 0.645721 0.645097 0.646345 0.645766
371 0.645743 0.645117 0.646368 0.645776
374 0.64577 0.645143 0.646397 0.645791
377 0.645821 0.645193 0.646449 0.645807
379 0.645824 0.645195 0.646453 0.645816
382 0.64584 0.64521 0.64647 0.645831
384 0.645833 0.645202 0.646463 0.645841
387 0.645846 0.645215 0.646477 0.645855
390 0.645853 0.645222 0.646485 0.645869
392 0.64586 0.645228 0.646493 0.645878
395 0.645886 0.645252 0.64652 0.645892
397 0.645872 0.645238 0.646506 0.645901
400 0.645902 0.645267 0.646537 0.645915
403 0.645933 0.645297 0.646568 0.645928
405 0.645958 0.645322 0.646594 0.645936
