//total_population estimated_relatedness lower_bound upper_bound relatedness
70 0.503106 0.503106 0.503106 0.503106
71 0.503314 0.503275 0.503353 0.503306
72 0.503482 0.503427 0.503537 0.5035
74 0.503806 0.503729 0.503882 0.503873
75 0.503981 0.503895 0.504067 0.504051
77 0.504361 0.50426 0.504462 0.504395
78 0.504521 0.504413 0.504628 0.50456
79 0.504666 0.504553 0.504779 0.504721
81 0.504987 0.504864 0.505111 0.50503
82 0.505107 0.504979 0.505235 0.505179
84 0.505354 0.505218 0.50549 0.505467
85 0.505484 0.505345 0.505624 0.505605
86 0.505615 0.505471 0.505758 0.50574
88 0.505848 0.505697 0.505998 0.506002
89 0.505965 0.505811 0.506119 0.506128
91 0.506173 0.506013 0.506334 0.506372
92 0.506273 0.50611 0.506437 0.506489
93 0.506363 0.506197 0.506529 0.506605
95 0.506534 0.506363 0.506704 0.506828
96 0.506616 0.506443 0.506789 0.506936
98 0.506851 0.506673 0.50703 0.507146
99 0.506939 0.506759 0.50712 0.507248
100 0.507065 0.506881 0.507249 0.507347
102 0.507277 0.507088 0.507466 0.50754
103 0.507385 0.507194 0.507576 0.507634
105 0.507596 0.5074 0.507791 0.507816
106 0.507672 0.507474 0.50787 0.507905
107 0.507752 0.507553 0.507952 0.507991
109 0.507912 0.507709 0.508115 0.50816
110 0.507979 0.507774 0.508184 0.508242
112 0.508152 0.507944 0.508361 0.508402
113 0.508253 0.508043 0.508464 0.508479
114 0.508341 0.508129 0.508554 0.508556
116 0.5085 0.508285 0.508715 0.508704
117 0.508564 0.508348 0.50878 0.508777
119 0.50871 0.508491 0.508928 0.508918
120 0.508762 0.508542 0.508982 0.508987
121 0.508832 0.508611 0.509053 0.509054
123 0.508957 0.508735 0.50918 0.509186
124 0.509029 0.508805 0.509253 0.509251
126 0.509135 0.508908 0.509361 0.509376
127 0.5092 0.508972 0.509427 0.509438
128 0.509252 0.509023 0.509481 0.509498
130 0.5094 0.509168 0.509632 0.509616
131 0.509452 0.509219 0.509685 0.509673
133 0.509582 0.509346 0.509818 0.509786
134 0.509642 0.509405 0.509879 0.509841
135 0.509698 0.50946 0.509936 0.509895
137 0.509777 0.509537 0.510017 0.510001
138 0.509833 0.509591 0.510074 0.510053
140 0.509909 0.509665 0.510152 0.510154
141 0.509956 0.509712 0.510201 0.510204
142 0.510003 0.509758 0.510249 0.510253
144 0.510126 0.509878 0.510373 0.510349
145 0.510199 0.509949 0.510448 0.510396
147 0.510287 0.510035 0.510538 0.510488
148 0.510336 0.510084 0.510588 0.510533
149 0.510379 0.510126 0.510632 0.510577
151 0.510463 0.510208 0.510718 0.510664
152 0.510505 0.510249 0.510761 0.510707
154 0.51058 0.510323 0.510837 0.51079
155 0.510626 0.510368 0.510884 0.510831
156 0.510666 0.510407 0.510925 0.510872
158 0.510748 0.510488 0.511009 0.510951
159 0.5108 0.510539 0.511061 0.51099
161 0.510865 0.510603 0.511127 0.511066
162 0.510901 0.510637 0.511164 0.511104
163 0.510942 0.510678 0.511205 0.511141
165 0.51101 0.510745 0.511275 0.511214
166 0.511029 0.510763 0.511294 0.511249
168 0.511113 0.510846 0.51138 0.511319
169 0.511139 0.510871 0.511406 0.511354
170 0.511173 0.510904 0.511441 0.511388
172 0.511225 0.510955 0.511494 0.511455
173 0.511261 0.510991 0.511532 0.511488
175 0.511323 0.511052 0.511594 0.511552
176 0.511357 0.511085 0.511628 0.511584
177 0.511396 0.511123 0.511669 0.511615
179 0.511451 0.511178 0.511725 0.511677
180 0.511481 0.511207 0.511755 0.511707
182 0.51155 0.511275 0.511825 0.511767
183 0.511594 0.511318 0.511869 0.511796
184 0.511624 0.511348 0.5119 0.511825
186 0.511684 0.511407 0.511961 0.511882
187 0.511708 0.51143 0.511986 0.51191
189 0.511749 0.51147 0.512028 0.511965
190 0.511777 0.511498 0.512056 0.511993
191 0.511813 0.511534 0.512093 0.512019
193 0.511874 0.511593 0.512154 0.512072
194 0.511911 0.51163 0.512193 0.512098
196 0.511976 0.511694 0.512259 0.51215
197 0.511998 0.511715 0.512282 0.512175
198 0.512019 0.511735 0.512302 0.5122
200 0.512072 0.511787 0.512356 0.512249
