//total_population estimated_relatedness lower_bound upper_bound relatedness
110 0.833194 nan nan 0.833194
112 0.83329 0.833174 0.833406 0.833248
114 0.833366 0.833203 0.833529 0.833301
116 0.833491 0.833293 0.833689 0.833351
118 0.833572 0.833345 0.833798 0.8334
121 0.833729 0.833468 0.83399 0.83347
123 0.833685 0.833402 0.833968 0.833515
125 0.833659 0.833359 0.833959 0.833558
127 0.833714 0.833396 0.834033 0.8336
129 0.833771 0.833439 0.834103 0.83364
132 0.833712 0.833355 0.834068 0.833699
134 0.833811 0.833441 0.834181 0.833737
136 0.83383 0.833449 0.834211 0.833773
138 0.833793 0.833402 0.834184 0.833809
140 0.833775 0.833372 0.834178 0.833843
143 0.833904 0.833485 0.834323 0.833893
145 0.833925 0.833497 0.834354 0.833925
147 0.833973 0.833535 0.834411 0.833956
149 0.834025 0.83358 0.834471 0.833986
151 0.834006 0.833552 0.834461 0.834016
154 0.834095 0.833628 0.834562 0.834059
156 0.834124 0.833649 0.834599 0.834086
158 0.834102 0.833619 0.834585 0.834113
160 0.834115 0.833625 0.834606 0.834139
162 0.834141 0.833645 0.834636 0.834165
165 0.834192 0.833686 0.834699 0.834202
167 0.834272 0.83376 0.834785 0.834226
169 0.834414 0.833897 0.834931 0.83425
171 0.834438 0.833915 0.83496 0.834273
173 0.834426 0.833899 0.834953 0.834295
176 0.834449 0.833916 0.834983 0.834328
178 0.834438 0.833898 0.834977 0.834349
180 0.834457 0.833913 0.835001 0.83437
182 0.834393 0.833846 0.83494 0.83439
184 0.834407 0.833855 0.834958 0.83441
187 0.834404 0.833845 0.834962 0.834439
189 0.834456 0.833894 0.835018 0.834457
191 0.83447 0.833904 0.835036 0.834476
193 0.8345 0.83393 0.83507 0.834494
195 0.83449 0.833916 0.835064 0.834511
198 0.834529 0.833951 0.835107 0.834537
200 0.834511 0.833929 0.835093 0.834554
202 0.834515 0.833929 0.835101 0.83457
204 0.834565 0.833976 0.835153 0.834586
206 0.834598 0.834006 0.83519 0.834602
209 0.834671 0.834076 0.835267 0.834625
211 0.834649 0.834051 0.835248 0.83464
213 0.834692 0.834091 0.835293 0.834655
215 0.834694 0.83409 0.835299 0.834669
217 0.834698 0.83409 0.835306 0.834683
220 0.834725 0.834113 0.835337 0.834704
222 0.834767 0.834152 0.835382 0.834717
224 0.834774 0.834157 0.835391 0.834731
226 0.834887 0.834267 0.835507 0.834744
228 0.834872 0.834249 0.835495 0.834757
231 0.834847 0.834219 0.835475 0.834775
233 0.834838 0.834207 0.835469 0.834788
235 0.83485 0.834216 0.835485 0.8348
237 0.834837 0.834201 0.835473 0.834812
239 0.834792 0.834154 0.835431 0.834823
242 0.834829 0.834188 0.83547 0.83484
244 0.834829 0.834187 0.835472 0.834852
246 0.834889 0.834245 0.835534 0.834863
248 0.83485 0.834203 0.835498 0.834874
250 0.834819 0.83417 0.835468 0.834884
253 0.834901 0.834249 0.835553 0.8349
255 0.83488 0.834226 0.835534 0.83491
257 0.834877 0.834222 0.835532 0.83492
