//total_population estimated_relatedness lower_bound upper_bound relatedness
40 0.615385 nan nan 0.615385
40 0.615385 nan nan 0.615385
41 0.615951 0.615745 0.616157 0.615854
42 0.616313 0.616024 0.616602 0.6163
43 0.616775 0.616425 0.617125 0.616725
44 0.617028 0.616627 0.617429 0.61713
44 0.617028 0.616627 0.617429 0.61713
45 0.617439 0.616997 0.61788 0.617517
46 0.617837 0.617361 0.618314 0.617886
47 0.618217 0.617708 0.618725 0.61824
48 0.618446 0.617907 0.618985 0.618578
48 0.618446 0.617907 0.618985 0.618578
49 0.618832 0.618268 0.619397 0.618902
50 0.619094 0.618508 0.61968 0.619214
51 0.619353 0.618744 0.619962 0.619512
52 0.619794 0.619163 0.620424 0.619799
52 0.619794 0.619163 0.620424 0.619799
53 0.620153 0.619501 0.620804 0.620075
54 0.620673 0.620001 0.621344 0.620341
55 0.620817 0.62013 0.621503 0.620596
56 0.621032 0.620331 0.621733 0.620843
56 0.621032 0.620331 0.621733 0.620843
57 0.621302 0.620585 0.622019 0.62108
58 0.621546 0.620816 0.622277 0.621309
59 0.621674 0.62093 0.622419 0.621531
60 0.621802 0.621044 0.622561 0.621745
60 0.621802 0.621044 0.622561 0.621745
61 0.621966 0.621194 0.622738 0.621951
62 0.622236 0.621452 0.623021 0.622151
63 0.622452 0.621655 0.623248 0.622345
64 0.622655 0.621849 0.623461 0.622532
64 0.622655 0.621849 0.623461 0.622532
65 0.62278 0.621964 0.623597 0.622713
66 0.623047 0.622219 0.623875 0.622889
67 0.623314 0.622477 0.624151 0.62306
68 0.623389 0.622544 0.624234 0.623225
68 0.623389 0.622544 0.624234 0.623225
69 0.623427 0.622576 0.624277 0.623386
70 0.62355 0.622692 0.624408 0.623542
71 0.623654 0.622789 0.624519 0.623693
72 0.623726 0.622853 0.6246 0.623841
72 0.623726 0.622853 0.6246 0.623841
73 0.62383 0.622949 0.624711 0.623984
74 0.623987 0.6231 0.624875 0.624123
75 0.62421 0.623315 0.625104 0.624258
76 0.624308 0.623406 0.625209 0.62439
76 0.624308 0.623406 0.625209 0.62439
77 0.624459 0.623552 0.625367 0.624519
78 0.624613 0.623698 0.625528 0.624644
79 0.624724 0.623802 0.625646 0.624765
80 0.624887 0.623959 0.625814 0.624884
80 0.624887 0.623959 0.625814 0.624884
81 0.62505 0.624118 0.625982 0.625
82 0.625199 0.624262 0.626135 0.625113
83 0.625367 0.624424 0.62631 0.625223
84 0.625466 0.624519 0.626413 0.625331
84 0.625466 0.624519 0.626413 0.625331
85 0.625537 0.624585 0.626489 0.625436
86 0.625643 0.624686 0.6266 0.625538
87 0.625706 0.624745 0.626667 0.625638
88 0.625806 0.624843 0.62677 0.625736
88 0.625806 0.624843 0.62677 0.625736
89 0.625912 0.624945 0.626879 0.625831
90 0.62609 0.625119 0.627061 0.625925
91 0.62614 0.625164 0.627115 0.626016
92 0.626206 0.625227 0.627185 0.626106
92 0.626206 0.625227 0.627185 0.626106
93 0.626235 0.625251 0.627218 0.626193
94 0.626325 0.625338 0.627312 0.626279
95 0.626469 0.625478 0.627459 0.626362
96 0.62653 0.625534 0.627525 0.626444
96 0.62653 0.625534 0.627525 0.626444
97 0.626656 0.625657 0.627656 0.626524
98 0.626752 0.625749 0.627755 0.626603
99 0.626818 0.625812 0.627823 0.62668
100 0.626912 0.625902 0.627921 0.626755
100 0.626912 0.625902 0.627921 0.626755
101 0.626986 0.625973 0.627999 0.626829
102 0.627037 0.626021 0.628052 0.626902
103 0.627079 0.62606 0.628099 0.626973
104 0.627128 0.626107 0.62815 0.627042
104 0.627128 0.626107 0.62815 0.627042
105 0.627165 0.62614 0.62819 0.627111
106 0.627199 0.626171 0.628227 0.627178
107 0.627292 0.62626 0.628323 0.627243
108 0.627304 0.626271 0.628338 0.627308
108 0.627304 0.626271 0.628338 0.627308
109 0.62739 0.626355 0.628425 0.627371
110 0.627427 0.62639 0.628464 0.627433
111 0.62745 0.626411 0.62849 0.627494
112 0.627569 0.626526 0.628612 0.627554
112 0.627569 0.626526 0.628612 0.627554
113 0.627655 0.62661 0.628701 0.627613
114 0.627689 0.626643 0.628736 0.627671
115 0.627753 0.626703 0.628804 0.627728
116 0.62776 0.626708 0.628813 0.627784
116 0.62776 0.626708 0.628813 0.627784
117 0.627746 0.626692 0.6288 0.627839
118 0.627859 0.626802 0.628915 0.627892
119 0.627962 0.626902 0.629022 0.627945
120 0.628042 0.626981 0.629104 0.627998
120 0.628042 0.626981 0.629104 0.627998
121 0.628106 0.627042 0.629171 0.628049
122 0.628218 0.627151 0.629285 0.628099
123 0.628258 0.627189 0.629326 0.628149
124 0.628286 0.627215 0.629357 0.628198
124 0.628286 0.627215 0.629357 0.628198
125 0.628299 0.627226 0.629371 0.628245
126 0.628321 0.627246 0.629395 0.628293
127 0.628392 0.627316 0.629469 0.628339
128 0.628403 0.627326 0.629481 0.628385
128 0.628403 0.627326 0.629481 0.628385
129 0.628397 0.627317 0.629476 0.62843
130 0.628455 0.627374 0.629537 0.628474
131 0.628531 0.627447 0.629615 0.628518
132 0.628589 0.627502 0.629675 0.628561
132 0.628589 0.627502 0.629675 0.628561
133 0.628613 0.627526 0.6297 0.628603
134 0.628632 0.627544 0.629719 0.628645
135 0.628674 0.627585 0.629763 0.628686
136 0.628736 0.627646 0.629826 0.628726
136 0.628736 0.627646 0.629826 0.628726
137 0.628755 0.627664 0.629845 0.628766
138 0.628813 0.62772 0.629906 0.628805
139 0.628851 0.627757 0.629946 0.628844
140 0.628857 0.627761 0.629953 0.628882
140 0.628857 0.627761 0.629953 0.628882
141 0.628867 0.62777 0.629964 0.62892
142 0.628926 0.627828 0.630024 0.628957
143 0.628972 0.627872 0.630072 0.628993
144 0.629072 0.627971 0.630173 0.62903
144 0.629072 0.627971 0.630173 0.62903
145 0.629071 0.627968 0.630174 0.629065
146 0.629105 0.628001 0.630209 0.6291
147 0.629124 0.628019 0.630229 0.629135
148 0.629132 0.628027 0.630237 0.629169
148 0.629132 0.628027 0.630237 0.629169
149 0.629123 0.628016 0.630231 0.629202
150 0.629197 0.628089 0.630305 0.629236
151 0.629245 0.628135 0.630355 0.629268
152 0.629303 0.628192 0.630415 0.629301
152 0.629303 0.628192 0.630415 0.629301
153 0.629361 0.628248 0.630474 0.629332
