//total_population estimated_relatedness lower_bound upper_bound relatedness
70 0.585921 0.585921 0.585921 0.585921
71 0.586187 0.586081 0.586293 0.586088
72 0.586384 0.586235 0.586532 0.58625
74 0.586728 0.586521 0.586935 0.58656
75 0.586863 0.586633 0.587093 0.586709
77 0.587164 0.586893 0.587435 0.586996
78 0.587288 0.587 0.587576 0.587133
79 0.587481 0.587178 0.587784 0.587267
81 0.587724 0.587392 0.588056 0.587525
82 0.587868 0.587523 0.588213 0.587649
84 0.588086 0.587715 0.588457 0.587889
85 0.588216 0.587836 0.588596 0.588004
86 0.588281 0.587891 0.588672 0.588117
88 0.588445 0.588037 0.588853 0.588335
89 0.588524 0.588108 0.58894 0.58844
91 0.588712 0.58828 0.589144 0.588643
92 0.58876 0.588321 0.589199 0.588741
93 0.588911 0.588464 0.589357 0.588837
95 0.589185 0.588724 0.589645 0.589024
96 0.589295 0.588829 0.589761 0.589114
98 0.589432 0.588955 0.58991 0.589288
99 0.58955 0.589066 0.590035 0.589373
100 0.589636 0.589145 0.590126 0.589456
102 0.589789 0.589288 0.590289 0.589617
103 0.589887 0.589382 0.590393 0.589695
105 0.590041 0.589526 0.590556 0.589847
106 0.590096 0.589577 0.590615 0.58992
107 0.590158 0.589635 0.590681 0.589993
109 0.5903 0.589767 0.590833 0.590133
110 0.590373 0.589835 0.59091 0.590202
112 0.59049 0.589945 0.591035 0.590335
113 0.590587 0.590038 0.591137 0.5904
114 0.590627 0.590072 0.591181 0.590463
116 0.59079 0.590227 0.591352 0.590587
117 0.590884 0.590317 0.59145 0.590647
119 0.590969 0.590396 0.591542 0.590765
120 0.590954 0.590378 0.59153 0.590822
121 0.59104 0.590461 0.591619 0.590879
123 0.591269 0.590683 0.591855 0.590989
124 0.591345 0.590756 0.591934 0.591042
126 0.591486 0.590892 0.592079 0.591147
127 0.591518 0.59092 0.592115 0.591198
128 0.591589 0.590988 0.59219 0.591248
130 0.591703 0.591096 0.59231 0.591347
131 0.59181 0.5912 0.592419 0.591395
133 0.591891 0.591277 0.592505 0.591488
134 0.592 0.591383 0.592616 0.591534
135 0.592094 0.591476 0.592713 0.591579
137 0.592181 0.591558 0.592804 0.591668
138 0.592223 0.591598 0.592848 0.591711
140 0.592283 0.591654 0.592913 0.591795
141 0.592302 0.59167 0.592934 0.591837
142 0.59232 0.591685 0.592954 0.591878
144 0.59241 0.59177 0.59305 0.591957
145 0.592436 0.591793 0.593079 0.591996
147 0.592474 0.591826 0.593121 0.592073
148 0.592533 0.591883 0.593183 0.59211
149 0.592545 0.591892 0.593198 0.592147
151 0.592547 0.591891 0.593204 0.59222
152 0.592571 0.591913 0.59323 0.592256
154 0.592607 0.591946 0.593267 0.592325
155 0.592639 0.591977 0.593302 0.592359
156 0.592694 0.592029 0.593359 0.592393
158 0.592829 0.592161 0.593497 0.592459
159 0.592855 0.592185 0.593525 0.592492
161 0.592899 0.592225 0.593573 0.592555
162 0.592941 0.592266 0.593616 0.592587
163 0.592963 0.592287 0.593639 0.592617
165 0.593005 0.592326 0.593684 0.592678
166 0.593014 0.592334 0.593695 0.592708
168 0.592939 0.592257 0.593622 0.592766
169 0.592952 0.592268 0.593636 0.592795
170 0.592995 0.592309 0.593681 0.592823
172 0.593043 0.592356 0.593731 0.592879
173 0.593096 0.592407 0.593784 0.592906
175 0.593182 0.59249 0.593874 0.59296
176 0.593194 0.5925 0.593888 0.592986
177 0.593192 0.592498 0.593887 0.593013
179 0.593253 0.592555 0.593951 0.593064
180 0.593275 0.592576 0.593975 0.593089
182 0.593335 0.592634 0.594037 0.593139
183 0.593344 0.592642 0.594047 0.593163
184 0.59336 0.592657 0.594063 0.593188
186 0.593406 0.5927 0.594112 0.593235
187 0.593433 0.592726 0.594141 0.593258
189 0.593471 0.592762 0.59418 0.593305
190 0.593501 0.592792 0.594211 0.593327
191 0.593534 0.592824 0.594245 0.59335
193 0.593549 0.592836 0.594262 0.593394
194 0.593567 0.592852 0.594282 0.593415
196 0.593624 0.592908 0.594341 0.593458
197 0.593632 0.592914 0.59435 0.593479
198 0.593636 0.592918 0.594354 0.5935
200 0.593681 0.592961 0.594401 0.593541
201 0.5937 0.592979 0.59442 0.593561
203 0.593765 0.593043 0.594486 0.593601
204 0.593798 0.593074 0.594521 0.593621
205 0.593803 0.593079 0.594527 0.59364
207 0.593881 0.593156 0.594607 0.593679
208 0.593896 0.593169 0.594622 0.593697
210 0.59394 0.593212 0.594668 0.593735
211 0.593963 0.593234 0.594691 0.593753
212 0.593986 0.593256 0.594716 0.593771
214 0.593997 0.593266 0.594729 0.593807
215 0.594024 0.593292 0.594757 0.593825
217 0.594098 0.593364 0.594833 0.593859
218 0.594173 0.593437 0.594908 0.593877
219 0.594198 0.593462 0.594934 0.593894
221 0.594261 0.593524 0.594998 0.593927
222 0.594271 0.593533 0.595008 0.593944
224 0.594365 0.593626 0.595105 0.593976
225 0.594384 0.593643 0.595125 0.593993
226 0.594409 0.593667 0.595152 0.594008
228 0.594434 0.59369 0.595178 0.59404
229 0.594472 0.593727 0.595217 0.594056
231 0.594525 0.593779 0.59527 0.594086
232 0.594533 0.593787 0.59528 0.594101
233 0.594532 0.593786 0.595278 0.594116
235 0.594561 0.593813 0.595308 0.594146
236 0.594583 0.593834 0.595332 0.594161
238 0.594614 0.593864 0.595364 0.59419
239 0.594627 0.593877 0.595377 0.594204
240 0.594648 0.593898 0.595399 0.594218
242 0.594648 0.593896 0.5954 0.594246
243 0.594664 0.593912 0.595416 0.59426
245 0.594678 0.593925 0.595431 0.594287
246 0.594663 0.59391 0.595417 0.5943
247 0.594663 0.593909 0.595417 0.594314
249 0.594681 0.593925 0.595437 0.59434
250 0.594694 0.593937 0.59545 0.594353
252 0.594678 0.593921 0.595434 0.594379
253 0.59471 0.593952 0.595467 0.594392
254 0.594719 0.593961 0.595477 0.594404
256 0.594784 0.594025 0.595543 0.594429
257 0.5948 0.594041 0.59556 0.594442
259 0.594833 0.594072 0.595594 0.594466
260 0.594853 0.594092 0.595615 0.594478
261 0.59487 0.594108 0.595631 0.59449
263 0.59489 0.594128 0.595653 0.594514
264 0.594915 0.594152 0.595678 0.594525
266 0.594964 0.5942 0.595728 0.594548
267 0.594989 0.594224 0.595753 0.59456
268 0.594967 0.594202 0.595732 0.594571
270 0.595023 0.594257 0.595789 0.594594
271 0.595015 0.594248 0.595782 0.594605
273 0.595 0.594232 0.595767 0.594627
274 0.595008 0.59424 0.595777 0.594637
275 0.595031 0.594263 0.5958 0.594648
277 0.595078 0.594308 0.595848 0.594669
278 0.5951 0.594329 0.59587 0.59468
280 0.595102 0.59433 0.595873 0.594701
281 0.595102 0.59433 0.595874 0.594711
282 0.595084 0.594311 0.595856 0.594721
284 0.595123 0.594349 0.595897 0.594742
285 0.595125 0.594351 0.595899 0.594752
287 0.595156 0.594382 0.595931 0.594771
288 0.595164 0.594389 0.595939 0.594781
289 0.595177 0.594401 0.595952 0.594791
291 0.595196 0.59442 0.595973 0.59481
292 0.595207 0.594431 0.595984 0.59482
294 0.595207 0.59443 0.595984 0.594839
295 0.595218 0.594441 0.595995 0.594848
296 0.595225 0.594447 0.596003 0.594857
298 0.595237 0.594459 0.596016 0.594876
299 0.595255 0.594477 0.596034 0.594885
301 0.595283 0.594504 0.596063 0.594903
302 0.595291 0.594511 0.59607 0.594912
303 0.59531 0.59453 0.59609 0.594921
305 0.595298 0.594517 0.596079 0.594938
306 0.595323 0.594541 0.596104 0.594947
308 0.595326 0.594543 0.596109 0.594964
309 0.595334 0.594552 0.596117 0.594972
310 0.595345 0.594562 0.596128 0.594981
312 0.595341 0.594557 0.596125 0.594998
313 0.59534 0.594556 0.596124 0.595006
315 0.595356 0.594571 0.596142 0.595022
316 0.595373 0.594588 0.596159 0.595031
317 0.595375 0.594589 0.596161 0.595039
319 0.595401 0.594615 0.596188 0.595055
320 0.595395 0.594608 0.596182 0.595063
322 0.595409 0.59462 0.596198 0.595078
323 0.595411 0.594622 0.596201 0.595086
324 0.595411 0.594621 0.5962 0.595094
326 0.595446 0.594655 0.596236 0.595109
327 0.595468 0.594676 0.596259 0.595117
329 0.595477 0.594685 0.596268 0.595132
330 0.595491 0.594698 0.596283 0.595139
331 0.595497 0.594704 0.59629 0.595147
333 0.595501 0.594708 0.596294 0.595161
334 0.595515 0.594721 0.596309 0.595169
336 0.595526 0.594732 0.596321 0.595183
337 0.595541 0.594746 0.596336 0.59519
338 0.595564 0.594769 0.59636 0.595197
