//total_population estimated_relatedness lower_bound upper_bound relatedness
60 0.717514 nan nan 0.717514
61 0.717607 0.717446 0.717767 0.717668
62 0.717868 0.717645 0.718091 0.717818
63 0.718157 0.717884 0.718429 0.717962
64 0.718166 0.717852 0.71848 0.718102
66 0.718539 0.718164 0.718913 0.718369
67 0.718752 0.718351 0.719153 0.718496
68 0.718822 0.718395 0.719249 0.71862
69 0.719013 0.718566 0.71946 0.71874
70 0.719202 0.718733 0.719671 0.718856
72 0.719362 0.718854 0.71987 0.71908
73 0.719449 0.718926 0.719972 0.719186
74 0.719463 0.718924 0.720003 0.71929
75 0.719502 0.718948 0.720055 0.719392
76 0.719573 0.719005 0.720142 0.71949
78 0.719793 0.719196 0.720389 0.719679
79 0.719912 0.719304 0.72052 0.71977
80 0.719973 0.719355 0.720592 0.719859
81 0.720007 0.719377 0.720637 0.719945
82 0.720226 0.719584 0.720867 0.72003
84 0.720534 0.719873 0.721196 0.720192
85 0.720588 0.719917 0.721259 0.720271
86 0.720731 0.720052 0.72141 0.720347
87 0.720736 0.720048 0.721424 0.720422
88 0.72086 0.720165 0.721554 0.720495
90 0.721025 0.720313 0.721737 0.720636
91 0.721149 0.720427 0.721872 0.720704
92 0.721136 0.720406 0.721865 0.720771
93 0.721148 0.720412 0.721885 0.720836
94 0.721327 0.720583 0.72207 0.7209
96 0.721332 0.720573 0.722091 0.721024
97 0.721382 0.720617 0.722147 0.721084
98 0.721468 0.720695 0.72224 0.721142
99 0.721574 0.720795 0.722353 0.7212
100 0.721604 0.720819 0.72239 0.721256
102 0.721679 0.720884 0.722474 0.721366
103 0.721696 0.720895 0.722496 0.721419
104 0.721696 0.720891 0.7225 0.721471
105 0.721723 0.720912 0.722534 0.721522
106 0.721814 0.720997 0.722631 0.721572
108 0.721921 0.721094 0.722748 0.721669
109 0.721925 0.721095 0.722756 0.721716
110 0.721976 0.721141 0.722811 0.721763
111 0.721972 0.721133 0.722811 0.721808
112 0.722002 0.721158 0.722846 0.721853
114 0.722075 0.721223 0.722926 0.72194
115 0.722122 0.721267 0.722977 0.721983
116 0.722244 0.721386 0.723102 0.722024
117 0.72232 0.721457 0.723183 0.722065
118 0.722433 0.721566 0.723301 0.722105
120 0.72263 0.721755 0.723504 0.722184
121 0.722721 0.721843 0.7236 0.722222
122 0.722747 0.721864 0.723629 0.72226
123 0.722791 0.721906 0.723676 0.722297
124 0.722783 0.721895 0.723671 0.722333
126 0.72293 0.722037 0.723824 0.722404
127 0.722997 0.7221 0.723893 0.722439
128 0.722972 0.722073 0.723871 0.722473
129 0.723043 0.722142 0.723945 0.722507
130 0.723124 0.722219 0.724028 0.72254
132 0.723234 0.722323 0.724145 0.722605
133 0.723305 0.722391 0.724218 0.722636
134 0.723297 0.722381 0.724212 0.722667
135 0.723394 0.722476 0.724311 0.722698
136 0.723397 0.722477 0.724317 0.722728
138 0.723485 0.72256 0.72441 0.722787
139 0.723506 0.722578 0.724434 0.722816
140 0.723581 0.722649 0.724513 0.722845
141 0.723628 0.722694 0.724562 0.722873
142 0.723702 0.722765 0.724638 0.7229
144 0.723752 0.722811 0.724693 0.722955
145 0.723797 0.722853 0.724741 0.722981
146 0.723861 0.722916 0.724806 0.723007
147 0.723833 0.722886 0.724779 0.723033
148 0.723922 0.722973 0.724872 0.723059
150 0.723982 0.723028 0.724935 0.723109
151 0.724003 0.723048 0.724958 0.723133
152 0.724031 0.723075 0.724988 0.723157
153 0.724094 0.723135 0.725053 0.723181
154 0.724109 0.723148 0.725071 0.723204
156 0.724204 0.723238 0.725169 0.72325
157 0.724249 0.723282 0.725217 0.723273
158 0.724318 0.723349 0.725287 0.723295
159 0.724394 0.723424 0.725364 0.723317
160 0.724409 0.723437 0.725382 0.723339
162 0.724463 0.723487 0.725439 0.723382
163 0.724523 0.723545 0.725501 0.723403
164 0.724529 0.723549 0.725509 0.723424
165 0.724561 0.723581 0.725542 0.723444
166 0.724589 0.723606 0.725571 0.723464
168 0.724621 0.723635 0.725607 0.723504
169 0.724655 0.723668 0.725641 0.723523
170 0.724712 0.723724 0.7257 0.723543
171 0.72471 0.723721 0.725699 0.723562
172 0.724691 0.7237 0.725682 0.72358
174 0.724762 0.723768 0.725755 0.723617
175 0.724793 0.723798 0.725787 0.723635
176 0.724788 0.723792 0.725784 0.723653
177 0.724794 0.723796 0.725792 0.723671
178 0.724816 0.723817 0.725815 0.723689
180 0.724849 0.723847 0.725851 0.723723
181 0.724844 0.723842 0.725846 0.72374
182 0.724856 0.723854 0.725859 0.723757
183 0.724862 0.723858 0.725866 0.723773
184 0.724835 0.723829 0.725841 0.72379
186 0.724901 0.723893 0.72591 0.723822
187 0.724913 0.723904 0.725922 0.723838
188 0.724931 0.72392 0.725942 0.723854
189 0.724986 0.723974 0.725998 0.723869
190 0.725036 0.724023 0.72605 0.723885
192 0.72504 0.724025 0.726055 0.723915
193 0.725091 0.724076 0.726107 0.72393
194 0.725084 0.724067 0.726101 0.723945
195 0.725083 0.724065 0.726102 0.723959
196 0.72513 0.72411 0.72615 0.723974
198 0.725154 0.724132 0.726176 0.724002
199 0.725204 0.724181 0.726228 0.724016
200 0.725182 0.724158 0.726206 0.72403
201 0.72519 0.724164 0.726216 0.724044
202 0.725227 0.724199 0.726254 0.724057
204 0.725288 0.724258 0.726318 0.724084
205 0.725311 0.724281 0.726342 0.724097
206 0.72535 0.724319 0.726381 0.72411
207 0.725373 0.724342 0.726405 0.724123
208 0.725347 0.724314 0.72638 0.724136
210 0.725368 0.724334 0.726402 0.724161
211 0.725378 0.724343 0.726412 0.724174
212 0.725393 0.724358 0.726428 0.724186
213 0.725403 0.724368 0.726439 0.724198
214 0.725417 0.724381 0.726454 0.72421
216 0.725452 0.724414 0.726491 0.724234
217 0.725439 0.724399 0.726479 0.724246
218 0.725474 0.724433 0.726515 0.724258
219 0.725499 0.724457 0.726541 0.724269
220 0.725549 0.724506 0.726592 0.724281
222 0.72558 0.724535 0.726625 0.724303
223 0.725596 0.72455 0.726642 0.724314
224 0.725594 0.724547 0.72664 0.724326
225 0.725606 0.724558 0.726653 0.724336
