//total_population estimated_relatedness lower_bound upper_bound relatedness
1020 0.961516 0.961516 0.961516 0.961516
1040 0.961517 0.961495 0.96154 0.961517
1060 0.961524 0.961492 0.961555 0.961518
1081 0.961527 0.961488 0.961565 0.96152
1101 0.961519 0.961475 0.961563 0.961521
1122 0.961516 0.961467 0.961564 0.961522
1142 0.961518 0.961466 0.961571 0.961524
1162 0.961518 0.961461 0.961574 0.961525
1183 0.961504 0.961445 0.961564 0.961526
1203 0.961518 0.961456 0.961581 0.961527
1224 0.961517 0.961451 0.961583 0.961528
1244 0.961518 0.961449 0.961587 0.961529
1264 0.961506 0.961435 0.961577 0.96153
1285 0.961509 0.961435 0.961582 0.961531
1305 0.961518 0.961442 0.961593 0.961532
1326 0.961512 0.961434 0.96159 0.961533
1346 0.961522 0.961443 0.961602 0.961534
1366 0.961518 0.961437 0.961599 0.961535
1387 0.961535 0.961452 0.961619 0.961535
1407 0.961549 0.961464 0.961634 0.961536
1428 0.961548 0.961461 0.961634 0.961537
1448 0.96155 0.961462 0.961637 0.961538
1468 0.961549 0.96146 0.961638 0.961539
1489 0.961546 0.961456 0.961637 0.961539
1509 0.961538 0.961446 0.96163 0.96154
1530 0.961557 0.961464 0.961651 0.961541
1550 0.961563 0.961468 0.961658 0.961541
1570 0.961553 0.961457 0.961649 0.961542
1591 0.961556 0.961459 0.961653 0.961543
1611 0.961555 0.961457 0.961654 0.961543
1632 0.961543 0.961444 0.961643 0.961544
1652 0.961549 0.961449 0.96165 0.961544
1672 0.961564 0.961462 0.961665 0.961545
1693 0.96156 0.961458 0.961663 0.961546
1713 0.961555 0.961451 0.961658 0.961546
1734 0.961558 0.961454 0.961662 0.961547
1754 0.961559 0.961454 0.961665 0.961547
1774 0.961565 0.961459 0.961671 0.961548
1795 0.961574 0.961467 0.961681 0.961548
1815 0.961581 0.961473 0.961689 0.961549
1836 0.961581 0.961473 0.96169 0.961549
1856 0.961573 0.961463 0.961682 0.961549
1876 0.96157 0.96146 0.96168 0.96155
1897 0.961568 0.961458 0.961678 0.96155
1917 0.961565 0.961454 0.961676 0.961551
1938 0.961555 0.961443 0.961666 0.961551
1958 0.96154 0.961428 0.961653 0.961552
1978 0.961544 0.961431 0.961657 0.961552
1999 0.961548 0.961434 0.961661 0.961552
2019 0.961552 0.961438 0.961666 0.961553
2040 0.961562 0.961447 0.961676 0.961553
2060 0.961558 0.961443 0.961673 0.961554
2080 0.961559 0.961444 0.961674 0.961554
2101 0.961559 0.961443 0.961675 0.961554
2121 0.961555 0.961438 0.961671 0.961555
2142 0.961555 0.961438 0.961672 0.961555
2162 0.961558 0.961441 0.961675 0.961555
2182 0.961568 0.96145 0.961686 0.961556
2203 0.961561 0.961443 0.961679 0.961556
2223 0.961556 0.961437 0.961675 0.961556
2244 0.961561 0.961441 0.961681 0.961557
2264 0.961557 0.961437 0.961677 0.961557
2284 0.961566 0.961446 0.961686 0.961557
2305 0.961565 0.961444 0.961685 0.961558
2325 0.961557 0.961436 0.961679 0.961558
2346 0.961552 0.96143 0.961674 0.961558
2366 0.961549 0.961426 0.961671 0.961558
2386 0.961551 0.961428 0.961674 0.961559
2407 0.961552 0.961429 0.961676 0.961559
2427 0.961552 0.961428 0.961676 0.961559
2448 0.961549 0.961425 0.961673 0.96156
2468 0.96154 0.961415 0.961664 0.96156
2488 0.961536 0.961411 0.961661 0.96156
2509 0.961542 0.961417 0.961667 0.96156
2529 0.961541 0.961416 0.961667 0.961561
2550 0.961533 0.961407 0.961658 0.961561
2570 0.961522 0.961396 0.961648 0.961561
2590 0.96152 0.961394 0.961646 0.961561
2611 0.961526 0.9614 0.961653 0.961561
2631 0.961526 0.961399 0.961653 0.961562
2652 0.961527 0.961399 0.961654 0.961562
2672 0.961533 0.961405 0.96166 0.961562
2692 0.961534 0.961406 0.961662 0.961562
2713 0.961527 0.961399 0.961656 0.961563
2733 0.96152 0.961392 0.961649 0.961563
2754 0.961521 0.961392 0.96165 0.961563
2774 0.961519 0.961389 0.961648 0.961563
2794 0.961519 0.96139 0.961649 0.961563
2815 0.961516 0.961386 0.961646 0.961564
2835 0.961518 0.961387 0.961648 0.961564
2856 0.961522 0.961392 0.961653 0.961564
2876 0.961517 0.961386 0.961647 0.961564
2896 0.961516 0.961386 0.961647 0.961564
2917 0.961518 0.961387 0.961649 0.961565
2937 0.961524 0.961393 0.961655 0.961565
2958 0.961527 0.961395 0.961658 0.961565
2978 0.961532 0.9614 0.961664 0.961565
2998 0.961538 0.961406 0.961669 0.961565
3019 0.961537 0.961406 0.961669 0.961565
3039 0.961539 0.961407 0.961671 0.961566
3060 0.96154 0.961407 0.961672 0.961566
3080 0.961542 0.96141 0.961675 0.961566
3100 0.961549 0.961416 0.961681 0.961566
3121 0.961544 0.961411 0.961677 0.961566
3141 0.961537 0.961403 0.96167 0.961566
3162 0.961538 0.961405 0.961672 0.961567
3182 0.961535 0.961401 0.961668 0.961567
3202 0.961541 0.961407 0.961675 0.961567
3223 0.961543 0.961409 0.961678 0.961567
3243 0.961542 0.961407 0.961676 0.961567
3264 0.961546 0.961411 0.961681 0.961567
3284 0.96155 0.961415 0.961685 0.961568
3304 0.961551 0.961415 0.961686 0.961568
3325 0.961549 0.961414 0.961685 0.961568
3345 0.961549 0.961414 0.961685 0.961568
3366 0.961548 0.961412 0.961684 0.961568
3386 0.96155 0.961414 0.961686 0.961568
3406 0.961553 0.961417 0.961689 0.961568
3427 0.961552 0.961416 0.961689 0.961568
3447 0.961551 0.961415 0.961688 0.961569
3468 0.961553 0.961416 0.961689 0.961569
3488 0.961551 0.961413 0.961688 0.961569
3508 0.961551 0.961414 0.961688 0.961569
3529 0.961553 0.961415 0.96169 0.961569
3549 0.961556 0.961419 0.961694 0.961569
3570 0.961555 0.961418 0.961693 0.961569
3590 0.961549 0.961411 0.961687 0.96157
3610 0.961549 0.96141 0.961687 0.96157
3631 0.961555 0.961417 0.961693 0.96157
3651 0.961558 0.961419 0.961696 0.96157
3672 0.961558 0.961419 0.961696 0.96157
3692 0.961556 0.961418 0.961695 0.96157
3712 0.961561 0.961422 0.9617 0.96157
3733 0.961562 0.961424 0.961701 0.96157
3753 0.961566 0.961427 0.961705 0.96157
3774 0.961566 0.961427 0.961705 0.961571
3794 0.961567 0.961428 0.961707 0.961571
3814 0.961569 0.961429 0.961708 0.961571
3835 0.961563 0.961424 0.961703 0.961571
3855 0.961561 0.961421 0.9617 0.961571
3876 0.961561 0.961422 0.961701 0.961571
3896 0.96156 0.96142 0.9617 0.961571
3916 0.961558 0.961418 0.961697 0.961571
3937 0.961559 0.961419 0.961699 0.961571
3957 0.961559 0.961419 0.961699 0.961571
3978 0.961557 0.961416 0.961697 0.961572
3998 0.961551 0.961411 0.961692 0.961572
4018 0.961558 0.961418 0.961699 0.961572
4039 0.961558 0.961417 0.961699 0.961572
4059 0.961556 0.961416 0.961697 0.961572
4080 0.961556 0.961415 0.961697 0.961572
4100 0.961559 0.961418 0.9617 0.961572
4120 0.961556 0.961414 0.961697 0.961572
4141 0.961553 0.961411 0.961694 0.961572
4161 0.961553 0.961412 0.961695 0.961572
4182 0.961553 0.961411 0.961694 0.961573
4202 0.961556 0.961415 0.961698 0.961573
4222 0.961552 0.96141 0.961694 0.961573
4243 0.961553 0.961411 0.961695 0.961573
4263 0.961556 0.961414 0.961698 0.961573
4284 0.961556 0.961414 0.961699 0.961573
4304 0.961555 0.961412 0.961697 0.961573
4324 0.961554 0.961412 0.961697 0.961573
4345 0.961557 0.961415 0.961699 0.961573
4365 0.961562 0.96142 0.961704 0.961573
4386 0.961562 0.96142 0.961705 0.961573
4406 0.961562 0.961419 0.961704 0.961573
4426 0.961563 0.96142 0.961706 0.961574
4447 0.961566 0.961423 0.961708 0.961574
4467 0.961567 0.961425 0.96171 0.961574
4488 0.96157 0.961428 0.961713 0.961574
4508 0.961568 0.961425 0.961711 0.961574
4528 0.961568 0.961425 0.961711 0.961574
4549 0.961566 0.961423 0.96171 0.961574
4569 0.961568 0.961425 0.961711 0.961574
4590 0.96157 0.961427 0.961713 0.961574
4610 0.961569 0.961426 0.961713 0.961574
4630 0.961569 0.961426 0.961712 0.961574
4651 0.961567 0.961424 0.961711 0.961574
4671 0.961571 0.961428 0.961715 0.961574
4692 0.961575 0.961431 0.961718 0.961575
4712 0.961577 0.961433 0.96172 0.961575
4732 0.96157 0.961426 0.961714 0.961575
4753 0.961567 0.961423 0.961711 0.961575
4773 0.961566 0.961422 0.96171 0.961575
4794 0.961566 0.961422 0.96171 0.961575
4814 0.961563 0.961419 0.961707 0.961575
4834 0.961562 0.961418 0.961706 0.961575
