//total_population estimated_relatedness lower_bound upper_bound relatedness
80 0.493671 nan nan 0.493671
81 0.493827 nan nan 0.493827
83 0.494127 0.494122 0.494133 0.494128
84 0.494266 0.494259 0.494273 0.494273
86 0.494549 0.494538 0.49456 0.494553
88 0.494809 0.494794 0.494823 0.49482
89 0.494939 0.494923 0.494955 0.494949
91 0.495185 0.495166 0.495204 0.495199
92 0.495301 0.495281 0.495322 0.495319
94 0.49554 0.495516 0.495565 0.495553
96 0.495756 0.495728 0.495783 0.495776
97 0.495869 0.49584 0.495898 0.495885
99 0.496082 0.49605 0.496114 0.496095
100 0.49618 0.496147 0.496213 0.496197
102 0.49637 0.496335 0.496406 0.496394
104 0.49656 0.496522 0.496598 0.496584
105 0.496657 0.496617 0.496696 0.496676
107 0.496835 0.496793 0.496876 0.496855
108 0.496928 0.496885 0.496971 0.496942
110 0.497083 0.497038 0.497128 0.497112
112 0.49725 0.497203 0.497297 0.497275
113 0.497339 0.497291 0.497388 0.497354
115 0.497499 0.497449 0.49755 0.497509
116 0.497576 0.497525 0.497628 0.497585
118 0.497717 0.497664 0.497771 0.497731
120 0.497864 0.497808 0.49792 0.497873
121 0.497935 0.497878 0.497992 0.497942
123 0.498064 0.498005 0.498122 0.498077
124 0.498128 0.498069 0.498187 0.498143
126 0.498259 0.498198 0.498321 0.498272
128 0.498386 0.498323 0.498449 0.498396
129 0.498448 0.498384 0.498511 0.498457
131 0.498559 0.498494 0.498624 0.498575
132 0.498617 0.498551 0.498683 0.498633
134 0.498721 0.498653 0.498788 0.498747
136 0.498835 0.498766 0.498904 0.498857
137 0.498881 0.498812 0.498951 0.498911
139 0.498977 0.498907 0.499048 0.499016
140 0.499024 0.498953 0.499095 0.499067
142 0.499136 0.499064 0.499207 0.499168
144 0.49924 0.499167 0.499313 0.499266
145 0.499297 0.499223 0.499371 0.499314
147 0.499389 0.499314 0.499464 0.499408
148 0.49943 0.499354 0.499505 0.499454
150 0.499522 0.499445 0.4996 0.499544
152 0.499595 0.499516 0.499673 0.499632
153 0.499624 0.499546 0.499703 0.499675
155 0.49971 0.49963 0.49979 0.499759
156 0.499754 0.499674 0.499835 0.499801
158 0.499846 0.499764 0.499928 0.499882
160 0.499923 0.49984 0.500006 0.499961
161 0.499961 0.499878 0.500044 0.5
163 0.500035 0.499951 0.50012 0.500076
164 0.500082 0.499996 0.500167 0.500114
166 0.500149 0.500063 0.500235 0.500187
168 0.500215 0.500127 0.500302 0.500259
169 0.500253 0.500165 0.500341 0.500294
171 0.500331 0.500242 0.500421 0.500363
172 0.500364 0.500274 0.500453 0.500397
174 0.500426 0.500336 0.500516 0.500464
176 0.500488 0.500397 0.50058 0.500529
177 0.50051 0.500418 0.500602 0.500561
179 0.500562 0.50047 0.500654 0.500624
180 0.500592 0.5005 0.500685 0.500655
182 0.500657 0.500563 0.50075 0.500716
184 0.500712 0.500617 0.500806 0.500776
185 0.500738 0.500644 0.500833 0.500805
187 0.500797 0.500701 0.500893 0.500863
188 0.500824 0.500728 0.50092 0.500891
190 0.500888 0.500791 0.500984 0.500947
192 0.500942 0.500844 0.501039 0.501002
