//total_population estimated_relatedness lower_bound upper_bound relatedness
1000 0.499499 0.499499 0.4995 0.499499
1020 0.499519 0.499519 0.499519 0.499519
1040 0.499538 0.499538 0.499539 0.499538
1060 0.499556 0.499555 0.499557 0.499556
1080 0.499574 0.499573 0.499575 0.499574
1100 0.499591 0.499589 0.499592 0.49959
1120 0.499607 0.499605 0.499608 0.499607
1140 0.499622 0.499621 0.499624 0.499622
1160 0.499637 0.499635 0.499639 0.499638
1180 0.499651 0.499649 0.499653 0.499652
1200 0.499666 0.499664 0.499669 0.499666
1220 0.49968 0.499678 0.499683 0.49968
1240 0.499693 0.49969 0.499695 0.499693
1260 0.499705 0.499702 0.499707 0.499706
1280 0.499717 0.499714 0.49972 0.499718
1300 0.499729 0.499726 0.499732 0.49973
1320 0.499741 0.499737 0.499744 0.499742
1340 0.499752 0.499748 0.499755 0.499753
1360 0.499763 0.49976 0.499767 0.499764
1380 0.499775 0.499772 0.499779 0.499775
1400 0.499786 0.499782 0.49979 0.499785
1420 0.499796 0.499792 0.4998 0.499795
1440 0.499805 0.499801 0.499809 0.499805
1460 0.499815 0.499811 0.499819 0.499815
1480 0.499824 0.49982 0.499829 0.499824
1500 0.499833 0.499828 0.499837 0.499833
1520 0.499842 0.499837 0.499847 0.499842
1540 0.499849 0.499845 0.499854 0.49985
1560 0.499858 0.499853 0.499863 0.499859
1580 0.499866 0.499861 0.499871 0.499867
1600 0.499874 0.499868 0.499879 0.499875
1620 0.499882 0.499876 0.499887 0.499882
1640 0.499889 0.499883 0.499894 0.49989
1660 0.499896 0.499891 0.499902 0.499897
1680 0.499905 0.499899 0.49991 0.499905
1700 0.499911 0.499905 0.499917 0.499912
1720 0.499918 0.499912 0.499924 0.499918
1740 0.499925 0.499919 0.499931 0.499925
1760 0.499931 0.499925 0.499937 0.499932
1780 0.499938 0.499932 0.499945 0.499938
1800 0.499945 0.499938 0.499951 0.499944
1820 0.49995 0.499944 0.499957 0.49995
1840 0.499957 0.49995 0.499963 0.499956
1860 0.499962 0.499956 0.499969 0.499962
1880 0.499967 0.499961 0.499974 0.499968
1900 0.499973 0.499966 0.49998 0.499973
1920 0.499978 0.499971 0.499985 0.499979
1940 0.499983 0.499977 0.49999 0.499984
1960 0.499988 0.499981 0.499995 0.49999
1980 0.499994 0.499987 0.500001 0.499995
2000 0.499999 0.499992 0.500006 0.5
2020 0.500003 0.499996 0.50001 0.500005
2040 0.500008 0.500001 0.500015 0.50001
2060 0.500012 0.500004 0.500019 0.500014
2080 0.500016 0.500009 0.500023 0.500019
2100 0.50002 0.500013 0.500027 0.500024
2120 0.500024 0.500017 0.500031 0.500028
2140 0.500028 0.500021 0.500035 0.500032
2160 0.500033 0.500026 0.50004 0.500037
2180 0.500036 0.500029 0.500044 0.500041
2200 0.50004 0.500033 0.500048 0.500045
2220 0.500044 0.500037 0.500052 0.500049
2240 0.500049 0.500041 0.500056 0.500053
2260 0.500052 0.500045 0.50006 0.500057
2280 0.500056 0.500049 0.500064 0.500061
2300 0.50006 0.500053 0.500068 0.500065
2320 0.500064 0.500057 0.500072 0.500069
2340 0.500067 0.500059 0.500075 0.500072
2360 0.50007 0.500062 0.500078 0.500076
2380 0.500074 0.500066 0.500082 0.50008
2400 0.500078 0.50007 0.500086 0.500083
2420 0.500081 0.500073 0.500089 0.500087
2440 0.500085 0.500077 0.500093 0.50009
2460 0.500089 0.50008 0.500097 0.500093
2480 0.500091 0.500083 0.500099 0.500097
2500 0.500094 0.500086 0.500102 0.5001
2520 0.500098 0.500089 0.500106 0.500103
2540 0.5001 0.500092 0.500109 0.500106
2560 0.500103 0.500095 0.500112 0.500109
2580 0.500106 0.500098 0.500115 0.500112
2600 0.500109 0.500101 0.500118 0.500115
2620 0.500112 0.500103 0.50012 0.500118
2640 0.500114 0.500106 0.500122 0.500121
2660 0.500118 0.500109 0.500126 0.500124
2680 0.50012 0.500111 0.500128 0.500127
2700 0.500122 0.500113 0.50013 0.500129
2720 0.500125 0.500116 0.500133 0.500132
2740 0.500128 0.500119 0.500136 0.500135
2760 0.500131 0.500122 0.500139 0.500137
2780 0.500134 0.500125 0.500142 0.50014
2800 0.500135 0.500126 0.500144 0.500143
2820 0.500137 0.500129 0.500146 0.500145
2840 0.50014 0.500131 0.500148 0.500148
2860 0.500141 0.500132 0.50015 0.50015
2880 0.500144 0.500135 0.500152 0.500153
2900 0.500146 0.500137 0.500154 0.500155
2920 0.500148 0.500139 0.500157 0.500157
2940 0.50015 0.500142 0.500159 0.50016
2960 0.500153 0.500144 0.500162 0.500162
2980 0.500155 0.500146 0.500164 0.500164
3000 0.500157 0.500148 0.500166 0.500166
3020 0.50016 0.500151 0.500169 0.500169
3040 0.500162 0.500153 0.500171 0.500171
3060 0.500164 0.500155 0.500173 0.500173
3080 0.500166 0.500157 0.500175 0.500175
3100 0.500167 0.500158 0.500176 0.500177
3120 0.50017 0.500161 0.500179 0.500179
3140 0.500172 0.500162 0.500181 0.500181
3160 0.500173 0.500164 0.500182 0.500183
3180 0.500175 0.500166 0.500184 0.500185
3200 0.500177 0.500168 0.500186 0.500187
3220 0.500179 0.50017 0.500189 0.500189
3240 0.500182 0.500173 0.500191 0.500191
3260 0.500184 0.500175 0.500193 0.500193
3280 0.500186 0.500177 0.500195 0.500195
3300 0.500188 0.500179 0.500197 0.500197
3320 0.500189 0.50018 0.500198 0.500199
3340 0.500192 0.500183 0.500201 0.5002
3360 0.500194 0.500184 0.500203 0.500202
3380 0.500195 0.500185 0.500204 0.500204
3400 0.500196 0.500187 0.500206 0.500206
3420 0.500198 0.500189 0.500207 0.500207
3440 0.500199 0.50019 0.500209 0.500209
3460 0.500201 0.500191 0.50021 0.500211
3480 0.500202 0.500193 0.500212 0.500212
3500 0.500204 0.500195 0.500214 0.500214
3520 0.500206 0.500196 0.500216 0.500216
3540 0.500208 0.500198 0.500218 0.500217
3560 0.500209 0.5002 0.500219 0.500219
3580 0.500211 0.500201 0.500221 0.50022
3600 0.500212 0.500203 0.500222 0.500222
3620 0.500215 0.500205 0.500224 0.500223
3640 0.500216 0.500206 0.500225 0.500225
3660 0.500218 0.500208 0.500228 0.500226
3680 0.50022 0.50021 0.50023 0.500228
3700 0.500221 0.500211 0.500231 0.500229
3720 0.500222 0.500213 0.500232 0.500231
3740 0.500224 0.500214 0.500234 0.500232
3760 0.500225 0.500215 0.500235 0.500234
3780 0.500226 0.500217 0.500236 0.500235
3800 0.500228 0.500218 0.500238 0.500237
3820 0.50023 0.50022 0.500239 0.500238
3840 0.500231 0.500221 0.500241 0.500239
3860 0.500233 0.500223 0.500243 0.500241
3880 0.500234 0.500224 0.500244 0.500242
3900 0.500235 0.500225 0.500245 0.500243
3920 0.500236 0.500226 0.500246 0.500245
3940 0.500237 0.500227 0.500247 0.500246
3960 0.500239 0.500229 0.500249 0.500247
3980 0.50024 0.50023 0.50025 0.500248
4000 0.500241 0.500231 0.500251 0.50025
4020 0.500242 0.500232 0.500252 0.500251
4040 0.500243 0.500233 0.500253 0.500252
4060 0.500244 0.500234 0.500254 0.500253
4080 0.500246 0.500236 0.500256 0.500255
4100 0.500247 0.500237 0.500257 0.500256
4120 0.500248 0.500238 0.500258 0.500257
4140 0.50025 0.50024 0.50026 0.500258
4160 0.500252 0.500241 0.500262 0.500259
4180 0.500253 0.500243 0.500263 0.50026
4200 0.500254 0.500244 0.500265 0.500262
4220 0.500256 0.500246 0.500266 0.500263
4240 0.500257 0.500247 0.500267 0.500264
4260 0.500258 0.500248 0.500268 0.500265
4280 0.50026 0.50025 0.50027 0.500266
4300 0.500261 0.500251 0.500271 0.500267
4320 0.500262 0.500252 0.500273 0.500268
4340 0.500263 0.500253 0.500273 0.500269
4360 0.500264 0.500254 0.500274 0.50027
4380 0.500265 0.500255 0.500275 0.500271
4400 0.500266 0.500256 0.500276 0.500272
4420 0.500267 0.500257 0.500278 0.500273
4440 0.500268 0.500258 0.500278 0.500274
4460 0.500268 0.500258 0.500278 0.500275
4480 0.500269 0.500258 0.500279 0.500276
4500 0.50027 0.500259 0.50028 0.500277
4520 0.500271 0.500261 0.500281 0.500278
4540 0.500272 0.500261 0.500282 0.500279
4560 0.500273 0.500262 0.500283 0.50028
4580 0.500274 0.500263 0.500284 0.500281
4600 0.500275 0.500264 0.500285 0.500282
4620 0.500276 0.500265 0.500286 0.500283
4640 0.500277 0.500267 0.500288 0.500284
4660 0.500278 0.500267 0.500288 0.500285
4680 0.500279 0.500269 0.50029 0.500286
4700 0.50028 0.50027 0.500291 0.500287
4720 0.500281 0.50027 0.500291 0.500288
4740 0.500281 0.500271 0.500292 0.500289
4760 0.500283 0.500272 0.500294 0.50029
4780 0.500284 0.500273 0.500295 0.50029
4800 0.500285 0.500275 0.500296 0.500291
4820 0.500286 0.500275 0.500297 0.500292
4840 0.500287 0.500277 0.500298 0.500293
4860 0.500288 0.500277 0.500298 0.500294
4880 0.500289 0.500278 0.500299 0.500295
4900 0.50029 0.500279 0.5003 0.500296
4920 0.500291 0.50028 0.500302 0.500296
4940 0.500292 0.500281 0.500302 0.500297
4960 0.500293 0.500282 0.500303 0.500298
4980 0.500293 0.500283 0.500304 0.500299
5000 0.500294 0.500283 0.500305 0.5003
5020 0.500295 0.500285 0.500306 0.5003
5040 0.500296 0.500285 0.500307 0.500301
5060 0.500297 0.500286 0.500308 0.500302
5080 0.500298 0.500287 0.500308 0.500303
5100 0.500298 0.500288 0.500309 0.500304
5120 0.500299 0.500288 0.50031 0.500304
5140 0.5003 0.500289 0.500311 0.500305
5160 0.500301 0.50029 0.500312 0.500306
5180 0.500302 0.500291 0.500313 0.500307
5200 0.500302 0.500291 0.500313 0.500307
5220 0.500302 0.500291 0.500313 0.500308
5240 0.500303 0.500292 0.500314 0.500309
5260 0.500303 0.500293 0.500314 0.50031
5280 0.500304 0.500293 0.500315 0.50031
5300 0.500305 0.500294 0.500316 0.500311
5320 0.500306 0.500295 0.500317 0.500312
5340 0.500307 0.500296 0.500318 0.500312
5360 0.500307 0.500296 0.500318 0.500313
5380 0.500308 0.500297 0.500319 0.500314
5400 0.500309 0.500298 0.50032 0.500314
5420 0.50031 0.500299 0.500321 0.500315
5440 0.500311 0.5003 0.500322 0.500316
