//total_population estimated_relatedness lower_bound upper_bound relatedness
60 0.548023 nan nan 0.548023
61 0.548238 0.548137 0.548339 0.54827
62 0.548549 0.548407 0.548691 0.548508
63 0.548853 0.548682 0.549025 0.54874
64 0.549117 0.54892 0.549314 0.548963
66 0.549575 0.549338 0.549812 0.549391
67 0.549775 0.549519 0.55003 0.549594
68 0.550016 0.549742 0.550289 0.549792
69 0.550225 0.549938 0.550512 0.549984
70 0.550423 0.550123 0.550723 0.55017
72 0.550756 0.550431 0.551081 0.550527
73 0.550966 0.550631 0.551301 0.550698
74 0.551176 0.550832 0.551521 0.550865
75 0.551274 0.550918 0.55163 0.551026
76 0.551417 0.551053 0.551781 0.551184
78 0.551791 0.551408 0.552174 0.551487
79 0.551988 0.551597 0.55238 0.551632
80 0.552196 0.551797 0.552595 0.551774
81 0.552355 0.551949 0.55276 0.551913
82 0.552516 0.552103 0.55293 0.552047
84 0.552824 0.552398 0.55325 0.552308
85 0.55284 0.552409 0.553271 0.552433
86 0.552945 0.552508 0.553382 0.552555
87 0.55309 0.552647 0.553533 0.552675
88 0.553251 0.552802 0.5537 0.552792
90 0.553535 0.553075 0.553994 0.553018
91 0.553683 0.553219 0.554148 0.553127
92 0.553733 0.553263 0.554203 0.553234
93 0.553771 0.553297 0.554245 0.553338
94 0.553845 0.553366 0.554323 0.55344
96 0.55404 0.553553 0.554526 0.553638
97 0.554139 0.553647 0.55463 0.553734
98 0.554243 0.553748 0.554738 0.553828
99 0.55435 0.553851 0.554849 0.55392
100 0.554436 0.553933 0.55494 0.55401
102 0.554575 0.554063 0.555087 0.554185
103 0.554664 0.554147 0.55518 0.55427
104 0.554723 0.554204 0.555242 0.554353
105 0.554774 0.554252 0.555297 0.554435
106 0.554901 0.554374 0.555427 0.554515
108 0.555024 0.554492 0.555557 0.55467
109 0.555063 0.554527 0.5556 0.554746
110 0.555154 0.554615 0.555692 0.55482
111 0.555229 0.554687 0.55577 0.554893
112 0.555331 0.554787 0.555874 0.554965
114 0.555486 0.554936 0.556035 0.555104
115 0.555514 0.554963 0.556065 0.555172
116 0.555548 0.554994 0.556101 0.555239
117 0.555642 0.555086 0.556199 0.555304
118 0.555726 0.555167 0.556285 0.555369
120 0.555831 0.555268 0.556394 0.555494
121 0.555918 0.555353 0.556483 0.555556
122 0.555972 0.555405 0.55654 0.555616
123 0.555994 0.555425 0.556563 0.555675
124 0.556046 0.555475 0.556617 0.555733
126 0.5561 0.555526 0.556675 0.555847
127 0.556159 0.555582 0.556736 0.555903
128 0.55626 0.555681 0.556839 0.555957
129 0.556287 0.555706 0.556868 0.556011
130 0.556302 0.555719 0.556884 0.556064
132 0.556412 0.555825 0.556999 0.556167
133 0.556493 0.555903 0.557083 0.556218
134 0.556514 0.555922 0.557105 0.556268
135 0.55656 0.555967 0.557153 0.556317
136 0.556563 0.555969 0.557157 0.556365
138 0.556663 0.556065 0.55726 0.55646
139 0.556683 0.556083 0.557282 0.556506
140 0.556744 0.556143 0.557344 0.556551
141 0.556793 0.556191 0.557395 0.556596
142 0.556882 0.556278 0.557486 0.556641
144 0.556911 0.556304 0.557518 0.556727
145 0.55698 0.556372 0.557589 0.55677
146 0.557056 0.556446 0.557665 0.556812
147 0.557081 0.556469 0.557693 0.556853
148 0.557121 0.556509 0.557733 0.556894
150 0.557191 0.556576 0.557805 0.556974
151 0.557223 0.556607 0.557838 0.557013
152 0.557242 0.556626 0.557859 0.557051
153 0.557303 0.556685 0.557922 0.557089
154 0.557364 0.556744 0.557984 0.557127
156 0.557426 0.556805 0.558047 0.557201
157 0.557447 0.556825 0.558069 0.557237
158 0.557481 0.556857 0.558106 0.557273
159 0.557509 0.556884 0.558134 0.557308
160 0.557515 0.556889 0.558142 0.557343
162 0.557572 0.556943 0.558201 0.557411
163 0.557633 0.557004 0.558263 0.557445
164 0.557646 0.557016 0.558277 0.557478
165 0.557685 0.557053 0.558318 0.55751
166 0.557742 0.557108 0.558376 0.557543
168 0.557793 0.557156 0.55843 0.557606
169 0.557823 0.557184 0.558461 0.557637
170 0.557848 0.557209 0.558487 0.557668
171 0.557866 0.557227 0.558505 0.557698
172 0.557923 0.557283 0.558563 0.557729
174 0.557956 0.557314 0.558597 0.557788
175 0.557995 0.557352 0.558637 0.557817
176 0.558022 0.557378 0.558666 0.557845
177 0.558053 0.557408 0.558698 0.557874
178 0.558086 0.557439 0.558732 0.557902
180 0.558175 0.557526 0.558825 0.557957
181 0.558199 0.557549 0.558849 0.557984
182 0.558238 0.557587 0.558889 0.558011
183 0.558265 0.557612 0.558917 0.558038
184 0.558287 0.557633 0.55894 0.558064
186 0.558342 0.557688 0.558997 0.558115
187 0.558352 0.557697 0.559007 0.558141
188 0.55836 0.557704 0.559016 0.558166
189 0.558388 0.557731 0.559045 0.558191
190 0.558417 0.557759 0.559076 0.558216
192 0.558449 0.55779 0.559108 0.558264
193 0.558469 0.557809 0.559129 0.558288
194 0.558489 0.557828 0.55915 0.558311
195 0.558509 0.557848 0.55917 0.558335
196 0.558521 0.557859 0.559183 0.558358
198 0.558513 0.557849 0.559177 0.558403
199 0.558538 0.557873 0.559203 0.558426
200 0.558551 0.557885 0.559217 0.558448
201 0.558571 0.557905 0.559238 0.55847
202 0.558584 0.557917 0.559251 0.558492
204 0.55864 0.557972 0.559309 0.558535
205 0.558669 0.558 0.559339 0.558556
206 0.558685 0.558015 0.559356 0.558577
207 0.558694 0.558023 0.559365 0.558597
208 0.558721 0.558049 0.559394 0.558618
210 0.558726 0.558052 0.5594 0.558658
211 0.558778 0.558103 0.559452 0.558678
212 0.558799 0.558124 0.559474 0.558698
213 0.55879 0.558114 0.559465 0.558717
214 0.558802 0.558127 0.559478 0.558737
216 0.558822 0.558146 0.559498 0.558775
217 0.558819 0.558142 0.559495 0.558794
218 0.558835 0.558158 0.559513 0.558812
219 0.558816 0.558138 0.559494 0.558831
220 0.558812 0.558134 0.559489 0.558849
222 0.558853 0.558175 0.559531 0.558885
223 0.558861 0.558183 0.55954 0.558903
224 0.558873 0.558194 0.559552 0.558921
225 0.558894 0.558215 0.559573 0.558938
226 0.55894 0.55826 0.55962 0.558956
228 0.558985 0.558304 0.559666 0.55899
229 0.55901 0.558328 0.559691 0.559007
230 0.559017 0.558334 0.5597 0.559024
231 0.559033 0.558349 0.559716 0.55904
232 0.559042 0.558358 0.559726 0.559057
234 0.559123 0.558437 0.559809 0.559089
235 0.559143 0.558457 0.559829 0.559105
236 0.55917 0.558484 0.559857 0.559121
237 0.559211 0.558523 0.559898 0.559137
238 0.559209 0.558522 0.559897 0.559152
240 0.559232 0.558543 0.559921 0.559183
241 0.55924 0.558551 0.55993 0.559199
242 0.559217 0.558527 0.559907 0.559214
243 0.559242 0.558552 0.559933 0.559229
244 0.559256 0.558565 0.559946 0.559244
246 0.559286 0.558594 0.559978 0.559273
247 0.559305 0.558613 0.559997 0.559287
248 0.559315 0.558622 0.560008 0.559302
249 0.559333 0.55864 0.560027 0.559316
250 0.559357 0.558663 0.560051 0.55933
252 0.559381 0.558686 0.560076 0.559358
253 0.559385 0.558689 0.56008 0.559372
254 0.559404 0.558708 0.5601 0.559386
255 0.559426 0.558729 0.560122 0.559399
256 0.559448 0.558752 0.560145 0.559413
258 0.559506 0.558807 0.560205 0.55944
259 0.559513 0.558814 0.560212 0.559453
260 0.559534 0.558835 0.560233 0.559466
261 0.55955 0.55885 0.560249 0.559479
262 0.559572 0.558871 0.560273 0.559492
264 0.559605 0.558903 0.560307 0.559517
265 0.559622 0.55892 0.560324 0.55953
266 0.559641 0.558938 0.560344 0.559542
267 0.559635 0.558932 0.560337 0.559555
268 0.559631 0.558928 0.560334 0.559567
270 0.559621 0.558918 0.560325 0.559591
271 0.559628 0.558925 0.560332 0.559603
272 0.559635 0.558931 0.560338 0.559615
273 0.559625 0.558922 0.560329 0.559627
274 0.559629 0.558925 0.560333 0.559639
276 0.559618 0.558913 0.560322 0.559662
277 0.559637 0.558932 0.560342 0.559674
278 0.559655 0.55895 0.56036 0.559685
279 0.559668 0.558962 0.560373 0.559697
280 0.559691 0.558985 0.560397 0.559708
282 0.559715 0.559008 0.560421 0.55973
283 0.559741 0.559034 0.560448 0.559741
284 0.559744 0.559037 0.560452 0.559752
285 0.559746 0.559038 0.560454 0.559763
286 0.559754 0.559045 0.560463 0.559774
288 0.559782 0.559073 0.560492 0.559795
289 0.559783 0.559073 0.560493 0.559806
290 0.559803 0.559093 0.560513 0.559816
291 0.559815 0.559104 0.560525 0.559827
292 0.559824 0.559113 0.560535 0.559837
294 0.559839 0.559128 0.560551 0.559858
295 0.559849 0.559137 0.560561 0.559868
296 0.559868 0.559156 0.56058 0.559878
297 0.559883 0.559171 0.560596 0.559888
298 0.559898 0.559185 0.560611 0.559898
300 0.559908 0.559194 0.560622 0.559917
301 0.559944 0.55923 0.560659 0.559927
302 0.559952 0.559238 0.560667 0.559937
303 0.559968 0.559254 0.560683 0.559946
304 0.559992 0.559277 0.560707 0.559956
306 0.560045 0.559329 0.560761 0.559975
307 0.560052 0.559335 0.560768 0.559984
308 0.560066 0.55935 0.560782 0.559994
309 0.560076 0.559359 0.560792 0.560003
310 0.560088 0.559371 0.560805 0.560012
312 0.560119 0.559402 0.560837 0.56003
313 0.560147 0.559429 0.560866 0.560039
314 0.560149 0.55943 0.560867 0.560048
315 0.560145 0.559426 0.560864 0.560057
316 0.560156 0.559437 0.560875 0.560066
318 0.56017 0.55945 0.560889 0.560083
319 0.560172 0.559452 0.560892 0.560092
320 0.560176 0.559456 0.560896 0.560101
321 0.560194 0.559474 0.560915 0.560109
322 0.560196 0.559475 0.560916 0.560118
324 0.560172 0.559451 0.560893 0.560135
325 0.560182 0.559461 0.560903 0.560143
326 0.560195 0.559473 0.560916 0.560151
327 0.560203 0.559481 0.560926 0.56016
328 0.560206 0.559484 0.560928 0.560168
330 0.560223 0.559501 0.560946 0.560184
331 0.560238 0.559515 0.560961 0.560192
332 0.560247 0.559524 0.560971 0.5602
333 0.560237 0.559513 0.560961 0.560208
334 0.560236 0.559512 0.56096 0.560216
336 0.560255 0.55953 0.560979 0.560232
337 0.560263 0.559538 0.560987 0.560239
338 0.56029 0.559565 0.561014 0.560247
339 0.560292 0.559568 0.561017 0.560255
340 0.560308 0.559582 0.561033 0.560262
342 0.560334 0.559608 0.56106 0.560278
343 0.560356 0.55963 0.561082 0.560285
344 0.560358 0.559631 0.561084 0.560293
345 0.560369 0.559642 0.561095 0.5603
346 0.56037 0.559643 0.561097 0.560307
348 0.560383 0.559656 0.561111 0.560322
349 0.560387 0.55966 0.561115 0.560329
350 0.560405 0.559678 0.561133 0.560336
351 0.560414 0.559687 0.561142 0.560343
352 0.56041 0.559682 0.561137 0.560351
354 0.560431 0.559703 0.561158 0.560365
355 0.560425 0.559697 0.561152 0.560372
356 0.560431 0.559703 0.561159 0.560379
357 0.560429 0.559701 0.561157 0.560386
358 0.560432 0.559703 0.56116 0.560392
360 0.560446 0.559717 0.561175 0.560406
361 0.560452 0.559722 0.561181 0.560413
362 0.560465 0.559735 0.561195 0.56042
363 0.560478 0.559748 0.561208 0.560426
364 0.5605 0.55977 0.56123 0.560433
366 0.560517 0.559786 0.561247 0.560446
367 0.560522 0.559791 0.561253 0.560453
368 0.560521 0.55979 0.561253 0.560459
369 0.560543 0.559812 0.561274 0.560466
370 0.560544 0.559813 0.561276 0.560472
372 0.560563 0.559831 0.561295 0.560485
373 0.560563 0.559831 0.561295 0.560491
374 0.560571 0.559838 0.561303 0.560498
375 0.560577 0.559845 0.56131 0.560504
376 0.560582 0.559849 0.561314 0.56051
378 0.560609 0.559877 0.561342 0.560522
379 0.56061 0.559876 0.561343 0.560529
380 0.56063 0.559897 0.561364 0.560535
381 0.560638 0.559904 0.561372 0.560541
382 0.560649 0.559915 0.561383 0.560547
384 0.560652 0.559917 0.561387 0.560559
385 0.560649 0.559914 0.561383 0.560565
386 0.560654 0.559919 0.561389 0.560571
387 0.560657 0.559922 0.561392 0.560576
388 0.560672 0.559937 0.561407 0.560582
390 0.560702 0.559966 0.561438 0.560594
391 0.560701 0.559965 0.561438 0.5606
392 0.560715 0.559978 0.561451 0.560605
393 0.560725 0.559988 0.561461 0.560611
394 0.560721 0.559985 0.561458 0.560617
396 0.560747 0.56001 0.561484 0.560628
397 0.560748 0.560011 0.561485 0.560634
398 0.560754 0.560016 0.561491 0.560639
399 0.560763 0.560025 0.5615 0.560645
400 0.560766 0.560028 0.561504 0.56065
402 0.560784 0.560046 0.561522 0.560661
403 0.560779 0.560041 0.561517 0.560667
404 0.560779 0.560041 0.561518 0.560672
405 0.560781 0.560043 0.561519 0.560677
406 0.560783 0.560045 0.561522 0.560683
408 0.560773 0.560034 0.561511 0.560693
409 0.560774 0.560035 0.561513 0.560699
410 0.56078 0.560041 0.561519 0.560704
411 0.560788 0.560049 0.561527 0.560709
412 0.560787 0.560047 0.561526 0.560714
414 0.560797 0.560058 0.561536 0.560725
415 0.560808 0.560069 0.561548 0.56073
416 0.560814 0.560074 0.561554 0.560735
417 0.560824 0.560083 0.561564 0.56074
418 0.560831 0.560091 0.561571 0.560745
420 0.560838 0.560098 0.561578 0.560755
421 0.560837 0.560097 0.561577 0.56076
422 0.560844 0.560103 0.561584 0.560765
423 0.560851 0.560111 0.561592 0.56077
424 0.560858 0.560117 0.561598 0.560775
426 0.560867 0.560125 0.561608 0.560784
427 0.560874 0.560132 0.561616 0.560789
428 0.560881 0.560139 0.561623 0.560794
429 0.56087 0.560128 0.561612 0.560799
430 0.560885 0.560143 0.561628 0.560803
432 0.560912 0.560169 0.561654 0.560813
433 0.560915 0.560172 0.561658 0.560818
434 0.560912 0.560169 0.561655 0.560822
435 0.560922 0.560179 0.561664 0.560827
436 0.560931 0.560188 0.561675 0.560832
438 0.56094 0.560197 0.561684 0.560841
439 0.560943 0.560199 0.561686 0.560845
440 0.560943 0.560199 0.561688 0.56085
441 0.560936 0.560192 0.56168 0.560854
442 0.560936 0.560192 0.56168 0.560859
444 0.560941 0.560196 0.561685 0.560868
445 0.560958 0.560213 0.561702 0.560872
446 0.560953 0.560208 0.561697 0.560877
447 0.560947 0.560203 0.561692 0.560881
448 0.560954 0.56021 0.561699 0.560886
450 0.560976 0.560231 0.561721 0.560894
451 0.560978 0.560233 0.561723 0.560899
452 0.560981 0.560236 0.561726 0.560903
453 0.560982 0.560237 0.561727 0.560907
454 0.560993 0.560248 0.561739 0.560911
456 0.560996 0.560251 0.561741 0.56092
457 0.561003 0.560258 0.561749 0.560924
458 0.561004 0.560258 0.561749 0.560928
459 0.561011 0.560265 0.561757 0.560933
460 0.561007 0.560261 0.561753 0.560937
462 0.561006 0.56026 0.561752 0.560945
463 0.561009 0.560263 0.561756 0.560949
464 0.56102 0.560273 0.561766 0.560953
465 0.561026 0.560279 0.561772 0.560957
466 0.561029 0.560282 0.561776 0.560961
468 0.561037 0.56029 0.561784 0.560969
469 0.561043 0.560296 0.561791 0.560973
470 0.561036 0.560288 0.561783 0.560977
471 0.561032 0.560284 0.56178 0.560981
472 0.561028 0.560281 0.561776 0.560985
474 0.561045 0.560298 0.561793 0.560993
475 0.561042 0.560295 0.56179 0.560997
476 0.561044 0.560296 0.561792 0.561001
477 0.561049 0.560302 0.561797 0.561005
478 0.561049 0.560301 0.561797 0.561009
480 0.561057 0.560309 0.561805 0.561016
481 0.561053 0.560305 0.561802 0.56102
482 0.561065 0.560316 0.561813 0.561024
