//total_population estimated_relatedness lower_bound upper_bound relatedness
540 0.862571 0.862571 0.862571 0.862571
550 0.862526 0.862475 0.862578 0.862581
561 0.862513 0.862439 0.862587 0.86259
572 0.862499 0.86241 0.862589 0.8626
583 0.862498 0.862395 0.862601 0.862609
594 0.862543 0.862428 0.862658 0.862618
604 0.862539 0.862414 0.862664 0.862625
615 0.862547 0.862414 0.86268 0.862633
626 0.862535 0.862395 0.862675 0.862641
637 0.862514 0.862366 0.862662 0.862649
648 0.862533 0.862378 0.862687 0.862656
658 0.862545 0.862385 0.862706 0.862663
669 0.862512 0.862346 0.862679 0.862669
680 0.862508 0.862335 0.86268 0.862676
691 0.862513 0.862336 0.86269 0.862682
702 0.862505 0.862323 0.862686 0.862689
712 0.862525 0.862339 0.862711 0.862694
723 0.862537 0.862347 0.862727 0.8627
734 0.862573 0.862379 0.862767 0.862706
745 0.862583 0.862385 0.862781 0.862711
756 0.862589 0.862387 0.862791 0.862717
766 0.862585 0.862379 0.86279 0.862721
777 0.86259 0.862381 0.862799 0.862726
788 0.862627 0.862416 0.862839 0.862731
799 0.862647 0.862432 0.862861 0.862736
810 0.862658 0.862441 0.862874 0.862741
820 0.862665 0.862445 0.862885 0.862745
831 0.86266 0.862437 0.862883 0.862749
842 0.862658 0.862433 0.862884 0.862754
853 0.862683 0.862455 0.86291 0.862758
864 0.862706 0.862476 0.862936 0.862762
874 0.862742 0.86251 0.862975 0.862766
885 0.862738 0.862503 0.862972 0.86277
896 0.862761 0.862525 0.862997 0.862773
907 0.862784 0.862545 0.863022 0.862777
918 0.862769 0.862529 0.863009 0.862781
928 0.862762 0.86252 0.863004 0.862784
939 0.862753 0.862509 0.862997 0.862787
950 0.862761 0.862515 0.863007 0.862791
961 0.862754 0.862506 0.863002 0.862794
972 0.862708 0.862457 0.862958 0.862797
982 0.862713 0.862461 0.862965 0.8628
993 0.862722 0.862468 0.862976 0.862803
1004 0.862696 0.86244 0.862952 0.862806
1015 0.862716 0.862459 0.862973 0.862809
1026 0.862713 0.862455 0.862971 0.862812
1036 0.86268 0.86242 0.86294 0.862815
1047 0.86269 0.862429 0.862952 0.862818
1058 0.862704 0.862442 0.862967 0.86282
1069 0.8627 0.862436 0.862964 0.862823
1080 0.862671 0.862406 0.862937 0.862826
1090 0.862663 0.862396 0.86293 0.862828
1101 0.862669 0.862401 0.862937 0.86283
1112 0.86268 0.86241 0.862949 0.862833
1123 0.862678 0.862408 0.862948 0.862835
1134 0.862665 0.862393 0.862936 0.862838
1144 0.862663 0.862391 0.862935 0.86284
1155 0.86268 0.862406 0.862953 0.862842
1166 0.862694 0.862419 0.862969 0.862844
1177 0.862689 0.862414 0.862965 0.862846
1188 0.862682 0.862405 0.862959 0.862849
1198 0.8627 0.862422 0.862978 0.862851
1209 0.8627 0.862421 0.862978 0.862853
1220 0.862692 0.862413 0.862971 0.862855
1231 0.862685 0.862405 0.862966 0.862857
1242 0.862677 0.862396 0.862958 0.862859
1252 0.862681 0.862399 0.862963 0.86286
1263 0.862668 0.862385 0.862951 0.862862
1274 0.862652 0.862368 0.862937 0.862864
1285 0.862633 0.862348 0.862919 0.862866
1296 0.86262 0.862334 0.862906 0.862868
1306 0.862628 0.862341 0.862915 0.86287
1317 0.862622 0.862334 0.86291 0.862871
1328 0.862637 0.862348 0.862925 0.862873
1339 0.862627 0.862338 0.862915 0.862875
1350 0.862632 0.862342 0.862921 0.862876
1360 0.862641 0.862351 0.862931 0.862878
1371 0.862634 0.862343 0.862924 0.862879
1382 0.862639 0.862348 0.86293 0.862881
1393 0.862662 0.86237 0.862954 0.862883
1404 0.862663 0.86237 0.862956 0.862884
1414 0.862674 0.862381 0.862967 0.862886
1425 0.862666 0.862372 0.86296 0.862887
1436 0.862654 0.86236 0.862948 0.862889
1447 0.862656 0.862361 0.862951 0.86289
1458 0.862669 0.862374 0.862965 0.862891
1468 0.862674 0.862378 0.86297 0.862893
1479 0.862663 0.862366 0.86296 0.862894
1490 0.862669 0.862371 0.862966 0.862895
1501 0.862686 0.862388 0.862984 0.862897
1512 0.862687 0.862388 0.862986 0.862898
1522 0.862691 0.862392 0.86299 0.862899
1533 0.86269 0.86239 0.862989 0.862901
1544 0.862673 0.862372 0.862973 0.862902
1555 0.862676 0.862375 0.862977 0.862903
1566 0.862664 0.862363 0.862965 0.862904
1576 0.862676 0.862374 0.862978 0.862905
1587 0.862669 0.862366 0.862971 0.862907
1598 0.862663 0.86236 0.862966 0.862908
1609 0.86266 0.862357 0.862963 0.862909
1620 0.862649 0.862345 0.862953 0.86291
1630 0.862642 0.862337 0.862946 0.862911
1641 0.862646 0.862341 0.862951 0.862912
1652 0.86265 0.862344 0.862956 0.862913
1663 0.862646 0.86234 0.862952 0.862915
1674 0.862646 0.86234 0.862953 0.862916
1684 0.862661 0.862354 0.862968 0.862917
1695 0.862647 0.86234 0.862955 0.862918
1706 0.862662 0.862354 0.86297 0.862919
1717 0.862669 0.862361 0.862977 0.86292
1728 0.862669 0.86236 0.862978 0.862921
1738 0.862672 0.862363 0.862981 0.862922
1749 0.86268 0.862371 0.86299 0.862923
1760 0.86268 0.86237 0.86299 0.862924
1771 0.862668 0.862358 0.862978 0.862925
1782 0.862664 0.862354 0.862974 0.862926
1792 0.86265 0.86234 0.862961 0.862926
1803 0.862642 0.862331 0.862953 0.862927
1814 0.862646 0.862334 0.862957 0.862928
1825 0.862661 0.862349 0.862972 0.862929
1836 0.862643 0.862331 0.862956 0.86293
1846 0.862656 0.862343 0.862968 0.862931
1857 0.86265 0.862337 0.862963 0.862932
1868 0.86264 0.862326 0.862954 0.862933
1879 0.862631 0.862317 0.862945 0.862934
1890 0.862636 0.862322 0.862951 0.862934
1900 0.862638 0.862324 0.862953 0.862935
1911 0.862644 0.862328 0.862959 0.862936
1922 0.862657 0.862342 0.862973 0.862937
1933 0.86266 0.862344 0.862976 0.862938
1944 0.862665 0.862349 0.862981 0.862938
1954 0.862656 0.86234 0.862972 0.862939
1965 0.86266 0.862343 0.862976 0.86294
1976 0.862647 0.86233 0.862964 0.862941
1987 0.86263 0.862313 0.862947 0.862941
1998 0.862628 0.86231 0.862945 0.862942
2008 0.862612 0.862294 0.86293 0.862943
2019 0.862599 0.862281 0.862917 0.862944
2030 0.8626 0.862282 0.862919 0.862944
2041 0.862596 0.862278 0.862915 0.862945
2052 0.862601 0.862282 0.86292 0.862946
2062 0.862604 0.862284 0.862923 0.862946
2073 0.8626 0.86228 0.86292 0.862947
2084 0.8626 0.86228 0.86292 0.862948
2095 0.862602 0.862282 0.862922 0.862949
2106 0.862607 0.862287 0.862928 0.862949
2116 0.862611 0.86229 0.862931 0.86295
2127 0.862616 0.862295 0.862937 0.862951
2138 0.862619 0.862298 0.86294 0.862951
2149 0.86262 0.862299 0.862942 0.862952
2160 0.862615 0.862293 0.862937 0.862953
2170 0.862618 0.862296 0.86294 0.862953
2181 0.862616 0.862294 0.862939 0.862954
2192 0.862617 0.862295 0.862939 0.862954
2203 0.862616 0.862293 0.862938 0.862955
2214 0.862617 0.862294 0.86294 0.862956
2224 0.862616 0.862293 0.862939 0.862956
2235 0.862615 0.862292 0.862939 0.862957
2246 0.86261 0.862286 0.862934 0.862957
2257 0.862618 0.862294 0.862942 0.862958
2268 0.862629 0.862305 0.862953 0.862959
2278 0.862622 0.862298 0.862947 0.862959
2289 0.862617 0.862292 0.862942 0.86296
2300 0.862613 0.862288 0.862938 0.86296
2311 0.862619 0.862293 0.862944 0.862961
2322 0.862621 0.862296 0.862947 0.862961
2332 0.862617 0.862291 0.862942 0.862962
2343 0.862604 0.862278 0.86293 0.862962
