//total_population estimated_relatedness lower_bound upper_bound relatedness
60 0.717514 nan nan 0.717514
61 0.717681 0.717521 0.71784 0.717668
62 0.717744 0.717519 0.717969 0.717818
63 0.717896 0.717623 0.718169 0.717962
64 0.718086 0.717773 0.7184 0.718102
66 0.718361 0.717981 0.71874 0.718369
67 0.718417 0.718009 0.718824 0.718496
68 0.71854 0.718109 0.718971 0.71862
69 0.718591 0.718137 0.719044 0.71874
70 0.718706 0.718232 0.719179 0.718856
72 0.719023 0.718513 0.719533 0.71908
73 0.719165 0.718638 0.719691 0.719186
74 0.71925 0.718708 0.719791 0.71929
75 0.71939 0.718831 0.719948 0.719392
76 0.719497 0.718924 0.72007 0.71949
78 0.719581 0.718982 0.720179 0.719679
79 0.719658 0.719048 0.720269 0.71977
80 0.71978 0.719161 0.7204 0.719859
81 0.719881 0.71925 0.720512 0.719945
82 0.719974 0.719331 0.720617 0.72003
84 0.720051 0.719385 0.720716 0.720192
85 0.720062 0.719386 0.720738 0.720271
86 0.720122 0.719436 0.720808 0.720347
87 0.720242 0.719548 0.720936 0.720422
88 0.720347 0.719645 0.721049 0.720495
90 0.720487 0.719768 0.721206 0.720636
91 0.720522 0.719796 0.721248 0.720704
92 0.720543 0.719808 0.721277 0.720771
93 0.720558 0.719817 0.7213 0.720836
94 0.720613 0.719865 0.721361 0.7209
96 0.720694 0.719933 0.721455 0.721024
97 0.720783 0.720016 0.721551 0.721084
98 0.720807 0.720033 0.721581 0.721142
99 0.720906 0.720126 0.721686 0.7212
100 0.720997 0.720212 0.721782 0.721256
102 0.7211 0.720303 0.721897 0.721366
103 0.721184 0.720382 0.721986 0.721419
104 0.721208 0.720399 0.722016 0.721471
105 0.721159 0.720345 0.721972 0.721522
106 0.72127 0.720453 0.722087 0.721572
108 0.721398 0.72057 0.722225 0.721669
109 0.721511 0.72068 0.722342 0.721716
110 0.721667 0.720832 0.722501 0.721763
111 0.721736 0.720897 0.722575 0.721808
112 0.721782 0.720939 0.722626 0.721853
114 0.72181 0.720959 0.72266 0.72194
115 0.721854 0.721 0.722709 0.721983
116 0.721869 0.721012 0.722727 0.722024
117 0.721994 0.721132 0.722856 0.722065
118 0.722074 0.721208 0.72294 0.722105
120 0.722167 0.721292 0.723041 0.722184
121 0.722243 0.721367 0.723119 0.722222
122 0.72227 0.721389 0.72315 0.72226
123 0.722338 0.721455 0.723221 0.722297
124 0.722448 0.721562 0.723333 0.722333
126 0.722532 0.721639 0.723425 0.722404
127 0.722543 0.721647 0.723439 0.722439
128 0.722603 0.721703 0.723503 0.722473
129 0.722652 0.721749 0.723555 0.722507
130 0.722658 0.721753 0.723564 0.72254
132 0.722644 0.721732 0.723556 0.722605
133 0.722725 0.72181 0.723639 0.722636
134 0.722798 0.72188 0.723716 0.722667
135 0.722839 0.721917 0.723761 0.722698
136 0.72286 0.721934 0.723785 0.722728
138 0.722849 0.721919 0.723779 0.722787
139 0.722898 0.721967 0.72383 0.722816
140 0.722926 0.721993 0.723859 0.722845
141 0.722943 0.722008 0.723877 0.722873
142 0.722985 0.72205 0.72392 0.7229
144 0.723024 0.722084 0.723963 0.722955
145 0.723047 0.722105 0.723989 0.722981
146 0.723074 0.72213 0.724018 0.723007
147 0.723066 0.72212 0.724013 0.723033
148 0.723095 0.722145 0.724045 0.723059
150 0.723113 0.72216 0.724066 0.723109
151 0.723167 0.722213 0.724122 0.723133
152 0.723237 0.722281 0.724193 0.723157
153 0.723251 0.722293 0.724209 0.723181
154 0.723335 0.722376 0.724295 0.723204
156 0.723323 0.722359 0.724287 0.72325
157 0.723291 0.722327 0.724256 0.723273
158 0.723338 0.722372 0.724305 0.723295
159 0.723334 0.722365 0.724303 0.723317
160 0.723326 0.722355 0.724298 0.723339
162 0.723393 0.722417 0.724369 0.723382
163 0.723404 0.722427 0.724381 0.723403
164 0.723418 0.722439 0.724396 0.723424
165 0.723425 0.722445 0.724405 0.723444
166 0.723452 0.72247 0.724433 0.723464
168 0.723494 0.72251 0.724479 0.723504
169 0.723534 0.722547 0.724521 0.723523
170 0.723578 0.722589 0.724567 0.723543
171 0.723579 0.722589 0.72457 0.723562
172 0.723603 0.722613 0.724594 0.72358
174 0.723613 0.722621 0.724605 0.723617
175 0.723648 0.722655 0.724641 0.723635
176 0.723673 0.722678 0.724669 0.723653
177 0.723748 0.722751 0.724745 0.723671
178 0.723744 0.722745 0.724742 0.723689
180 0.723748 0.722747 0.724749 0.723723
181 0.723756 0.722754 0.724759 0.72374
182 0.723821 0.722817 0.724824 0.723757
183 0.723828 0.722823 0.724832 0.723773
184 0.723839 0.722833 0.724845 0.72379
186 0.723871 0.722863 0.724879 0.723822
187 0.723927 0.722917 0.724936 0.723838
188 0.723972 0.722962 0.724983 0.723854
189 0.724014 0.723001 0.725027 0.723869
190 0.724067 0.723051 0.725082 0.723885
192 0.724057 0.72304 0.725074 0.723915
193 0.724078 0.723059 0.725097 0.72393
194 0.724097 0.723077 0.725118 0.723945
195 0.724091 0.723069 0.725112 0.723959
196 0.724105 0.723083 0.725128 0.723974
198 0.724174 0.723149 0.725198 0.724002
199 0.724222 0.723196 0.725248 0.724016
200 0.724247 0.72322 0.725274 0.72403
201 0.724259 0.72323 0.725287 0.724044
202 0.724293 0.723264 0.725323 0.724057
204 0.724297 0.723265 0.725329 0.724084
205 0.724354 0.723322 0.725386 0.724097
206 0.724351 0.723317 0.725384 0.72411
207 0.724369 0.723334 0.725403 0.724123
208 0.724392 0.723357 0.725427 0.724136
210 0.724461 0.723425 0.725498 0.724161
211 0.724477 0.72344 0.725515 0.724174
