//total_population estimated_relatedness lower_bound upper_bound relatedness
150 0.552573 nan nan 0.552573
153 0.552696 0.552626 0.552766 0.55269
156 0.552758 0.55266 0.552857 0.552802
159 0.552915 0.552795 0.553034 0.55291
162 0.553109 0.552972 0.553245 0.553014
165 0.553224 0.553072 0.553375 0.553115
168 0.553325 0.553161 0.55349 0.553211
171 0.553413 0.553236 0.553589 0.553305
174 0.55352 0.553334 0.553706 0.553395
177 0.553624 0.553429 0.55382 0.553482
180 0.553713 0.553508 0.553919 0.553566
183 0.553802 0.553587 0.554016 0.553647
186 0.553883 0.55366 0.554106 0.553726
189 0.553986 0.553756 0.554216 0.553802
192 0.554082 0.553846 0.554318 0.553876
195 0.554153 0.55391 0.554395 0.553947
198 0.554212 0.553964 0.55446 0.554017
201 0.554328 0.554074 0.554582 0.554084
204 0.55441 0.55415 0.55467 0.554149
207 0.554453 0.554188 0.554718 0.554212
210 0.554514 0.554244 0.554784 0.554274
213 0.554506 0.55423 0.554781 0.554334
216 0.554584 0.554304 0.554864 0.554392
219 0.554612 0.554328 0.554895 0.554448
222 0.55465 0.554363 0.554937 0.554503
225 0.554678 0.554387 0.554969 0.554557
228 0.554742 0.554448 0.555036 0.554609
231 0.554752 0.554454 0.555049 0.55466
234 0.554764 0.554462 0.555065 0.554709
237 0.5548 0.554495 0.555106 0.554757
240 0.554879 0.55457 0.555188 0.554804
243 0.554921 0.554609 0.555233 0.55485
246 0.554959 0.554643 0.555274 0.554895
249 0.555027 0.554708 0.555346 0.554938
252 0.555055 0.554733 0.555377 0.554981
255 0.555055 0.55473 0.55538 0.555023
258 0.555085 0.554758 0.555413 0.555063
261 0.555125 0.554794 0.555456 0.555103
264 0.55521 0.554877 0.555543 0.555141
267 0.555255 0.554919 0.555591 0.555179
270 0.555295 0.554957 0.555633 0.555216
273 0.555358 0.555017 0.555698 0.555253
276 0.555381 0.555038 0.555724 0.555288
279 0.555409 0.555064 0.555754 0.555323
282 0.555434 0.555087 0.555781 0.555357
285 0.555477 0.555127 0.555826 0.55539
288 0.555472 0.55512 0.555823 0.555422
291 0.555503 0.555149 0.555856 0.555454
294 0.555516 0.555161 0.555872 0.555485
297 0.555574 0.555216 0.555931 0.555516
300 0.555583 0.555224 0.555942 0.555546
303 0.555595 0.555234 0.555955 0.555575
306 0.555613 0.555251 0.555976 0.555604
309 0.55563 0.555267 0.555994 0.555632
312 0.555671 0.555306 0.556036 0.55566
315 0.55571 0.555343 0.556077 0.555687
