//total_population estimated_relatedness lower_bound upper_bound relatedness
120 0.719888 nan nan 0.719888
122 0.719973 0.719859 0.720086 0.719964
124 0.720016 0.719856 0.720175 0.720039
127 0.720141 0.719934 0.720347 0.720145
129 0.72011 0.719877 0.720343 0.720213
132 0.720257 0.71999 0.720523 0.720312
134 0.720182 0.719895 0.720469 0.720375
136 0.720253 0.719949 0.720557 0.720437
139 0.720408 0.72008 0.720736 0.720525
141 0.720494 0.720152 0.720837 0.720582
144 0.720603 0.720242 0.720964 0.720665
146 0.720711 0.720339 0.721083 0.720718
148 0.720662 0.720279 0.721045 0.72077
151 0.720684 0.720284 0.721084 0.720845
153 0.720792 0.720383 0.721202 0.720893
156 0.720798 0.720373 0.721222 0.720963
158 0.72091 0.720479 0.721341 0.721009
160 0.720982 0.720541 0.721422 0.721053
163 0.721019 0.720564 0.721475 0.721117
165 0.721029 0.720565 0.721494 0.721158
168 0.721096 0.720621 0.721572 0.721219
170 0.721133 0.720652 0.721614 0.721258
172 0.721111 0.720623 0.7216 0.721296
175 0.721193 0.720697 0.72169 0.721351
177 0.72122 0.720718 0.721722 0.721387
180 0.721246 0.720737 0.721754 0.72144
182 0.721257 0.720742 0.721772 0.721474
184 0.721296 0.720775 0.721817 0.721507
187 0.721309 0.72078 0.721839 0.721556
189 0.721333 0.720798 0.721868 0.721587
192 0.721312 0.72077 0.721855 0.721633
194 0.721336 0.720791 0.721881 0.721663
196 0.721397 0.720848 0.721947 0.721692
199 0.721451 0.720895 0.722007 0.721735
201 0.721507 0.720947 0.722067 0.721763
204 0.721555 0.720988 0.722122 0.721804
206 0.72163 0.721059 0.7222 0.72183
208 0.721635 0.721062 0.722209 0.721856
211 0.721789 0.721209 0.722369 0.721894
213 0.721847 0.721264 0.72243 0.721919
216 0.721873 0.721283 0.722462 0.721955
218 0.721871 0.721279 0.722463 0.721979
220 0.721885 0.721289 0.722482 0.722002
223 0.721934 0.721332 0.722536 0.722036
225 0.721964 0.72136 0.722569 0.722058
228 0.721988 0.721379 0.722597 0.722091
230 0.721991 0.72138 0.722603 0.722112
232 0.722036 0.721422 0.72265 0.722133
235 0.722099 0.721482 0.722715 0.722163
237 0.722044 0.721425 0.722663 0.722183
240 0.722062 0.72144 0.722685 0.722213
242 0.722027 0.721401 0.722652 0.722232
244 0.721979 0.72135 0.722607 0.722251
247 0.722059 0.721427 0.722692 0.722278
249 0.722117 0.721482 0.722753 0.722296
252 0.722122 0.721483 0.72276 0.722323
254 0.72211 0.721469 0.722751 0.72234
256 0.722144 0.7215 0.722788 0.722357
259 0.722153 0.721506 0.722799 0.722382
261 0.72218 0.721531 0.722829 0.722399
264 0.722239 0.721587 0.722891 0.722423
266 0.722236 0.721583 0.72289 0.722439
268 0.722226 0.721571 0.722881 0.722454
271 0.722254 0.721595 0.722913 0.722477
273 0.722303 0.721642 0.722964 0.722492
276 0.722293 0.721629 0.722957 0.722514
278 0.72232 0.721654 0.722986 0.722529
280 0.722321 0.721654 0.722988 0.722543
283 0.722367 0.721697 0.723036 0.722564
