//total_population estimated_relatedness lower_bound upper_bound relatedness
600 0.721758 nan nan 0.721758
612 0.721737 0.721681 0.721793 0.721777
624 0.721693 0.721615 0.721771 0.721794
636 0.721769 0.721676 0.721863 0.721811
648 0.721804 0.721697 0.72191 0.721827
660 0.721842 0.721724 0.72196 0.721843
672 0.721865 0.721736 0.721993 0.721858
684 0.721867 0.721728 0.722005 0.721872
696 0.721846 0.721699 0.721993 0.721886
708 0.721892 0.721738 0.722046 0.7219
720 0.721921 0.721759 0.722082 0.721913
732 0.72191 0.721742 0.722079 0.721926
744 0.721927 0.721753 0.722101 0.721938
756 0.721947 0.721766 0.722128 0.72195
768 0.721982 0.721796 0.722168 0.721961
780 0.721978 0.721787 0.72217 0.721972
792 0.722015 0.721819 0.72221 0.721983
804 0.722056 0.721856 0.722256 0.721994
816 0.722042 0.721838 0.722246 0.722004
828 0.722055 0.721848 0.722263 0.722014
840 0.722093 0.721882 0.722304 0.722023
852 0.722069 0.721854 0.722284 0.722033
864 0.722063 0.721843 0.722282 0.722042
876 0.72208 0.721857 0.722302 0.722051
888 0.722125 0.721899 0.72235 0.722059
900 0.722097 0.721868 0.722326 0.722067
912 0.722082 0.72185 0.722315 0.722076
924 0.722095 0.721859 0.722331 0.722084
936 0.722106 0.721867 0.722345 0.722091
948 0.722128 0.721887 0.722369 0.722099
960 0.722148 0.721904 0.722391 0.722106
972 0.72214 0.721893 0.722386 0.722113
984 0.722133 0.721885 0.722382 0.72212
996 0.722106 0.721855 0.722357 0.722127
1008 0.722113 0.72186 0.722366 0.722134
1020 0.722151 0.721896 0.722406 0.72214
1032 0.722165 0.721908 0.722423 0.722146
1044 0.72216 0.7219 0.72242 0.722153
1056 0.722158 0.721896 0.72242 0.722159
1068 0.722137 0.721874 0.7224 0.722165
1080 0.722138 0.721873 0.722403 0.72217
1092 0.722136 0.721869 0.722403 0.722176
1104 0.722155 0.721886 0.722424 0.722182
1116 0.722179 0.721908 0.722449 0.722187
1128 0.722172 0.721899 0.722444 0.722192
1140 0.722166 0.721892 0.72244 0.722197
1152 0.722161 0.721886 0.722437 0.722203
1164 0.722188 0.721911 0.722465 0.722208
1176 0.722207 0.721928 0.722486 0.722212
1188 0.722181 0.721901 0.722462 0.722217
1200 0.722196 0.721914 0.722478 0.722222
1212 0.722178 0.721895 0.722461 0.722226
1224 0.72219 0.721905 0.722474 0.722231
1236 0.722187 0.721901 0.722473 0.722235
1248 0.722184 0.721897 0.72247 0.72224
1260 0.72219 0.721902 0.722478 0.722244
1272 0.722206 0.721917 0.722496 0.722248
1284 0.722203 0.721912 0.722494 0.722252
1296 0.722211 0.721919 0.722503 0.722256
1308 0.722191 0.721898 0.722484 0.72226
1320 0.722206 0.721912 0.722501 0.722264
1332 0.722193 0.721898 0.722489 0.722268
1344 0.722204 0.721907 0.722501 0.722271
1356 0.722206 0.721908 0.722504 0.722275
1368 0.722203 0.721904 0.722502 0.722279
1380 0.722177 0.721877 0.722478 0.722282
1392 0.722158 0.721856 0.722459 0.722286
1404 0.722154 0.721851 0.722457 0.722289
1416 0.722159 0.721855 0.722462 0.722292
1428 0.722147 0.721842 0.722451 0.722296
1440 0.722157 0.721851 0.722463 0.722299
1452 0.722176 0.721869 0.722482 0.722302
1464 0.722173 0.721865 0.722481 0.722305
1476 0.722176 0.721867 0.722484 0.722308
1488 0.722183 0.721874 0.722492 0.722311
1500 0.72218 0.72187 0.72249 0.722314
1512 0.722172 0.721861 0.722482 0.722317
1524 0.722167 0.721855 0.722479 0.72232
1536 0.722173 0.72186 0.722486 0.722323
1548 0.722168 0.721855 0.722482 0.722326
1560 0.722183 0.721868 0.722498 0.722329
1572 0.722185 0.721869 0.7225 0.722331
1584 0.722194 0.721878 0.72251 0.722334
1596 0.722208 0.721892 0.722525 0.722337
1608 0.722217 0.7219 0.722534 0.722339
1620 0.722222 0.721905 0.722539 0.722342
1632 0.722219 0.721901 0.722536 0.722344
1644 0.722237 0.721919 0.722555 0.722347
1656 0.722211 0.721893 0.72253 0.722349
1668 0.722208 0.721889 0.722527 0.722352
1680 0.722226 0.721905 0.722546 0.722354
1692 0.722247 0.721926 0.722568 0.722356
1704 0.72224 0.721919 0.722562 0.722359
1716 0.722236 0.721913 0.722558 0.722361
1728 0.722249 0.721925 0.722572 0.722363
1740 0.722245 0.721921 0.722569 0.722365
1752 0.722258 0.721933 0.722582 0.722368
1764 0.722264 0.721938 0.722589 0.72237
1776 0.722272 0.721947 0.722598 0.722372
1788 0.722269 0.721943 0.722595 0.722374
1800 0.72228 0.721953 0.722606 0.722376
1812 0.722291 0.721963 0.722618 0.722378
1824 0.722292 0.721964 0.72262 0.72238
