//tau lambda mean lower_bound upper_bound
0.01 1.162 0.990616 0.987197 0.994035
0.0100925 1.162 0.991215 0.987877 0.994554
0.0101859 1.154 0.988845 0.985076 0.992614
0.0102802 1.149 0.986226 0.98193 0.990521
0.0103753 1.145 0.990461 0.98708 0.993841
0.0104713 1.152 0.989871 0.986401 0.99334
0.0105682 1.154 0.993124 0.99031 0.995938
0.010666 1.172 0.993822 0.991213 0.996432
0.0107647 1.164 0.990314 0.98702 0.993609
0.0108643 1.164 0.98853 0.98479 0.992269
0.0109648 1.157 0.986637 0.982399 0.990874
0.0110662 1.168 0.988505 0.984721 0.99229
0.0111686 1.173 0.98854 0.984752 0.992328
0.011272 1.162 0.991781 0.988599 0.994963
0.0113763 1.174 0.988325 0.984386 0.992265
0.0114815 1.17 0.992417 0.989589 0.995246
0.0115878 1.175 0.988264 0.984526 0.992002
0.011695 1.195 0.987968 0.984122 0.991814
0.0118032 1.154 0.98779 0.983912 0.991668
0.0119124 1.183 0.987276 0.98346 0.991092
0.0120226 1.169 0.988945 0.985217 0.992673
0.0121339 1.182 0.990268 0.987054 0.993482
0.0122462 1.189 0.984845 0.980405 0.989285
0.0123595 1.173 0.987922 0.98407 0.991773
0.0124738 1.196 0.986058 0.982058 0.990057
0.0125893 1.19 0.984176 0.979526 0.988825
0.0127057 1.186 0.984292 0.979531 0.989054
0.0128233 1.182 0.985344 0.981044 0.989643
0.012942 1.197 0.984309 0.979906 0.988713
0.0130617 1.194 0.987667 0.983856 0.991477
0.0131826 1.191 0.987968 0.983983 0.991953
0.0133045 1.212 0.982741 0.978151 0.987331
0.0134276 1.183 0.987937 0.984078 0.991795
0.0135519 1.189 0.990364 0.987119 0.99361
0.0136773 1.225 0.982231 0.977539 0.986923
0.0138038 1.185 0.988535 0.984828 0.992242
0.0139316 1.206 0.986133 0.981799 0.990468
0.0140605 1.208 0.984831 0.980464 0.989198
0.0141906 1.194 0.987145 0.983075 0.991216
0.0143219 1.219 0.984155 0.979716 0.988594
0.0144544 1.211 0.984549 0.980157 0.988941
0.0145881 1.222 0.986536 0.982375 0.990697
0.0147231 1.208 0.98796 0.984376 0.991543
0.0148594 1.201 0.986402 0.982257 0.990547
0.0149968 1.207 0.987575 0.983628 0.991523
0.0151356 1.212 0.990359 0.986929 0.993789
0.0152757 1.22 0.985772 0.981592 0.989952
0.015417 1.225 0.985192 0.980973 0.989411
0.0155597 1.233 0.982948 0.978306 0.98759
0.0157036 1.251 0.981266 0.976376 0.986155
0.0158489 1.221 0.983459 0.978966 0.987953
0.0159956 1.234 0.98418 0.97962 0.988741
0.0161436 1.235 0.984413 0.980176 0.988651
0.016293 1.202 0.988352 0.984656 0.992047
0.0164437 1.229 0.984378 0.980063 0.988694
0.0165959 1.236 0.984536 0.980199 0.988873
0.0167494 1.226 0.982061 0.977195 0.986927
0.0169044 1.228 0.986538 0.982618 0.990458
0.0170608 1.235 0.985432 0.981151 0.989713
0.0172187 1.262 0.981988 0.977242 0.986734
0.017378 1.246 0.982034 0.977254 0.986813
0.0175388 1.265 0.981045 0.976249 0.985842
0.0177011 1.254 0.984102 0.979789 0.988414
0.0178649 1.249 0.982295 0.977775 0.986816
0.0180302 1.261 0.981626 0.976834 0.986418
0.018197 1.266 0.976328 0.97093 0.981725
0.0183654 1.261 0.982432 0.977965 0.986899
0.0185353 1.254 0.984012 0.979626 0.988399
0.0187068 1.286 0.97811 0.972976 0.983244
0.0188799 1.259 0.981307 0.976524 0.986091
0.0190546 1.283 0.981581 0.976777 0.986384
0.0192309 1.239 0.981139 0.976225 0.986053
0.0194089 1.273 0.983114 0.978622 0.987605
0.0195884 1.289 0.98023 0.975256 0.985203
0.0197697 1.253 0.980749 0.975763 0.985736
0.0199526 1.274 0.981322 0.976696 0.985948
0.0201372 1.279 0.981974 0.977249 0.9867
0.0203236 1.305 0.977193 0.971851 0.982535
0.0205116 1.295 0.975721 0.970186 0.981257
0.0207014 1.271 0.977424 0.972157 0.98269
0.020893 1.304 0.976973 0.971492 0.982454
0.0210863 1.31 0.978632 0.973587 0.983677
0.0212814 1.297 0.978665 0.973587 0.983744
0.0214783 1.309 0.97604 0.970472 0.981609
0.021677 1.286 0.980644 0.975881 0.985406
0.0218776 1.317 0.974895 0.96924 0.98055
0.02208 1.296 0.978502 0.973432 0.983573
0.0222844 1.299 0.975616 0.970129 0.981103
0.0224905 1.298 0.976208 0.970592 0.981823
0.0226986 1.322 0.979097 0.973938 0.984257
0.0229087 1.342 0.975542 0.969997 0.981088
0.0231206 1.322 0.977775 0.97257 0.982979
0.0233346 1.293 0.979203 0.974404 0.984002
0.0235505 1.323 0.975146 0.969764 0.980528
0.0237684 1.313 0.974943 0.969405 0.98048
0.0239883 1.286 0.984361 0.980305 0.988416
0.0242103 1.318 0.97634 0.970874 0.981806
0.0244343 1.34 0.977464 0.972224 0.982705
