//tau lambda mean lower_bound upper_bound
0.0322107 1.524 0.972389 0.96663 0.978147
0.0325087 1.533 0.965598 0.959035 0.972161
0.0328095 1.529 0.971522 0.965779 0.977265
0.0331131 1.51 0.967197 0.960821 0.973572
0.0334195 1.495 0.96861 0.962535 0.974685
0.0337287 1.536 0.969856 0.963955 0.975757
0.0340408 1.59 0.968145 0.962194 0.974096
0.0343558 1.521 0.972219 0.966642 0.977796
0.0346737 1.551 0.964865 0.958375 0.971355
0.0349945 1.537 0.970675 0.964758 0.976591
0.0353183 1.593 0.963925 0.957206 0.970645
0.0356451 1.588 0.965124 0.958644 0.971604
0.0359749 1.599 0.966676 0.960057 0.973296
0.0363078 1.554 0.965465 0.959044 0.971886
0.0366438 1.621 0.964648 0.958309 0.970988
0.0369828 1.578 0.959177 0.95198 0.966374
0.037325 1.612 0.958991 0.951949 0.966034
0.0376704 1.604 0.956759 0.949447 0.964072
0.0380189 1.618 0.962394 0.955559 0.96923
0.0383707 1.613 0.963617 0.95711 0.970125
0.0387258 1.597 0.964852 0.958494 0.97121
0.0390841 1.679 0.962733 0.955785 0.969681
0.0394457 1.633 0.964364 0.957905 0.970823
0.0398107 1.64 0.957914 0.950846 0.964982
0.0401791 1.664 0.959094 0.952054 0.966134
0.0405509 1.656 0.957997 0.950797 0.965198
0.0409261 1.679 0.960749 0.954151 0.967348
0.0413048 1.65 0.959799 0.952963 0.966636
0.0416869 1.649 0.961917 0.955117 0.968717
0.0420727 1.676 0.961867 0.955226 0.968508
0.042462 1.706 0.959705 0.953108 0.966301
0.0428549 1.696 0.957516 0.950398 0.964634
0.0432514 1.677 0.956662 0.949573 0.963751
0.0436516 1.671 0.96245 0.955893 0.969007
0.0440555 1.738 0.950554 0.942772 0.958335
0.0444631 1.782 0.956061 0.949041 0.963082
0.0448745 1.705 0.955454 0.948146 0.962761
0.0452898 1.724 0.961354 0.954671 0.968036
0.0457088 1.754 0.955389 0.948176 0.962601
0.0461318 1.788 0.947971 0.940174 0.955767
0.0465586 1.806 0.949412 0.941759 0.957066
0.0469894 1.776 0.949616 0.941958 0.957274
0.0474242 1.706 0.951319 0.943808 0.95883
0.047863 1.801 0.956086 0.948952 0.963219
0.0483059 1.783 0.955541 0.948428 0.962654
0.0487528 1.707 0.953373 0.945676 0.96107
0.049204 1.813 0.957336 0.950401 0.964272
0.0496592 1.792 0.956028 0.948915 0.963141
0.0501187 1.813 0.952868 0.945681 0.960054
0.0505825 1.826 0.95129 0.943677 0.958902
0.0510505 1.825 0.951261 0.943775 0.958748
0.0515229 1.819 0.953572 0.946257 0.960886
0.0519996 1.81 0.949601 0.942047 0.957155
0.0524807 1.799 0.951924 0.944169 0.959679
0.0529663 1.895 0.952623 0.944962 0.960283
0.0534564 1.878 0.953128 0.945642 0.960614
0.0539511 1.884 0.947329 0.939377 0.955281
0.0544503 1.861 0.949531 0.941875 0.957186
0.0549541 1.868 0.949058 0.941373 0.956744
0.0554626 1.912 0.945512 0.937608 0.953415
0.0559758 1.869 0.94001 0.931455 0.948565
0.0564937 1.919 0.945931 0.938067 0.953796
0.0570164 1.958 0.9438 0.935777 0.951822
0.057544 1.967 0.948878 0.941458 0.956298
0.0580764 1.977 0.944147 0.936025 0.952268
0.0586138 1.95 0.945992 0.93785 0.954133
0.0591562 1.948 0.947758 0.940013 0.955503
0.0597035 1.962 0.947457 0.939799 0.955115
0.060256 2.003 0.937333 0.928987 0.945679
0.0608135 1.987 0.943766 0.935753 0.951779
0.0613762 1.963 0.939969 0.93168 0.948258
0.0619441 2.03 0.93951 0.931221 0.947799
0.0625173 1.994 0.93469 0.926121 0.94326
0.0630957 2.026 0.939436 0.931099 0.947773
0.0636796 2.016 0.939681 0.931595 0.947766
0.0642688 2.021 0.939428 0.930959 0.947897
0.0648634 2.022 0.937996 0.929707 0.946284
0.0654636 2.127 0.931902 0.923047 0.940757
0.0660693 2.051 0.941405 0.933367 0.949443
0.0666807 2.028 0.93769 0.929414 0.945966
0.0672977 2.156 0.926758 0.917569 0.935946
0.0679204 2.059 0.928962 0.919911 0.938012
0.0685488 2.121 0.93499 0.926323 0.943656
0.0691831 2.077 0.937587 0.929091 0.946083
0.0698232 2.161 0.930062 0.921079 0.939045
0.0704693 2.201 0.92032 0.910961 0.929679
0.0711214 2.132 0.935475 0.926917 0.944033
0.0717794 2.096 0.937559 0.929368 0.94575
0.0724436 2.14 0.931199 0.922373 0.940024
0.0731139 2.17 0.929345 0.92034 0.938349
0.0737904 2.19 0.934479 0.926092 0.942866
0.0744732 2.16 0.935725 0.927374 0.944077
0.0751623 2.173 0.927472 0.918409 0.936534
0.0758578 2.258 0.916667 0.90703 0.926303
0.0765597 2.209 0.931623 0.923056 0.94019
0.0772681 2.32 0.928266 0.919433 0.937099
0.077983 2.241 0.916847 0.907075 0.926619
0.0787046 2.32 0.920614 0.911105 0.930122
0.0794328 2.255 0.931917 0.923079 0.940755
0.0801678 2.262 0.91996 0.910541 0.92938
0.0809096 2.301 0.925005 0.915823 0.934186
0.0816582 2.319 0.920756 0.9114 0.930112
0.0824138 2.326 0.918873 0.909442 0.928305
0.0831764 2.323 0.918044 0.908715 0.927374
0.083946 2.362 0.923411 0.914362 0.93246
0.0847227 2.392 0.916126 0.906424 0.925829
0.0855067 2.377 0.914465 0.904705 0.924224
0.0862979 2.363 0.926549 0.917549 0.935549
0.0870964 2.355 0.920294 0.910889 0.929698
0.0879023 2.413 0.91877 0.909188 0.928352
0.0887156 2.377 0.91724 0.907791 0.926688
0.0895365 2.51 0.907063 0.897157 0.91697
0.0903649 2.444 0.909049 0.899149 0.918949
0.0912011 2.478 0.909889 0.900092 0.919686
0.092045 2.442 0.915693 0.906257 0.925129
0.0928966 2.495 0.909038 0.89914 0.918937
0.0937562 2.495 0.913545 0.903926 0.923163
0.0946237 2.504 0.90968 0.899503 0.919856
0.0954993 2.552 0.914484 0.905085 0.923883
0.0963829 2.557 0.912559 0.90274 0.922378
0.0972747 2.496 0.92036 0.911505 0.929214
0.0981748 2.599 0.90735 0.89715 0.91755
0.0990832 2.656 0.903248 0.893036 0.913459
0.1 2.651 0.910089 0.900387 0.919791
0.100925 2.729 0.903149 0.89294 0.913358
0.101859 2.646 0.901517 0.891174 0.91186
0.102802 2.639 0.908672 0.898861 0.918483
0.103753 2.722 0.903704 0.893567 0.913842
0.104713 2.657 0.912012 0.902244 0.921779
0.105682 2.682 0.904362 0.894448 0.914276
0.10666 2.642 0.894837 0.884075 0.905599
0.107647 2.721 0.904109 0.893956 0.914263
0.108643 2.778 0.898116 0.887847 0.908384
0.109648 2.815 0.896917 0.886418 0.907415
0.110662 2.806 0.891908 0.881131 0.902685
0.111686 2.735 0.899939 0.889894 0.909984
0.11272 2.754 0.898644 0.888157 0.909131
0.113763 2.786 0.890944 0.880185 0.901703
0.114815 2.845 0.888062 0.877233 0.898891
0.115878 2.801 0.89687 0.8864 0.907341
0.11695 2.921 0.884222 0.873369 0.895076
0.118032 2.935 0.898825 0.888661 0.90899
0.119124 2.898 0.883643 0.872675 0.89461
0.120226 2.897 0.884254 0.873286 0.895221
0.121339 2.929 0.892448 0.881555 0.903342
0.122462 2.979 0.889318 0.878319 0.900317
0.123595 3.059 0.877101 0.865797 0.888405
0.124738 2.903 0.889736 0.878806 0.900665
0.125893 3.015 0.884083 0.872974 0.895192
0.127057 2.956 0.885755 0.874801 0.896709
0.128233 3.111 0.880721 0.869621 0.891821
0.12942 3.079 0.873404 0.86203 0.884777
0.130617 3.171 0.873455 0.861958 0.884951
0.131826 3.139 0.879894 0.868641 0.891148
0.133045 3.211 0.880429 0.869223 0.891636
0.134276 3.152 0.871858 0.860223 0.883494
0.135519 3.13 0.878269 0.866936 0.889602
0.136773 3.14 0.882 0.871253 0.892747
0.138038 3.248 0.882984 0.872249 0.893719
0.139316 3.181 0.875823 0.864596 0.887049
0.140605 3.275 0.874117 0.862889 0.885345
0.141906 3.288 0.86517 0.85391 0.876429
0.143219 3.31 0.874522 0.862975 0.886069
0.144544 3.226 0.866089 0.854582 0.877596
0.145881 3.3 0.86219 0.850431 0.87395
0.147231 3.344 0.86852 0.856733 0.880307
0.148594 3.395 0.866245 0.854923 0.877567
0.149968 3.461 0.861818 0.850232 0.873403
0.151356 3.361 0.869046 0.857848 0.880244
0.152757 3.378 0.866296 0.854733 0.877859
0.15417 3.456 0.858632 0.847038 0.870226
0.155597 3.45 0.863393 0.851557 0.875228
0.157036 3.6 0.847253 0.835221 0.859285
0.158489 3.529 0.855744 0.843772 0.867715
0.159956 3.509 0.857524 0.845829 0.869218
0.161436 3.538 0.863559 0.851782 0.875336
0.16293 3.579 0.85162 0.839593 0.863648
0.164437 3.546 0.844004 0.831955 0.856054
0.165959 3.686 0.852776 0.841101 0.86445
0.167494 3.709 0.853161 0.84132 0.865002
0.169044 3.649 0.849312 0.837573 0.86105
0.170608 3.765 0.851193 0.839452 0.862934
0.172187 3.794 0.85002 0.838219 0.861821
0.17378 3.776 0.855449 0.843931 0.866966
0.175388 3.844 0.833142 0.820852 0.845431
0.177011 3.683 0.860546 0.849126 0.871966
0.178649 3.876 0.837877 0.825703 0.850051
0.180302 3.889 0.834587 0.822178 0.846995
0.18197 3.906 0.837458 0.825225 0.849691
0.183654 3.895 0.838263 0.826052 0.850473
0.185353 4.028 0.833981 0.821604 0.846359
0.187068 4.072 0.838872 0.826545 0.8512
0.188799 3.996 0.831756 0.819535 0.843977
0.190546 4.002 0.841589 0.829467 0.85371
0.192309 4.021 0.833826 0.821549 0.846103
0.194089 4.126 0.824661 0.811992 0.83733
0.195884 4.231 0.817121 0.804245 0.829997
0.197697 4.132 0.842616 0.830575 0.854657
0.199526 4.231 0.822491 0.809836 0.835147
0.201372 4.119 0.832411 0.8198 0.845022
0.203236 4.247 0.817354 0.804671 0.830038
0.205116 4.261 0.806537 0.793636 0.819437
0.207014 4.287 0.81612 0.803532 0.828708
0.20893 4.314 0.81348 0.800685 0.826276
0.210863 4.412 0.81018 0.797289 0.82307
0.212814 4.441 0.810363 0.797675 0.823051
0.214783 4.325 0.827762 0.815225 0.840299
0.21677 4.392 0.816164 0.803178 0.82915
0.218776 4.454 0.825455 0.813011 0.837898
0.2208 4.57 0.807768 0.794913 0.820623
0.222844 4.602 0.803292 0.790343 0.81624
0.224905 4.418 0.814522 0.801542 0.827502
0.226986 4.647 0.807183 0.794478 0.819888
0.229087 4.568 0.78808 0.774339 0.80182
0.231206 4.674 0.799216 0.786078 0.812354
0.233346 4.704 0.807527 0.794554 0.8205
0.235505 4.733 0.800801 0.787799 0.813803
0.237684 4.811 0.785867 0.772527 0.799207
0.239883 4.757 0.801528 0.7885 0.814557
0.242103 4.753 0.787082 0.773788 0.800375
0.244343 4.84 0.79873 0.785457 0.812002
0.246604 4.968 0.783588 0.770365 0.79681
0.248886 4.918 0.787014 0.773506 0.800522
0.251189 4.945 0.769685 0.756065 0.783306
0.253513 4.984 0.783434 0.769997 0.79687
0.255859 5.136 0.782882 0.769521 0.796244
0.258226 5.08 0.795773 0.782553 0.808994
0.260615 5.147 0.780018 0.766784 0.793251
0.263027 5.131 0.777089 0.763471 0.790708
0.265461 5.144 0.767743 0.754048 0.781439
0.267917 5.194 0.78199 0.76851 0.795469
0.270396 5.193 0.767461 0.753776 0.781145
0.272898 5.188 0.779959 0.76661 0.793307
0.275423 5.316 0.766281 0.752914 0.779648
0.277971 5.313 0.767656 0.754126 0.781186
0.280543 5.355 0.766353 0.752833 0.779873
0.283139 5.399 0.761859 0.748171 0.775548
0.285759 5.406 0.772163 0.758464 0.785861
0.288403 5.432 0.771709 0.758292 0.785127
0.291072 5.605 0.758092 0.744439 0.771746
0.293765 5.577 0.763272 0.749736 0.776809
0.296483 5.787 0.754405 0.74086 0.767951
0.299226 5.615 0.753489 0.73964 0.767337
0.301995 5.685 0.750764 0.7372 0.764329
0.304789 5.742 0.754721 0.74133 0.768111
0.30761 5.835 0.746188 0.732296 0.76008
0.310456 5.759 0.752713 0.738943 0.766482
0.313329 5.916 0.735613 0.721736 0.74949
0.316228 5.872 0.747557 0.733822 0.761292
0.319154 5.904 0.739857 0.725753 0.753961
0.322107 5.979 0.734713 0.720768 0.748658
0.325087 6.017 0.740872 0.727174 0.754569
0.328095 6.054 0.738361 0.724376 0.752347
0.331131 6.157 0.723431 0.70921 0.737651
0.334195 6.107 0.734148 0.719975 0.748322
0.337287 6.217 0.722643 0.708737 0.73655
0.340408 6.352 0.711272 0.697124 0.72542
0.343558 6.29 0.729117 0.715248 0.742986
0.346737 6.271 0.728452 0.71441 0.742494
0.349945 6.246 0.730265 0.716459 0.744072
0.353183 6.395 0.722661 0.708709 0.736614
0.356451 6.368 0.720315 0.706341 0.734289
0.359749 6.513 0.700998 0.686813 0.715184
0.363078 6.52 0.713887 0.699888 0.727886
0.366438 6.539 0.710952 0.697033 0.724871
0.369828 6.664 0.702065 0.688075 0.716055
0.37325 6.508 0.703041 0.688866 0.717216
0.376704 6.685 0.704687 0.690615 0.71876
0.380189 6.777 0.709466 0.695442 0.723489
0.383707 6.904 0.697478 0.683298 0.711659
0.387258 6.713 0.702234 0.68804 0.716429
0.390841 6.8 0.708459 0.694651 0.722267
0.394457 6.841 0.682216 0.66791 0.696522
0.398107 6.92 0.698276 0.684034 0.712519
0.401791 6.926 0.690142 0.675987 0.704297
0.405509 7.05 0.693352 0.67918 0.707525
0.409261 7.002 0.696544 0.682455 0.710634
0.413048 7.096 0.678306 0.663887 0.692725
0.416869 7.251 0.680033 0.66602 0.694047
0.420727 7.16 0.680803 0.666764 0.694842
0.42462 7.282 0.678978 0.66503 0.692926
0.428549 7.195 0.668622 0.654627 0.682616
0.432514 7.262 0.666567 0.652492 0.680642
0.436516 7.254 0.667398 0.653045 0.681751
0.440555 7.419 0.669123 0.655048 0.683198
0.444631 7.34 0.671778 0.658006 0.68555
0.448745 7.381 0.672461 0.658324 0.686597
0.452898 7.496 0.654782 0.640696 0.668869
0.457088 7.532 0.661283 0.647295 0.675272
0.461318 7.571 0.646077 0.632165 0.65999
0.465586 7.643 0.645972 0.631799 0.660144
0.469894 7.529 0.646085 0.63189 0.660281
0.474242 7.652 0.646684 0.632754 0.660615
0.47863 7.742 0.648669 0.634606 0.662731
0.483059 7.715 0.650708 0.636893 0.664522
0.487528 7.764 0.63316 0.619087 0.647234
0.49204 7.725 0.643086 0.629145 0.657027
0.496592 7.781 0.639261 0.625097 0.653424
0.501187 7.798 0.645181 0.631197 0.659166
0.505825 7.936 0.637829 0.623508 0.652151
0.510505 7.963 0.621893 0.608073 0.635713
0.515229 7.948 0.617742 0.603626 0.631857
0.519996 8.001 0.629155 0.615177 0.643133
0.524807 8.027 0.613376 0.599071 0.627682
0.529663 8.083 0.621098 0.607411 0.634784
0.534564 8.054 0.611087 0.596827 0.625346
0.539511 8.136 0.61391 0.599949 0.627872
0.544503 8.225 0.593266 0.579367 0.607165
0.549541 8.19 0.603251 0.589269 0.617233
0.554626 8.23 0.616047 0.601872 0.630222
0.559758 8.271 0.604942 0.591188 0.618696
0.564937 8.255 0.604962 0.590875 0.619049
0.570164 8.287 0.603081 0.588935 0.617227
0.57544 8.241 0.611859 0.59767 0.626047
0.580764 8.352 0.597824 0.583966 0.611682
0.586138 8.358 0.589823 0.5756 0.604045
0.591562 8.354 0.585191 0.571385 0.598997
0.597035 8.438 0.592124 0.57877 0.605477
0.60256 8.417 0.590105 0.576088 0.604122
0.608135 8.462 0.580459 0.566742 0.594176
0.613762 8.475 0.584406 0.57065 0.598162
0.619441 8.496 0.579583 0.565637 0.59353
