//tau lambda mean lower_bound upper_bound
0.0322107 1.529 0.968759 0.962738 0.97478
0.0325087 1.513 0.968675 0.962492 0.974858
0.0328095 1.494 0.969785 0.963809 0.975762
0.0331131 1.56 0.968241 0.962173 0.974308
0.0334195 1.54 0.968268 0.962179 0.974358
0.0337287 1.591 0.964368 0.957992 0.970745
0.0340408 1.49 0.967181 0.961024 0.973338
0.0343558 1.561 0.960757 0.953627 0.967887
0.0346737 1.57 0.97295 0.967385 0.978515
0.0349945 1.596 0.968657 0.962486 0.974828
0.0353183 1.592 0.96399 0.957316 0.970664
0.0356451 1.521 0.972363 0.966506 0.978221
0.0359749 1.598 0.960974 0.954131 0.967817
0.0363078 1.548 0.966408 0.960195 0.97262
0.0366438 1.594 0.965729 0.959576 0.971882
0.0369828 1.575 0.962426 0.955743 0.96911
0.037325 1.609 0.962713 0.955974 0.969452
0.0376704 1.624 0.96353 0.956798 0.970262
0.0380189 1.583 0.965102 0.958522 0.971681
0.0383707 1.646 0.963731 0.95728 0.970182
0.0387258 1.649 0.955508 0.948097 0.96292
0.0390841 1.614 0.959435 0.952232 0.966637
0.0394457 1.591 0.964037 0.957409 0.970665
0.0398107 1.659 0.965621 0.959442 0.9718
0.0401791 1.611 0.963058 0.95652 0.969596
0.0405509 1.636 0.960978 0.954278 0.967678
0.0409261 1.68 0.963687 0.957258 0.970115
0.0413048 1.66 0.948857 0.941005 0.95671
0.0416869 1.677 0.958741 0.951822 0.965659
0.0420727 1.651 0.958696 0.951545 0.965847
0.042462 1.671 0.956873 0.949581 0.964165
0.0428549 1.692 0.957053 0.949933 0.964172
0.0432514 1.711 0.957824 0.950673 0.964975
0.0436516 1.664 0.954315 0.94688 0.96175
0.0440555 1.724 0.959412 0.952447 0.966377
0.0444631 1.687 0.954222 0.94695 0.961495
0.0448745 1.735 0.949679 0.941679 0.957678
0.0452898 1.669 0.96055 0.95367 0.96743
0.0457088 1.751 0.951296 0.943682 0.95891
0.0461318 1.739 0.958874 0.952038 0.965711
0.0465586 1.75 0.95014 0.942191 0.958088
0.0469894 1.713 0.95799 0.950963 0.965016
0.0474242 1.679 0.955653 0.94845 0.962855
0.047863 1.79 0.948543 0.940581 0.956504
0.0483059 1.781 0.948985 0.941133 0.956838
0.0487528 1.818 0.952245 0.944919 0.959572
0.049204 1.754 0.951449 0.943981 0.958917
0.0496592 1.793 0.949206 0.941603 0.95681
0.0501187 1.81 0.948737 0.941019 0.956454
0.0505825 1.794 0.951564 0.944019 0.959109
0.0510505 1.844 0.943905 0.935898 0.951911
0.0515229 1.821 0.95396 0.946597 0.961322
0.0519996 1.83 0.945828 0.938015 0.953642
0.0524807 1.839 0.942396 0.933928 0.950864
0.0529663 1.851 0.952103 0.944881 0.959325
0.0534564 1.84 0.950514 0.9429 0.958128
0.0539511 1.819 0.949344 0.941584 0.957104
0.0544503 1.854 0.956485 0.949396 0.963574
0.0549541 1.897 0.942699 0.934439 0.950959
0.0554626 1.831 0.945544 0.937527 0.953562
0.0559758 1.852 0.952337 0.944908 0.959767
0.0564937 1.885 0.948574 0.940952 0.956197
0.0570164 1.869 0.94594 0.937738 0.954142
0.057544 1.884 0.941543 0.9332 0.949886
0.0580764 1.93 0.941166 0.93291 0.949422
0.0586138 1.89 0.953753 0.946626 0.960879
0.0591562 1.883 0.944276 0.936133 0.95242
0.0597035 1.96 0.945303 0.937238 0.953369
0.060256 1.919 0.938875 0.930635 0.947115
0.0608135 1.965 0.940204 0.931935 0.948472
0.0613762 1.99 0.933523 0.924657 0.942389
0.0619441 1.991 0.934691 0.925858 0.943525
0.0625173 1.942 0.945996 0.938235 0.953757
0.0630957 1.982 0.938417 0.929878 0.946956
0.0636796 1.993 0.936605 0.928137 0.945073
0.0642688 2.035 0.93794 0.92957 0.94631
0.0648634 2.005 0.943117 0.935285 0.95095
0.0654636 2.018 0.937608 0.929051 0.946164
0.0660693 2.049 0.935201 0.926824 0.943578
0.0666807 2.038 0.92801 0.918716 0.937305
0.0672977 2.065 0.92702 0.918013 0.936027
0.0679204 2.119 0.931752 0.922786 0.940718
0.0685488 2.022 0.937514 0.928935 0.946093
0.0691831 2.113 0.93641 0.927928 0.944891
0.0698232 2.137 0.930171 0.921173 0.939169
0.0704693 2.068 0.933544 0.924737 0.94235
0.0711214 2.126 0.926886 0.917919 0.935853
0.0717794 2.119 0.933862 0.925384 0.942339
0.0724436 2.129 0.933862 0.925364 0.942361
0.0731139 2.15 0.925019 0.915821 0.934216
0.0737904 2.167 0.92203 0.912684 0.931377
0.0744732 2.161 0.930246 0.921305 0.939187
0.0751623 2.232 0.929767 0.920875 0.938659
0.0758578 2.223 0.929958 0.921 0.938916
0.0765597 2.183 0.924222 0.915135 0.93331
0.0772681 2.202 0.922691 0.91328 0.932102
0.077983 2.204 0.919976 0.910615 0.929338
0.0787046 2.199 0.92218 0.912822 0.931539
0.0794328 2.22 0.927665 0.918839 0.936492
0.0801678 2.21 0.919366 0.909546 0.929186
0.0809096 2.236 0.92252 0.913132 0.931909
0.0816582 2.276 0.919383 0.909997 0.928769
0.0824138 2.235 0.931544 0.922999 0.940088
0.0831764 2.297 0.921204 0.911934 0.930475
0.083946 2.235 0.921683 0.912289 0.931077
0.0847227 2.302 0.924719 0.915343 0.934095
0.0855067 2.319 0.920621 0.911435 0.929806
0.0862979 2.358 0.919741 0.910367 0.929115
0.0870964 2.337 0.911681 0.901752 0.92161
0.0879023 2.36 0.918682 0.909522 0.927841
0.0887156 2.39 0.917743 0.908438 0.927048
0.0895365 2.399 0.917408 0.908106 0.926711
0.0903649 2.366 0.914573 0.904914 0.924232
0.0912011 2.32 0.918753 0.909144 0.928362
0.092045 2.425 0.905555 0.895448 0.915661
0.0928966 2.421 0.908553 0.898493 0.918613
0.0937562 2.433 0.909395 0.89951 0.91928
0.0946237 2.405 0.913368 0.903688 0.923047
0.0954993 2.412 0.911085 0.901338 0.920833
0.0963829 2.421 0.908817 0.898887 0.918747
0.0972747 2.54 0.903684 0.893598 0.91377
0.0981748 2.483 0.91045 0.900662 0.920239
0.0990832 2.476 0.911312 0.901555 0.921069
0.1 2.476 0.91021 0.900443 0.919977
0.100925 2.456 0.912783 0.903291 0.922275
0.101859 2.529 0.899744 0.88951 0.909979
0.102802 2.554 0.898144 0.887662 0.908625
0.103753 2.533 0.904373 0.894228 0.914517
0.104713 2.534 0.901443 0.891285 0.911602
0.105682 2.556 0.905229 0.895167 0.915291
0.10666 2.564 0.90421 0.893976 0.914444
0.107647 2.595 0.899868 0.88969 0.910045
0.108643 2.598 0.899413 0.888998 0.909828
0.109648 2.589 0.908282 0.898127 0.918437
0.110662 2.69 0.897936 0.887358 0.908513
0.111686 2.642 0.894604 0.884294 0.904914
0.11272 2.635 0.897679 0.887546 0.907811
0.113763 2.697 0.897613 0.887183 0.908042
0.114815 2.647 0.89837 0.888079 0.908661
0.115878 2.704 0.885836 0.875061 0.896611
0.11695 2.698 0.894335 0.883833 0.904837
0.118032 2.726 0.882329 0.871358 0.893301
0.119124 2.76 0.885392 0.874636 0.896148
0.120226 2.687 0.893566 0.882995 0.904137
0.121339 2.787 0.88472 0.873734 0.895705
0.122462 2.704 0.890691 0.879855 0.901527
0.123595 2.803 0.884506 0.873496 0.895515
0.124738 2.776 0.884707 0.873801 0.895614
0.125893 2.783 0.879089 0.867751 0.890428
0.127057 2.782 0.895089 0.884433 0.905746
0.128233 2.825 0.876724 0.865407 0.888041
0.12942 2.82 0.879621 0.868589 0.890652
0.130617 2.831 0.894788 0.884288 0.905289
0.131826 2.853 0.887756 0.877341 0.898171
0.133045 2.806 0.876609 0.865517 0.8877
0.134276 2.867 0.877704 0.866532 0.888875
0.135519 2.886 0.876244 0.864903 0.887586
0.136773 2.945 0.873217 0.861946 0.884488
0.138038 2.875 0.878469 0.86736 0.889579
0.139316 3.003 0.86824 0.85687 0.879611
0.140605 2.88 0.877705 0.866651 0.888759
0.141906 2.949 0.87496 0.863583 0.886337
0.143219 2.956 0.862565 0.850737 0.874393
0.144544 3.051 0.877126 0.866101 0.888152
0.145881 3.031 0.868008 0.856534 0.879482
0.147231 3.045 0.876351 0.86551 0.887192
0.148594 2.985 0.859769 0.848166 0.871373
0.149968 3.076 0.863185 0.851634 0.874735
0.151356 3.099 0.861189 0.849486 0.872892
0.152757 3.081 0.864728 0.853251 0.876204
0.15417 3.069 0.857292 0.84528 0.869303
0.155597 3.074 0.859376 0.847861 0.870891
0.157036 3.141 0.858214 0.846266 0.870161
0.158489 3.104 0.858945 0.847386 0.870504
0.159956 3.14 0.843531 0.831317 0.855746
0.161436 3.097 0.853324 0.841518 0.865131
0.16293 3.201 0.849378 0.837296 0.861459
0.164437 3.176 0.851713 0.839919 0.863508
0.165959 3.117 0.856054 0.844507 0.867601
0.167494 3.158 0.86161 0.850114 0.873106
0.169044 3.235 0.846173 0.834188 0.858158
0.170608 3.202 0.853156 0.841393 0.86492
0.172187 3.174 0.854262 0.842358 0.866165
0.17378 3.233 0.842639 0.830276 0.855003
0.175388 3.249 0.845314 0.833295 0.857333
0.177011 3.246 0.850635 0.838676 0.862593
0.178649 3.268 0.851049 0.839122 0.862976
0.180302 3.236 0.839859 0.827566 0.852152
0.18197 3.3 0.837897 0.825586 0.850207
0.183654 3.312 0.844316 0.832 0.856632
0.185353 3.307 0.841411 0.829137 0.853685
0.187068 3.346 0.833301 0.820947 0.845654
0.188799 3.364 0.841504 0.829577 0.853431
0.190546 3.314 0.831935 0.819384 0.844486
0.192309 3.366 0.837959 0.82592 0.849998
0.194089 3.447 0.815183 0.802633 0.827732
0.195884 3.382 0.82454 0.811632 0.837448
0.197697 3.37 0.832524 0.820006 0.845043
0.199526 3.42 0.822041 0.809148 0.834934
0.201372 3.463 0.819663 0.807162 0.832165
0.203236 3.445 0.831385 0.819108 0.843662
0.205116 3.448 0.825222 0.812719 0.837724
0.207014 3.419 0.829037 0.816564 0.841511
0.20893 3.486 0.816042 0.803169 0.828915
0.210863 3.486 0.820365 0.807777 0.832954
0.212814 3.475 0.818831 0.80607 0.831591
0.214783 3.453 0.819932 0.807353 0.832512
0.21677 3.464 0.818317 0.805543 0.831092
0.218776 3.53 0.807782 0.794821 0.820743
0.2208 3.533 0.807792 0.794849 0.820735
0.222844 3.55 0.806839 0.794094 0.819583
0.224905 3.543 0.807894 0.795094 0.820694
0.226986 3.585 0.806752 0.79396 0.819543
0.229087 3.571 0.804796 0.79193 0.817662
0.231206 3.556 0.81424 0.801543 0.826937
0.233346 3.616 0.788958 0.775791 0.802125
0.235505 3.554 0.799145 0.785811 0.812479
0.237684 3.567 0.805251 0.79227 0.818231
0.239883 3.613 0.800372 0.787599 0.813145
0.242103 3.655 0.786499 0.773466 0.799532
0.244343 3.658 0.804909 0.791984 0.817835
0.246604 3.599 0.789174 0.77581 0.802537
0.248886 3.641 0.78672 0.773344 0.800096
0.251189 3.658 0.793534 0.780525 0.806542
0.253513 3.669 0.779856 0.76657 0.793142
0.255859 3.671 0.780686 0.767293 0.794079
0.258226 3.663 0.78992 0.77681 0.803029
0.260615 3.699 0.782694 0.769418 0.795969
0.263027 3.709 0.786475 0.773329 0.799621
0.265461 3.666 0.779907 0.766338 0.793477
0.267917 3.725 0.780114 0.766768 0.79346
0.270396 3.724 0.776208 0.762904 0.789512
0.272898 3.743 0.768511 0.75522 0.781802
0.275423 3.736 0.771429 0.757832 0.785025
0.277971 3.737 0.77283 0.759368 0.786292
0.280543 3.71 0.758445 0.744736 0.772154
0.283139 3.772 0.769687 0.756331 0.783044
0.285759 3.806 0.76493 0.751557 0.778303
