//tau lambda mean lower_bound upper_bound
0.01 1.178 0.990283 0.98678 0.993786
0.0100925 1.188 0.989627 0.985991 0.993263
0.0101859 1.142 0.991878 0.988559 0.995197
0.0102802 1.175 0.985941 0.981692 0.99019
0.0103753 1.159 0.991312 0.988048 0.994576
0.0104713 1.163 0.991626 0.988463 0.994789
0.0105682 1.175 0.993081 0.990264 0.995898
0.010666 1.186 0.991303 0.98807 0.994537
0.0107647 1.181 0.986159 0.981978 0.99034
0.0108643 1.176 0.986745 0.982481 0.991009
0.0109648 1.187 0.987333 0.98331 0.991357
0.0110662 1.169 0.992135 0.989082 0.995189
0.0111686 1.191 0.990303 0.986823 0.993784
0.011272 1.183 0.992239 0.989174 0.995304
0.0113763 1.192 0.987465 0.983682 0.991248
0.0114815 1.182 0.987887 0.983948 0.991825
0.0115878 1.198 0.98698 0.982988 0.990973
0.011695 1.183 0.98902 0.985367 0.992674
0.0118032 1.185 0.989966 0.986654 0.993279
0.0119124 1.21 0.984134 0.979404 0.988864
0.0120226 1.195 0.987994 0.984314 0.991673
0.0121339 1.201 0.985507 0.980969 0.990044
0.0122462 1.218 0.983468 0.978601 0.988336
0.0123595 1.197 0.985739 0.981592 0.989886
0.0124738 1.195 0.986686 0.982557 0.990816
0.0125893 1.214 0.987914 0.984028 0.991801
0.0127057 1.237 0.985129 0.980815 0.989444
0.0128233 1.185 0.988776 0.985067 0.992485
0.012942 1.216 0.988499 0.984724 0.992273
0.0130617 1.215 0.986745 0.982742 0.990748
0.0131826 1.203 0.989327 0.985654 0.993
0.0133045 1.213 0.984 0.979381 0.988619
0.0134276 1.201 0.987253 0.98306 0.991445
0.0135519 1.215 0.985582 0.981265 0.989899
0.0136773 1.246 0.984259 0.979782 0.988735
0.0138038 1.209 0.988442 0.984866 0.992018
0.0139316 1.211 0.987558 0.983632 0.991483
0.0140605 1.239 0.988294 0.98446 0.992127
0.0141906 1.214 0.988275 0.984399 0.992151
0.0143219 1.231 0.987133 0.9832 0.991066
0.0144544 1.245 0.984638 0.980058 0.989217
0.0145881 1.272 0.982397 0.977663 0.987131
0.0147231 1.238 0.983474 0.978792 0.988157
0.0148594 1.244 0.985663 0.981497 0.989829
0.0149968 1.221 0.98901 0.985496 0.992524
0.0151356 1.226 0.987289 0.983353 0.991226
0.0152757 1.243 0.98498 0.980661 0.989299
0.015417 1.249 0.98631 0.982217 0.990402
0.0155597 1.252 0.986245 0.981943 0.990547
0.0157036 1.266 0.98316 0.978672 0.987647
0.0158489 1.251 0.985503 0.981286 0.98972
0.0159956 1.271 0.985493 0.981301 0.989686
0.0161436 1.268 0.982491 0.977792 0.987191
0.016293 1.263 0.985512 0.981442 0.989581
0.0164437 1.273 0.982855 0.978185 0.987524
0.0165959 1.278 0.985144 0.980986 0.989301
0.0167494 1.284 0.981656 0.976937 0.986375
0.0169044 1.279 0.982185 0.977471 0.986899
0.0170608 1.277 0.98153 0.976621 0.986439
0.0172187 1.257 0.985137 0.980848 0.989427
0.017378 1.281 0.984627 0.98034 0.988915
0.0175388 1.269 0.985212 0.980906 0.989518
0.0177011 1.295 0.985008 0.980802 0.989214
0.0178649 1.313 0.979286 0.974118 0.984453
0.0180302 1.295 0.977629 0.97234 0.982917
0.018197 1.305 0.980211 0.975107 0.985315
0.0183654 1.32 0.978281 0.97309 0.983471
0.0185353 1.309 0.979653 0.974574 0.984731
0.0187068 1.31 0.981704 0.976798 0.98661
0.0188799 1.322 0.976752 0.971183 0.982321
0.0190546 1.301 0.981096 0.976198 0.985993
0.0192309 1.304 0.980748 0.975948 0.985548
0.0194089 1.331 0.979354 0.974003 0.984705
0.0195884 1.339 0.978322 0.973111 0.983534
0.0197697 1.302 0.977603 0.972373 0.982833
0.0199526 1.319 0.981196 0.976493 0.985898
0.0201372 1.325 0.981623 0.976894 0.986352
0.0203236 1.299 0.982853 0.978335 0.987371
0.0205116 1.332 0.981757 0.976975 0.986539
0.0207014 1.335 0.97631 0.97084 0.98178
0.020893 1.323 0.983537 0.979193 0.987881
0.0210863 1.313 0.983705 0.979149 0.98826
0.0212814 1.351 0.97971 0.974812 0.984608
0.0214783 1.365 0.977744 0.972535 0.982952
0.021677 1.369 0.975538 0.969826 0.981249
0.0218776 1.382 0.97899 0.974067 0.983913
0.02208 1.365 0.9796 0.974627 0.984572
0.0222844 1.358 0.980543 0.975543 0.985543
0.0224905 1.379 0.982233 0.977647 0.986819
0.0226986 1.349 0.977479 0.972157 0.982802
0.0229087 1.357 0.98201 0.977357 0.986663
0.0231206 1.351 0.976242 0.97085 0.981633
0.0233346 1.359 0.973164 0.967071 0.979258
0.0235505 1.383 0.974216 0.96863 0.979802
0.0237684 1.36 0.977782 0.972655 0.982908
