//tau lambda mean lower_bound upper_bound
0.0751623 2 0.999997 0.999997 0.999997
0.0758578 2 0.999996 0.999996 0.999996
0.0765597 2 0.999996 0.999996 0.999996
0.0772681 2 0.999995 0.999995 0.999995
0.077983 2 0.999995 0.999995 0.999995
0.0787046 2 0.999994 0.999994 0.999994
0.0794328 2 0.999993 0.999993 0.999993
0.0801678 2 0.999992 0.999992 0.999992
0.0809096 2 0.999991 0.999991 0.999991
0.0816582 2 0.99999 0.99999 0.99999
0.0824138 2 0.999989 0.999989 0.999989
0.0831764 2 0.999988 0.999988 0.999988
0.083946 2 0.999987 0.999986 0.999987
0.0847227 2 0.999985 0.999985 0.999985
0.0855067 2 0.999983 0.999983 0.999983
0.0862979 2 0.999981 0.999981 0.999981
0.0870964 2 0.999979 0.999979 0.999979
0.0879023 2 0.999977 0.999977 0.999977
0.0887156 2 0.999974 0.999974 0.999975
0.0895365 2 0.999971 0.999971 0.999972
0.0903649 2 0.999968 0.999968 0.999969
0.0912011 2 0.999965 0.999965 0.999965
0.092045 2 0.999961 0.999961 0.999962
0.0928966 2 0.999957 0.999957 0.999958
0.0937562 2 0.999953 0.999952 0.999953
0.0946237 2 0.999948 0.999948 0.999948
0.0954993 2 0.999943 0.999942 0.999943
0.0963829 2 0.999937 0.999937 0.999938
0.0972747 2 0.999931 0.99993 0.999931
0.0981748 2 0.999923 0.999923 0.999924
0.0990832 2 0.999916 0.999915 0.999917
0.1 2 0.999909 0.999908 0.99991
0.100925 2 0.9999 0.999899 0.999901
0.101859 2 0.999891 0.99989 0.999892
0.102802 2 0.999879 0.999878 0.99988
0.103753 2 0.999867 0.999866 0.999868
0.104713 2 0.999856 0.999854 0.999857
0.105682 2 0.999843 0.999841 0.999844
0.10666 2 0.99983 0.999828 0.999831
0.107647 2 0.999814 0.999812 0.999815
0.108643 2 0.999797 0.999795 0.999799
0.109648 2 0.999781 0.999779 0.999783
0.110662 2 0.99976 0.999757 0.999762
0.111686 2 0.999739 0.999736 0.999741
0.11272 2 0.999716 0.999714 0.999719
0.113763 2 0.999692 0.999689 0.999694
0.114815 2 0.999668 0.999665 0.999671
0.115878 2 0.999639 0.999636 0.999642
0.11695 2 0.999609 0.999605 0.999612
0.118032 2 0.999576 0.999573 0.99958
0.119124 2 0.999544 0.99954 0.999548
0.120226 2 0.999508 0.999504 0.999513
0.121339 2 0.99947 0.999465 0.999475
0.122462 2 0.999424 0.999419 0.999429
0.123595 2 0.999383 0.999378 0.999388
0.124738 3 0.999335 0.999329 0.999341
0.125893 3 0.999282 0.999276 0.999289
0.127057 3 0.999226 0.999219 0.999233
0.128233 3 0.99917 0.999163 0.999178
0.12942 3 0.999111 0.999104 0.999119
0.130617 3 0.999053 0.999045 0.999061
0.131826 3 0.998973 0.998964 0.998982
0.133045 3 0.998901 0.998891 0.998911
0.134276 3 0.998821 0.99881 0.998831
0.135519 3 0.998747 0.998737 0.998758
0.136773 3 0.998653 0.998641 0.998666
0.138038 3 0.998558 0.998545 0.998571
0.139316 3 0.998454 0.998439 0.998468
0.140605 3 0.998355 0.99834 0.99837
0.141906 3 0.998249 0.998233 0.998265
0.143219 3 0.998127 0.998111 0.998143
