//tau lambda mean lower_bound upper_bound
0.01 1.179 0.990172 0.986663 0.99368
0.0100925 1.186 0.988888 0.985074 0.992702
0.0101859 1.144 0.992012 0.988738 0.995286
0.0102802 1.177 0.985419 0.981092 0.989746
0.0103753 1.156 0.991602 0.988437 0.994767
0.0104713 1.157 0.991409 0.988154 0.994664
0.0105682 1.179 0.993538 0.990799 0.996278
0.010666 1.18 0.99113 0.987941 0.994319
0.0107647 1.182 0.986325 0.982143 0.990507
0.0108643 1.182 0.985995 0.981635 0.990356
0.0109648 1.17 0.989798 0.98629 0.993307
0.0110662 1.182 0.990374 0.986915 0.993833
0.0111686 1.187 0.990437 0.986963 0.993912
0.011272 1.188 0.991349 0.988063 0.994636
0.0113763 1.183 0.989424 0.986014 0.992834
0.0114815 1.195 0.987254 0.983225 0.991283
0.0115878 1.181 0.988414 0.984578 0.992251
0.011695 1.185 0.987531 0.983674 0.991387
0.0118032 1.195 0.989613 0.986192 0.993034
0.0119124 1.202 0.986629 0.982363 0.990895
0.0120226 1.193 0.989356 0.985935 0.992778
0.0121339 1.184 0.984517 0.979885 0.98915
0.0122462 1.213 0.983948 0.979124 0.988771
0.0123595 1.203 0.985141 0.980746 0.989536
0.0124738 1.207 0.985271 0.981033 0.989509
0.0125893 1.197 0.987509 0.983618 0.9914
0.0127057 1.225 0.9859 0.981592 0.990207
0.0128233 1.215 0.987136 0.983147 0.991125
0.012942 1.192 0.991005 0.98776 0.99425
0.0130617 1.237 0.98399 0.979485 0.988495
0.0131826 1.188 0.990581 0.987216 0.993947
0.0133045 1.21 0.986125 0.98184 0.990411
0.0134276 1.2 0.985745 0.98126 0.99023
0.0135519 1.232 0.983419 0.978814 0.988024
0.0136773 1.227 0.986304 0.982304 0.990304
0.0138038 1.225 0.987188 0.98315 0.991226
0.0139316 1.201 0.988893 0.985304 0.992482
0.0140605 1.232 0.988167 0.984283 0.992051
0.0141906 1.227 0.988925 0.985184 0.992666
0.0143219 1.216 0.987916 0.984128 0.991705
0.0144544 1.25 0.983129 0.978385 0.987873
0.0145881 1.251 0.984724 0.980348 0.989099
0.0147231 1.25 0.982645 0.97791 0.987379
0.0148594 1.233 0.98484 0.980354 0.989326
0.0149968 1.25 0.985569 0.981468 0.989671
0.0151356 1.228 0.988776 0.985116 0.992437
0.0152757 1.229 0.987662 0.983987 0.991338
0.015417 1.233 0.982697 0.977859 0.987534
0.0155597 1.239 0.989031 0.98553 0.992533
0.0157036 1.27 0.98378 0.979162 0.988399
0.0158489 1.251 0.985075 0.980826 0.989324
0.0159956 1.256 0.982742 0.978068 0.987416
0.0161436 1.271 0.984896 0.980652 0.989141
0.016293 1.254 0.982876 0.978137 0.987616
0.0164437 1.276 0.984139 0.979901 0.988376
0.0165959 1.276 0.984007 0.979617 0.988396
0.0167494 1.268 0.984146 0.979716 0.988575
0.0169044 1.286 0.981603 0.976877 0.986329
0.0170608 1.273 0.983349 0.978817 0.987882
0.0172187 1.28 0.980281 0.975219 0.985344
0.017378 1.262 0.986361 0.982291 0.990432
0.0175388 1.283 0.983527 0.979017 0.988037
0.0177011 1.26 0.984165 0.979669 0.988662
0.0178649 1.29 0.984256 0.979919 0.988592
0.0180302 1.308 0.981122 0.976276 0.985968
0.018197 1.307 0.976793 0.971289 0.982297
0.0183654 1.284 0.98331 0.9788 0.987821
0.0185353 1.312 0.976272 0.970648 0.981895
0.0187068 1.321 0.979184 0.974135 0.984233
0.0188799 1.321 0.980668 0.975666 0.985671
0.0190546 1.297 0.978547 0.973328 0.983767
0.0192309 1.309 0.979839 0.97473 0.984949
0.0194089 1.321 0.979197 0.974225 0.984169
0.0195884 1.323 0.980547 0.975514 0.985581
0.0197697 1.323 0.979133 0.973925 0.98434
0.0199526 1.324 0.977453 0.97209 0.982816
0.0201372 1.292 0.980552 0.97577 0.985335
0.0203236 1.338 0.98029 0.975488 0.985091
0.0205116 1.289 0.984123 0.97976 0.988485
0.0207014 1.319 0.979865 0.97487 0.984861
0.020893 1.34 0.981017 0.976123 0.985912
0.0210863 1.335 0.979854 0.974927 0.984782
0.0212814 1.32 0.98237 0.977737 0.987004
0.0214783 1.321 0.983531 0.978997 0.988066
0.021677 1.348 0.975714 0.970203 0.981226
0.0218776 1.36 0.979049 0.974091 0.984007
0.02208 1.352 0.975731 0.970072 0.981389
0.0222844 1.388 0.981323 0.976828 0.985817
0.0224905 1.363 0.97916 0.974167 0.984154
0.0226986 1.355 0.980903 0.975975 0.985831
0.0229087 1.37 0.981067 0.976206 0.985928
0.0231206 1.345 0.97682 0.971468 0.982172
0.0233346 1.366 0.980031 0.975159 0.984903
0.0235505 1.351 0.977175 0.971851 0.9825
0.0237684 1.351 0.974587 0.968854 0.980321
0.0239883 1.38 0.973566 0.967806 0.979327
0.0242103 1.363 0.976311 0.970892 0.981731
0.0244343 1.358 0.975382 0.970002 0.980763
0.0246604 1.372 0.977513 0.972206 0.98282
0.0248886 1.363 0.977675 0.972496 0.982855
0.0251189 1.359 0.975117 0.969392 0.980842
0.0253513 1.373 0.976229 0.970653 0.981805
0.0255859 1.389 0.974601 0.969048 0.980153
0.0258226 1.407 0.97683 0.97149 0.98217
0.0260615 1.392 0.978416 0.973212 0.98362
0.0263027 1.426 0.975399 0.969833 0.980965
0.0265461 1.386 0.976852 0.971541 0.982163
0.0267917 1.419 0.977267 0.971993 0.982542
0.0270396 1.421 0.974585 0.969042 0.980129
0.0272898 1.417 0.977522 0.972213 0.982831
0.0275423 1.423 0.97663 0.971377 0.981883
0.0277971 1.441 0.970834 0.964722 0.976947
0.0280543 1.401 0.974832 0.969117 0.980546
0.0283139 1.425 0.972309 0.966431 0.978187
0.0285759 1.455 0.973142 0.967473 0.978811
0.0288403 1.459 0.972024 0.966265 0.977782
0.0291072 1.43 0.973123 0.967382 0.978865
0.0293765 1.469 0.972812 0.967136 0.978487
0.0296483 1.435 0.972966 0.967218 0.978714
0.0299226 1.492 0.970541 0.964773 0.976308
0.0301995 1.459 0.970551 0.964438 0.976664
0.0304789 1.477 0.968511 0.962455 0.974568
0.030761 1.447 0.974223 0.968398 0.980048
0.0310456 1.471 0.972073 0.966245 0.9779
0.0313329 1.518 0.974263 0.96911 0.979416
0.0316228 1.49 0.971426 0.965805 0.977047
0.0319154 1.488 0.97333 0.967704 0.978955
0.0322107 1.499 0.970275 0.964316 0.976235
0.0325087 1.544 0.969718 0.963704 0.975731
0.0328095 1.509 0.966693 0.96046 0.972925
0.0331131 1.525 0.965914 0.959545 0.972283
0.0334195 1.531 0.96543 0.959071 0.97179
0.0337287 1.491 0.971811 0.965916 0.977706
0.0340408 1.495 0.966928 0.960622 0.973233
0.0343558 1.561 0.968437 0.962272 0.974603
0.0346737 1.542 0.967839 0.961696 0.973983
0.0349945 1.587 0.964056 0.95773 0.970382
0.0353183 1.504 0.967402 0.961274 0.973529
0.0356451 1.57 0.95867 0.951476 0.965864
0.0359749 1.574 0.9691 0.962855 0.975344
0.0363078 1.579 0.967973 0.961793 0.974153
0.0366438 1.581 0.963627 0.956851 0.970402
0.0369828 1.557 0.964171 0.957511 0.970832
0.037325 1.567 0.968963 0.962839 0.975087
0.0376704 1.58 0.957761 0.950727 0.964795
0.0380189 1.565 0.968176 0.962143 0.974209
0.0383707 1.612 0.957795 0.950841 0.96475
0.0387258 1.585 0.960215 0.953352 0.967077
0.0390841 1.601 0.96268 0.955883 0.969478
0.0394457 1.604 0.96258 0.955774 0.969386
0.0398107 1.588 0.963229 0.956504 0.969954
0.0401791 1.644 0.959663 0.952743 0.966583
0.0405509 1.64 0.956643 0.949401 0.963885
0.0409261 1.61 0.958909 0.951839 0.965979
0.0413048 1.639 0.958446 0.951344 0.965549
0.0416869 1.638 0.966982 0.960793 0.97317
0.0420727 1.625 0.957289 0.950212 0.964366
0.042462 1.625 0.959256 0.952418 0.966095
0.0428549 1.661 0.962939 0.956339 0.96954
0.0432514 1.64 0.95592 0.948749 0.96309
0.0436516 1.648 0.949005 0.941306 0.956704
0.0440555 1.672 0.956612 0.949441 0.963782
0.0444631 1.639 0.956487 0.949087 0.963887
0.0448745 1.66 0.955611 0.948301 0.962921
0.0452898 1.716 0.953935 0.946585 0.961286
0.0457088 1.707 0.953165 0.94569 0.960641
0.0461318 1.671 0.958211 0.951039 0.965383
0.0465586 1.71 0.952802 0.945285 0.960318
0.0469894 1.694 0.955685 0.948636 0.962733
0.0474242 1.687 0.95331 0.945821 0.9608
0.047863 1.722 0.95029 0.942491 0.958089
0.0483059 1.717 0.949379 0.941575 0.957182
0.0487528 1.734 0.948753 0.940927 0.956578
0.049204 1.734 0.95637 0.949316 0.963424
0.0496592 1.774 0.950892 0.943086 0.958698
0.0501187 1.731 0.95301 0.945597 0.960423
0.0505825 1.691 0.954569 0.947362 0.961777
0.0510505 1.777 0.950756 0.943048 0.958464
0.0515229 1.77 0.943405 0.935151 0.951659
0.0519996 1.772 0.952729 0.945398 0.96006
0.0524807 1.818 0.943723 0.93583 0.951615
0.0529663 1.769 0.951635 0.944207 0.959063
0.0534564 1.804 0.944942 0.936922 0.952962
0.0539511 1.826 0.945144 0.937201 0.953086
0.0544503 1.8 0.947632 0.939871 0.955393
0.0549541 1.845 0.937042 0.928426 0.945658
0.0554626 1.825 0.954485 0.947145 0.961825
0.0559758 1.814 0.946512 0.938852 0.954172
0.0564937 1.826 0.944186 0.935976 0.952396
0.0570164 1.848 0.942669 0.93456 0.950777
0.057544 1.876 0.946861 0.939081 0.954641
0.0580764 1.861 0.940632 0.932614 0.94865
0.0586138 1.82 0.941696 0.933492 0.9499
0.0591562 1.837 0.945652 0.937781 0.953522
0.0597035 1.892 0.938787 0.930388 0.947186
0.060256 1.844 0.944699 0.936603 0.952794
0.0608135 1.849 0.943932 0.935962 0.951902
0.0613762 1.889 0.942668 0.934532 0.950805
0.0619441 1.868 0.944078 0.935845 0.952311
0.0625173 1.846 0.939538 0.931028 0.948048
0.0630957 1.926 0.938017 0.929585 0.94645
0.0636796 1.89 0.945228 0.937438 0.953017
0.0642688 1.868 0.947145 0.939457 0.954832
0.0648634 1.924 0.944025 0.935911 0.952139
0.0654636 1.981 0.935421 0.926827 0.944015
0.0660693 1.924 0.93542 0.926914 0.943925
0.0666807 1.974 0.936403 0.927914 0.944892
0.0672977 1.986 0.932425 0.92369 0.941159
0.0679204 1.984 0.935287 0.926497 0.944078
0.0685488 1.927 0.941376 0.933451 0.949302
0.0691831 1.963 0.938342 0.930003 0.94668
0.0698232 2.008 0.928194 0.919175 0.937214
0.0704693 1.961 0.932204 0.92346 0.940947
0.0711214 2.007 0.93062 0.921841 0.939399
0.0717794 2.016 0.935564 0.92732 0.943809
0.0724436 2.025 0.933662 0.925 0.942325
0.0731139 2.033 0.932503 0.923891 0.941116
0.0737904 2.048 0.917336 0.907695 0.926976
0.0744732 2.057 0.92922 0.920414 0.938026
0.0751623 2.055 0.929033 0.920041 0.938026
0.0758578 2.074 0.92304 0.913695 0.932385
0.0765597 2.014 0.922055 0.912684 0.931426
0.0772681 2.084 0.930971 0.922066 0.939877
0.077983 2.079 0.925911 0.916789 0.935032
0.0787046 2.123 0.919947 0.910463 0.929432
0.0794328 2.059 0.922149 0.912872 0.931425
0.0801678 2.089 0.919253 0.91011 0.928397
0.0809096 2.102 0.92475 0.915821 0.933679
0.0816582 2.109 0.922759 0.913616 0.931903
0.0824138 2.141 0.918457 0.909034 0.92788
0.0831764 2.106 0.915589 0.905738 0.925439
0.083946 2.139 0.920872 0.911629 0.930115
0.0847227 2.172 0.920534 0.911297 0.92977
0.0855067 2.191 0.9185 0.909113 0.927887
0.0862979 2.143 0.916653 0.906931 0.926375
0.0870964 2.153 0.918566 0.909069 0.928063
0.0879023 2.214 0.911745 0.901949 0.921542
0.0887156 2.133 0.914779 0.905029 0.924528
0.0895365 2.201 0.916812 0.907498 0.926127
0.0903649 2.197 0.914655 0.905102 0.924208
0.0912011 2.198 0.923409 0.914391 0.932426
0.092045 2.186 0.916845 0.907035 0.926655
0.0928966 2.193 0.90866 0.898619 0.918701
0.0937562 2.235 0.908061 0.898167 0.917955
0.0946237 2.212 0.914004 0.904601 0.923406
0.0954993 2.217 0.919392 0.910309 0.928474
0.0963829 2.258 0.911766 0.902199 0.921333
0.0972747 2.253 0.901048 0.890437 0.911658
0.0981748 2.269 0.914295 0.904505 0.924085
0.0990832 2.261 0.908763 0.899046 0.91848
0.1 2.294 0.908575 0.898711 0.91844
0.100925 2.312 0.902929 0.892718 0.913139
0.101859 2.312 0.902867 0.892938 0.912797
0.102802 2.299 0.911716 0.902179 0.921253
0.103753 2.35 0.903554 0.893516 0.913591
0.104713 2.329 0.899996 0.889739 0.910253
0.105682 2.342 0.899372 0.889025 0.909719
0.10666 2.284 0.903105 0.892852 0.913359
0.107647 2.335 0.898427 0.888068 0.908786
0.108643 2.316 0.893203 0.882747 0.903659
0.109648 2.353 0.889927 0.879264 0.90059
0.110662 2.34 0.900944 0.890713 0.911176
0.111686 2.404 0.884435 0.87341 0.895461
0.11272 2.335 0.904394 0.894443 0.914345
0.113763 2.383 0.90124 0.891163 0.911317
0.114815 2.393 0.892997 0.882348 0.903647
0.115878 2.421 0.892729 0.882238 0.90322
